j,h,td,val
AMMONIA_STORAGE,1,1,2.188939444198188e-06
AMMONIA_STORAGE,1,2,2.188910702500364e-06
AMMONIA_STORAGE,1,3,2.188926804266985e-06
AMMONIA_STORAGE,1,4,2.188909907801422e-06
AMMONIA_STORAGE,1,5,2.188932849897345e-06
AMMONIA_STORAGE,1,6,2.188912851785888e-06
AMMONIA_STORAGE,1,7,2.188909529182411e-06
AMMONIA_STORAGE,1,8,2.188912108371226e-06
AMMONIA_STORAGE,1,9,2.188908346711406e-06
AMMONIA_STORAGE,1,10,2.18894014097264e-06
AMMONIA_STORAGE,1,11,2.188908960761883e-06
AMMONIA_STORAGE,1,12,2.188931869166223e-06
AMMONIA_STORAGE,2,1,2.188939444198838e-06
AMMONIA_STORAGE,2,2,2.188910702497328e-06
AMMONIA_STORAGE,2,3,2.188926804265251e-06
AMMONIA_STORAGE,2,4,2.188909098300735e-06
AMMONIA_STORAGE,2,5,2.188932828024433e-06
AMMONIA_STORAGE,2,6,2.188912851786755e-06
AMMONIA_STORAGE,2,7,2.188909529183929e-06
AMMONIA_STORAGE,2,8,2.188912108382719e-06
AMMONIA_STORAGE,2,9,2.188908346709454e-06
AMMONIA_STORAGE,2,10,2.188940140974375e-06
AMMONIA_STORAGE,2,11,2.188908960761449e-06
AMMONIA_STORAGE,2,12,2.188931869162754e-06
AMMONIA_STORAGE,3,1,2.18893944419732e-06
AMMONIA_STORAGE,3,2,2.18891070249516e-06
AMMONIA_STORAGE,3,3,2.188926804264166e-06
AMMONIA_STORAGE,3,4,2.188909098301385e-06
AMMONIA_STORAGE,3,5,2.188932805877002e-06
AMMONIA_STORAGE,3,6,2.18891285178502e-06
AMMONIA_STORAGE,3,7,2.188909529182411e-06
AMMONIA_STORAGE,3,8,2.188913383386259e-06
AMMONIA_STORAGE,3,9,2.188908346709671e-06
AMMONIA_STORAGE,3,10,2.188940140970689e-06
AMMONIA_STORAGE,3,11,2.188908960760148e-06
AMMONIA_STORAGE,3,12,2.188931869165139e-06
AMMONIA_STORAGE,4,1,2.18893944419667e-06
AMMONIA_STORAGE,4,2,2.188910702495377e-06
AMMONIA_STORAGE,4,3,2.188926804265034e-06
AMMONIA_STORAGE,4,4,2.188909098297699e-06
AMMONIA_STORAGE,4,5,2.188932783450497e-06
AMMONIA_STORAGE,4,6,2.188912851786321e-06
AMMONIA_STORAGE,4,7,2.188909529182844e-06
AMMONIA_STORAGE,4,8,2.188912819248764e-06
AMMONIA_STORAGE,4,9,2.188908346704684e-06
AMMONIA_STORAGE,4,10,2.188940140972857e-06
AMMONIA_STORAGE,4,11,2.188908960761883e-06
AMMONIA_STORAGE,4,12,2.18893186916579e-06
AMMONIA_STORAGE,5,1,2.188939444198621e-06
AMMONIA_STORAGE,5,2,2.188910702493859e-06
AMMONIA_STORAGE,5,3,2.188926804263516e-06
AMMONIA_STORAGE,5,4,2.188909098298133e-06
AMMONIA_STORAGE,5,5,2.18893130182014e-06
AMMONIA_STORAGE,5,6,2.188912851786321e-06
AMMONIA_STORAGE,5,7,2.188909529180893e-06
AMMONIA_STORAGE,5,8,2.18891222124578e-06
AMMONIA_STORAGE,5,9,2.188908346707936e-06
AMMONIA_STORAGE,5,10,2.188940140973508e-06
AMMONIA_STORAGE,5,11,2.188908960761016e-06
AMMONIA_STORAGE,5,12,2.18893186916579e-06
AMMONIA_STORAGE,6,1,2.188939444198621e-06
AMMONIA_STORAGE,6,2,2.188910702492558e-06
AMMONIA_STORAGE,6,3,2.18892680426395e-06
AMMONIA_STORAGE,6,4,2.188909098296832e-06
AMMONIA_STORAGE,6,5,2.188929912435873e-06
AMMONIA_STORAGE,6,6,2.188912851788924e-06
AMMONIA_STORAGE,6,7,2.18890952918111e-06
AMMONIA_STORAGE,6,8,2.188912108368407e-06
AMMONIA_STORAGE,6,9,2.188908346707503e-06
AMMONIA_STORAGE,6,10,2.188940140970038e-06
AMMONIA_STORAGE,6,11,2.188908960763618e-06
AMMONIA_STORAGE,6,12,2.188931869164489e-06
AMMONIA_STORAGE,7,1,2.188939444200573e-06
AMMONIA_STORAGE,7,2,2.188910702494726e-06
AMMONIA_STORAGE,7,3,2.188926804264166e-06
AMMONIA_STORAGE,7,4,2.188909098303988e-06
AMMONIA_STORAGE,7,5,2.188932714480276e-06
AMMONIA_STORAGE,7,6,2.18891285178849e-06
AMMONIA_STORAGE,7,7,2.188909529180893e-06
AMMONIA_STORAGE,7,8,2.188912108383586e-06
AMMONIA_STORAGE,7,9,2.188908346707503e-06
AMMONIA_STORAGE,7,10,2.188940140973291e-06
AMMONIA_STORAGE,7,11,2.188908960762534e-06
AMMONIA_STORAGE,7,12,2.18893186916644e-06
AMMONIA_STORAGE,8,1,2.188939444197537e-06
AMMONIA_STORAGE,8,2,2.188910702493642e-06
AMMONIA_STORAGE,8,3,2.188926804264166e-06
AMMONIA_STORAGE,8,4,2.188909098297916e-06
AMMONIA_STORAGE,8,5,2.188931616044698e-06
AMMONIA_STORAGE,8,6,2.188922815719646e-06
AMMONIA_STORAGE,8,7,2.18890952918111e-06
AMMONIA_STORAGE,8,8,2.188920438134755e-06
AMMONIA_STORAGE,8,9,2.188908346707503e-06
AMMONIA_STORAGE,8,10,2.188940140973074e-06
AMMONIA_STORAGE,8,11,2.188908960760582e-06
AMMONIA_STORAGE,8,12,2.188931869165573e-06
AMMONIA_STORAGE,9,1,2.188939444197104e-06
AMMONIA_STORAGE,9,2,2.188910702492775e-06
AMMONIA_STORAGE,9,3,2.18892680426395e-06
AMMONIA_STORAGE,9,4,2.188909098298783e-06
AMMONIA_STORAGE,9,5,2.188932804891245e-06
AMMONIA_STORAGE,9,6,2.188948370811326e-06
AMMONIA_STORAGE,9,7,2.188909529183929e-06
AMMONIA_STORAGE,9,8,2.188925882786212e-06
AMMONIA_STORAGE,9,9,2.188908346706419e-06
AMMONIA_STORAGE,9,10,2.188940140973508e-06
AMMONIA_STORAGE,9,11,2.188908960760365e-06
AMMONIA_STORAGE,9,12,2.188931869166006e-06
AMMONIA_STORAGE,10,1,2.188939444198621e-06
AMMONIA_STORAGE,10,2,2.188910702493859e-06
AMMONIA_STORAGE,10,3,2.188926804265684e-06
AMMONIA_STORAGE,10,4,2.188909098305722e-06
AMMONIA_STORAGE,10,5,2.18893284989973e-06
AMMONIA_STORAGE,10,6,2.188949995967499e-06
AMMONIA_STORAGE,10,7,2.188909529186748e-06
AMMONIA_STORAGE,10,8,2.188927301057311e-06
AMMONIA_STORAGE,10,9,2.188908346707936e-06
AMMONIA_STORAGE,10,10,2.18894014097264e-06
AMMONIA_STORAGE,10,11,2.188908960760148e-06
AMMONIA_STORAGE,10,12,2.188931869163404e-06
AMMONIA_STORAGE,11,1,2.188939444196236e-06
AMMONIA_STORAGE,11,2,2.188910702493859e-06
AMMONIA_STORAGE,11,3,2.188926804265251e-06
AMMONIA_STORAGE,11,4,2.188913943018461e-06
AMMONIA_STORAGE,11,5,2.188932849896477e-06
AMMONIA_STORAGE,11,6,2.188949951872562e-06
AMMONIA_STORAGE,11,7,2.188909529185663e-06
AMMONIA_STORAGE,11,8,2.188928724013248e-06
AMMONIA_STORAGE,11,9,2.188908346710755e-06
AMMONIA_STORAGE,11,10,2.188940140970689e-06
AMMONIA_STORAGE,11,11,2.1889089607621e-06
AMMONIA_STORAGE,11,12,2.188931869158634e-06
AMMONIA_STORAGE,12,1,2.188939444197971e-06
AMMONIA_STORAGE,12,2,2.188910702493642e-06
AMMONIA_STORAGE,12,3,2.188926804265034e-06
AMMONIA_STORAGE,12,4,2.188913938886566e-06
AMMONIA_STORAGE,12,5,2.188932849900597e-06
AMMONIA_STORAGE,12,6,2.188949907260462e-06
AMMONIA_STORAGE,12,7,2.188915998592705e-06
AMMONIA_STORAGE,12,8,2.188928724053798e-06
AMMONIA_STORAGE,12,9,2.188908346714225e-06
AMMONIA_STORAGE,12,10,2.188940140973291e-06
AMMONIA_STORAGE,12,11,2.18890896076275e-06
AMMONIA_STORAGE,12,12,2.18893186916579e-06
AMMONIA_STORAGE,13,1,2.18893944419667e-06
AMMONIA_STORAGE,13,2,2.188910702491473e-06
AMMONIA_STORAGE,13,3,2.188926804265901e-06
AMMONIA_STORAGE,13,4,2.188913934576212e-06
AMMONIA_STORAGE,13,5,2.188932913937914e-06
AMMONIA_STORAGE,13,6,2.188949907434585e-06
AMMONIA_STORAGE,13,7,2.188916258456016e-06
AMMONIA_STORAGE,13,8,2.188928724050328e-06
AMMONIA_STORAGE,13,9,2.188908346714442e-06
AMMONIA_STORAGE,13,10,2.188940140971122e-06
AMMONIA_STORAGE,13,11,2.188908960761883e-06
AMMONIA_STORAGE,13,12,2.188931869163838e-06
AMMONIA_STORAGE,14,1,2.188939444198405e-06
AMMONIA_STORAGE,14,2,2.188910702494943e-06
AMMONIA_STORAGE,14,3,2.188926804266985e-06
AMMONIA_STORAGE,14,4,2.188913930282555e-06
AMMONIA_STORAGE,14,5,2.188932892853001e-06
AMMONIA_STORAGE,14,6,2.188949995955355e-06
AMMONIA_STORAGE,14,7,2.188915780314184e-06
AMMONIA_STORAGE,14,8,2.18892926995653e-06
AMMONIA_STORAGE,14,9,2.188908346715092e-06
AMMONIA_STORAGE,14,10,2.188940140973508e-06
AMMONIA_STORAGE,14,11,2.188908960763835e-06
AMMONIA_STORAGE,14,12,2.188930209861585e-06
AMMONIA_STORAGE,15,1,2.188939444199706e-06
AMMONIA_STORAGE,15,2,2.188910702494076e-06
AMMONIA_STORAGE,15,3,2.188926804266552e-06
AMMONIA_STORAGE,15,4,2.188913925962226e-06
AMMONIA_STORAGE,15,5,2.188932871507012e-06
AMMONIA_STORAGE,15,6,2.18894999596468e-06
AMMONIA_STORAGE,15,7,2.188915280645519e-06
AMMONIA_STORAGE,15,8,2.188928724054231e-06
AMMONIA_STORAGE,15,9,2.188908346711406e-06
AMMONIA_STORAGE,15,10,2.188940140972857e-06
AMMONIA_STORAGE,15,11,2.188908960762967e-06
AMMONIA_STORAGE,15,12,2.188930192636215e-06
AMMONIA_STORAGE,16,1,2.18893944419732e-06
AMMONIA_STORAGE,16,2,2.188910702492124e-06
AMMONIA_STORAGE,16,3,2.188926804267853e-06
AMMONIA_STORAGE,16,4,2.188913921599396e-06
AMMONIA_STORAGE,16,5,2.188932849899513e-06
AMMONIA_STORAGE,16,6,2.188949723338574e-06
AMMONIA_STORAGE,16,7,2.18891475800868e-06
AMMONIA_STORAGE,16,8,2.188928724053798e-06
AMMONIA_STORAGE,16,9,2.188908346709888e-06
AMMONIA_STORAGE,16,10,2.188940140972857e-06
AMMONIA_STORAGE,16,11,2.188908960759281e-06
AMMONIA_STORAGE,16,12,2.188925970866579e-06
AMMONIA_STORAGE,17,1,2.188939444197971e-06
AMMONIA_STORAGE,17,2,2.188910702493859e-06
AMMONIA_STORAGE,17,3,2.188926804271973e-06
AMMONIA_STORAGE,17,4,2.188913917259986e-06
AMMONIA_STORAGE,17,5,2.18893282802465e-06
AMMONIA_STORAGE,17,6,2.188949675898007e-06
AMMONIA_STORAGE,17,7,2.188914210867138e-06
AMMONIA_STORAGE,17,8,2.188928665270524e-06
AMMONIA_STORAGE,17,9,2.188908346707069e-06
AMMONIA_STORAGE,17,10,2.188940140973291e-06
AMMONIA_STORAGE,17,11,2.188908960760365e-06
AMMONIA_STORAGE,17,12,2.188925610180923e-06
AMMONIA_STORAGE,18,1,2.188939444197104e-06
AMMONIA_STORAGE,18,2,2.188910702491907e-06
AMMONIA_STORAGE,18,3,2.188926804265467e-06
AMMONIA_STORAGE,18,4,2.188913312016916e-06
AMMONIA_STORAGE,18,5,2.188931997877284e-06
AMMONIA_STORAGE,18,6,2.188928848017137e-06
AMMONIA_STORAGE,18,7,2.188909529182194e-06
AMMONIA_STORAGE,18,8,2.188924669202941e-06
AMMONIA_STORAGE,18,9,2.18890834670837e-06
AMMONIA_STORAGE,18,10,2.188940140972857e-06
AMMONIA_STORAGE,18,11,2.188908960760582e-06
AMMONIA_STORAGE,18,12,2.188925783651969e-06
AMMONIA_STORAGE,19,1,2.188939444198188e-06
AMMONIA_STORAGE,19,2,2.188910702491257e-06
AMMONIA_STORAGE,19,3,2.188926804267636e-06
AMMONIA_STORAGE,19,4,2.188912677698364e-06
AMMONIA_STORAGE,19,5,2.188932849895827e-06
AMMONIA_STORAGE,19,6,2.188928376030755e-06
AMMONIA_STORAGE,19,7,2.188909529183278e-06
AMMONIA_STORAGE,19,8,2.188912108371443e-06
AMMONIA_STORAGE,19,9,2.18890834670772e-06
AMMONIA_STORAGE,19,10,2.18894014097264e-06
AMMONIA_STORAGE,19,11,2.188908960761233e-06
AMMONIA_STORAGE,19,12,2.1889256867514e-06
AMMONIA_STORAGE,20,1,2.188939444198405e-06
AMMONIA_STORAGE,20,2,2.18891070249516e-06
AMMONIA_STORAGE,20,3,2.188926804275008e-06
AMMONIA_STORAGE,20,4,2.188916372227422e-06
AMMONIA_STORAGE,20,5,2.188932849898429e-06
AMMONIA_STORAGE,20,6,2.188927890893434e-06
AMMONIA_STORAGE,20,7,2.188909529184579e-06
