j,h,td,val
AMMONIA_STORAGE,1,1,2.188904627861091e-06
AMMONIA_STORAGE,1,2,2.188933369509476e-06
AMMONIA_STORAGE,1,3,2.188917267710762e-06
AMMONIA_STORAGE,1,4,2.188934164204515e-06
AMMONIA_STORAGE,1,5,2.188911222098184e-06
AMMONIA_STORAGE,1,6,2.188931220207255e-06
AMMONIA_STORAGE,1,7,2.188934542829597e-06
AMMONIA_STORAGE,1,8,2.188931963617363e-06
AMMONIA_STORAGE,1,9,2.188935725316865e-06
AMMONIA_STORAGE,1,10,2.188903931089458e-06
AMMONIA_STORAGE,1,11,2.188935111253594e-06
AMMONIA_STORAGE,1,12,2.188912202828438e-06
AMMONIA_STORAGE,2,1,2.188904627862176e-06
AMMONIA_STORAGE,2,2,2.188933369509909e-06
AMMONIA_STORAGE,2,3,2.188917267710545e-06
AMMONIA_STORAGE,2,4,2.188934973705418e-06
AMMONIA_STORAGE,2,5,2.188911243976082e-06
AMMONIA_STORAGE,2,6,2.188931220207906e-06
AMMONIA_STORAGE,2,7,2.188934542831332e-06
AMMONIA_STORAGE,2,8,2.188931963615628e-06
AMMONIA_STORAGE,2,9,2.188935725316648e-06
AMMONIA_STORAGE,2,10,2.188903931091193e-06
AMMONIA_STORAGE,2,11,2.188935111253378e-06
AMMONIA_STORAGE,2,12,2.188912202823884e-06
AMMONIA_STORAGE,3,1,2.188904627860441e-06
AMMONIA_STORAGE,3,2,2.188933369510126e-06
AMMONIA_STORAGE,3,3,2.188917267710762e-06
AMMONIA_STORAGE,3,4,2.188934973718646e-06
AMMONIA_STORAGE,3,5,2.18891126612655e-06
AMMONIA_STORAGE,3,6,2.188931220206171e-06
AMMONIA_STORAGE,3,7,2.188934542829814e-06
AMMONIA_STORAGE,3,8,2.188930688600812e-06
AMMONIA_STORAGE,3,9,2.188935725316648e-06
AMMONIA_STORAGE,3,10,2.188903931087506e-06
AMMONIA_STORAGE,3,11,2.188935111252293e-06
AMMONIA_STORAGE,3,12,2.188912202826703e-06
AMMONIA_STORAGE,4,1,2.18890462785979e-06
AMMONIA_STORAGE,4,2,2.188933369512295e-06
AMMONIA_STORAGE,4,3,2.188917267711412e-06
AMMONIA_STORAGE,4,4,2.188934973715393e-06
AMMONIA_STORAGE,4,5,2.18891128854308e-06
AMMONIA_STORAGE,4,6,2.188931220207038e-06
AMMONIA_STORAGE,4,7,2.188934542830248e-06
AMMONIA_STORAGE,4,8,2.188931252751969e-06
AMMONIA_STORAGE,4,9,2.188935725312745e-06
AMMONIA_STORAGE,4,10,2.188903931089241e-06
AMMONIA_STORAGE,4,11,2.188935111254462e-06
AMMONIA_STORAGE,4,12,2.188912202826486e-06
AMMONIA_STORAGE,5,1,2.188904627861742e-06
AMMONIA_STORAGE,5,2,2.188933369511427e-06
AMMONIA_STORAGE,5,3,2.188917267710762e-06
AMMONIA_STORAGE,5,4,2.18893497371626e-06
AMMONIA_STORAGE,5,5,2.188912770173003e-06
AMMONIA_STORAGE,5,6,2.188931220206605e-06
AMMONIA_STORAGE,5,7,2.188934542828079e-06
AMMONIA_STORAGE,5,8,2.188931850758639e-06
AMMONIA_STORAGE,5,9,2.188935725316865e-06
AMMONIA_STORAGE,5,10,2.188903931090325e-06
AMMONIA_STORAGE,5,11,2.188935111252727e-06
AMMONIA_STORAGE,5,12,2.18891220282692e-06
AMMONIA_STORAGE,6,1,2.188904627861959e-06
AMMONIA_STORAGE,6,2,2.18893336951121e-06
AMMONIA_STORAGE,6,3,2.188917267712063e-06
AMMONIA_STORAGE,6,4,2.188934973714959e-06
AMMONIA_STORAGE,6,5,2.188914159540574e-06
AMMONIA_STORAGE,6,6,2.188931220207472e-06
AMMONIA_STORAGE,6,7,2.188934542828513e-06
AMMONIA_STORAGE,6,8,2.188931963615845e-06
AMMONIA_STORAGE,6,9,2.188935725316648e-06
AMMONIA_STORAGE,6,10,2.188903931086856e-06
AMMONIA_STORAGE,6,11,2.188935111255763e-06
AMMONIA_STORAGE,6,12,2.188912202825835e-06
AMMONIA_STORAGE,7,1,2.18890462786326e-06
AMMONIA_STORAGE,7,2,2.188933369514029e-06
AMMONIA_STORAGE,7,3,2.188917267712497e-06
AMMONIA_STORAGE,7,4,2.188934973722115e-06
AMMONIA_STORAGE,7,5,2.188911357513951e-06
AMMONIA_STORAGE,7,6,2.188931220204436e-06
AMMONIA_STORAGE,7,7,2.188934542828513e-06
AMMONIA_STORAGE,7,8,2.188931963606087e-06
AMMONIA_STORAGE,7,9,2.18893572531513e-06
AMMONIA_STORAGE,7,10,2.188903931090325e-06
AMMONIA_STORAGE,7,11,2.188935111255112e-06
AMMONIA_STORAGE,7,12,2.188912202828004e-06
AMMONIA_STORAGE,8,1,2.188904627860441e-06
AMMONIA_STORAGE,8,2,2.188933369513379e-06
AMMONIA_STORAGE,8,3,2.188917267711846e-06
AMMONIA_STORAGE,8,4,2.188934973715176e-06
AMMONIA_STORAGE,8,5,2.188912455943024e-06
AMMONIA_STORAGE,8,6,2.188921256249645e-06
AMMONIA_STORAGE,8,7,2.188934542828947e-06
AMMONIA_STORAGE,8,8,2.188923633823694e-06
AMMONIA_STORAGE,8,9,2.188935725314697e-06
AMMONIA_STORAGE,8,10,2.188903931089675e-06
AMMONIA_STORAGE,8,11,2.188935111252944e-06
AMMONIA_STORAGE,8,12,2.18891220282692e-06
AMMONIA_STORAGE,9,1,2.18890462785979e-06
AMMONIA_STORAGE,9,2,2.188933369512728e-06
AMMONIA_STORAGE,9,3,2.188917267707726e-06
AMMONIA_STORAGE,9,4,2.188934973714526e-06
