pt,n,h,td,val
CCGT,GERMANY,1,1,2.500419654988207e-13
CCGT,GERMANY,1,2,3.970873804764475e-13
CCGT,GERMANY,1,3,6.750022585966741e-13
CCGT,GERMANY,1,4,1.929216252045736e-13
CCGT,GERMANY,1,5,1.875151255305415e-13
CCGT,GERMANY,1,6,4.500209401837688e-13
CCGT,GERMANY,1,7,1.776519481758329e-13
CCGT,GERMANY,1,8,1.184422972084672e-13
CCGT,GERMANY,1,9,2.935366477762661e-13
CCGT,GERMANY,1,10,2.59657166478002e-13
CCGT,GERMANY,1,11,1.986048573239125e-13
CCGT,GERMANY,1,12,1.43637336113928e-13
CCGT,GERMANY,2,1,2.500419650380701e-13
CCGT,GERMANY,2,2,3.970873813185991e-13
CCGT,GERMANY,2,3,6.75002258746441e-13
CCGT,GERMANY,2,4,1.929216534525723e-13
CCGT,GERMANY,2,5,1.875151256263256e-13
CCGT,GERMANY,2,6,4.500209403293285e-13
CCGT,GERMANY,2,7,1.776519490152813e-13
CCGT,GERMANY,2,8,1.184422972136904e-13
CCGT,GERMANY,2,9,2.935386645724468e-13
CCGT,GERMANY,2,10,2.596571666074936e-13
CCGT,GERMANY,2,11,1.986048609127505e-13
CCGT,GERMANY,2,12,1.436373362510888e-13
CCGT,GERMANY,3,1,2.50041964600237e-13
CCGT,GERMANY,3,2,3.970887815826519e-13
CCGT,GERMANY,3,3,6.750022589018676e-13
CCGT,GERMANY,3,4,1.9292165402059e-13
CCGT,GERMANY,3,5,1.875151257102048e-13
CCGT,GERMANY,3,6,4.500209404806002e-13
CCGT,GERMANY,3,7,1.776519498407939e-13
CCGT,GERMANY,3,8,1.184422971977394e-13
CCGT,GERMANY,3,9,2.935386688382647e-13
CCGT,GERMANY,3,10,2.596571667416683e-13
CCGT,GERMANY,3,11,1.986048644583649e-13
CCGT,GERMANY,3,12,1.436373364016716e-13
CCGT,GERMANY,4,1,2.500419641615225e-13
CCGT,GERMANY,4,2,3.970927796995687e-13
CCGT,GERMANY,4,3,6.750024157444148e-13
CCGT,GERMANY,4,4,1.929216544976727e-13
CCGT,GERMANY,4,5,1.875151257874443e-13
CCGT,GERMANY,4,6,4.500209406396199e-13
CCGT,GERMANY,4,7,1.776519506523461e-13
CCGT,GERMANY,4,8,1.184422971622174e-13
CCGT,GERMANY,4,9,2.935386730929783e-13
CCGT,GERMANY,4,10,2.596571669420028e-13
CCGT,GERMANY,4,11,1.986047284193477e-13
CCGT,GERMANY,4,12,1.436373366064517e-13
CCGT,GERMANY,5,1,2.500419637362663e-13
CCGT,GERMANY,5,2,3.970927996334317e-13
CCGT,GERMANY,5,3,6.750025738850596e-13
CCGT,GERMANY,5,4,1.929216546611583e-13
CCGT,GERMANY,5,5,1.875151258443849e-13
CCGT,GERMANY,5,6,4.500209412921478e-13
CCGT,GERMANY,5,7,1.776519514512006e-13
CCGT,GERMANY,5,8,1.184422971015262e-13
CCGT,GERMANY,5,9,2.935386773563255e-13
CCGT,GERMANY,5,10,2.596571670686509e-13
CCGT,GERMANY,5,11,1.986048712903092e-13
