j,h,td,val
AMMONIA_STORAGE,1,1,0.00250838920063716
AMMONIA_STORAGE,1,2,0.002508389168572575
AMMONIA_STORAGE,1,3,0.0
AMMONIA_STORAGE,1,4,0.00250838925992109
AMMONIA_STORAGE,1,5,0.002508389222087411
AMMONIA_STORAGE,1,6,0.002508389259241366
AMMONIA_STORAGE,1,7,0.002508389251766903
AMMONIA_STORAGE,1,8,0.002508389063822104
AMMONIA_STORAGE,1,9,0.002508389308848794
AMMONIA_STORAGE,1,10,0.002508389174048985
AMMONIA_STORAGE,1,11,0.00250838924434137
AMMONIA_STORAGE,1,12,0.00250838923969052
AMMONIA_STORAGE,2,1,0.002508389293360456
AMMONIA_STORAGE,2,2,0.002508389259094298
AMMONIA_STORAGE,2,3,0.0
AMMONIA_STORAGE,2,4,0.002508389283234438
AMMONIA_STORAGE,2,5,0.002508389208054205
AMMONIA_STORAGE,2,6,0.002508389190266025
AMMONIA_STORAGE,2,7,0.002508389223867536
AMMONIA_STORAGE,2,8,0.002508389161953376
AMMONIA_STORAGE,2,9,0.002508389284056626
AMMONIA_STORAGE,2,10,0.002508389223934716
AMMONIA_STORAGE,2,11,0.002508389247275315
AMMONIA_STORAGE,2,12,0.002508389138057752
AMMONIA_STORAGE,3,1,0.002508389276332071
AMMONIA_STORAGE,3,2,0.002508389245546819
AMMONIA_STORAGE,3,3,0.0
AMMONIA_STORAGE,3,4,0.002508389200887975
AMMONIA_STORAGE,3,5,0.00250838921027242
AMMONIA_STORAGE,3,6,0.002508389278887992
AMMONIA_STORAGE,3,7,0.002508389241838704
AMMONIA_STORAGE,3,8,0.002508389263359744
AMMONIA_STORAGE,3,9,0.002508389231352213
AMMONIA_STORAGE,3,10,0.002508389383908615
AMMONIA_STORAGE,3,11,0.002508389229683473
AMMONIA_STORAGE,3,12,0.002508389142578617
AMMONIA_STORAGE,4,1,0.002508389261223054
AMMONIA_STORAGE,4,2,0.002508389251584472
AMMONIA_STORAGE,4,3,0.0
AMMONIA_STORAGE,4,4,0.002508389205207977
AMMONIA_STORAGE,4,5,0.00250838927159504
AMMONIA_STORAGE,4,6,0.002508389222572454
AMMONIA_STORAGE,4,7,0.002508389257810394
AMMONIA_STORAGE,4,8,0.002508389278318885
AMMONIA_STORAGE,4,9,0.002508389205259704
AMMONIA_STORAGE,4,10,0.00250838920758272
AMMONIA_STORAGE,4,11,0.002508389239126415
AMMONIA_STORAGE,4,12,0.002508389232840534
AMMONIA_STORAGE,5,1,0.002508389247856993
AMMONIA_STORAGE,5,2,0.002508389225998119
AMMONIA_STORAGE,5,3,0.0
AMMONIA_STORAGE,5,4,0.002508389263261752
AMMONIA_STORAGE,5,5,0.002508389283537692
AMMONIA_STORAGE,5,6,0.002508389237948132
AMMONIA_STORAGE,5,7,0.002508389247618374
AMMONIA_STORAGE,5,8,0.002508389182930516
AMMONIA_STORAGE,5,9,0.002508389282027314
AMMONIA_STORAGE,5,10,0.002508389239503625
AMMONIA_STORAGE,5,11,0.002508389243918384
AMMONIA_STORAGE,5,12,0.002508389274444519
AMMONIA_STORAGE,6,1,0.002508389220618134
AMMONIA_STORAGE,6,2,0.002508389163312121
AMMONIA_STORAGE,6,3,0.0
AMMONIA_STORAGE,6,4,0.002508389236745887
AMMONIA_STORAGE,6,5,0.002508389199561878
AMMONIA_STORAGE,6,6,0.002508389236431883
AMMONIA_STORAGE,6,7,0.002508389213711232
AMMONIA_STORAGE,6,8,0.002508389186498756
AMMONIA_STORAGE,6,9,0.002508389235004075
AMMONIA_STORAGE,6,10,0.002508389292185541
AMMONIA_STORAGE,6,11,0.002508389214548233
AMMONIA_STORAGE,6,12,0.002508389253608067
AMMONIA_STORAGE,7,1,0.002508389198476149
AMMONIA_STORAGE,7,2,0.002508389265465641
AMMONIA_STORAGE,7,3,0.0
AMMONIA_STORAGE,7,4,0.002508389250146886
AMMONIA_STORAGE,7,5,0.002508389211278435
AMMONIA_STORAGE,7,6,0.002508389185522234
AMMONIA_STORAGE,7,7,0.002508389206584546
AMMONIA_STORAGE,7,8,0.002508389320002898
AMMONIA_STORAGE,7,9,0.002508389294682885
AMMONIA_STORAGE,7,10,0.002508389197870518
AMMONIA_STORAGE,7,11,0.002508389215482599
AMMONIA_STORAGE,7,12,0.00250838936353821
AMMONIA_STORAGE,8,1,0.002508389217230458
AMMONIA_STORAGE,8,2,0.002508389265495792
AMMONIA_STORAGE,8,3,0.0
AMMONIA_STORAGE,8,4,0.002508389207242549
AMMONIA_STORAGE,8,5,0.0025083892140625
AMMONIA_STORAGE,8,6,0.002508389250923526
AMMONIA_STORAGE,8,7,0.00250838925668294
AMMONIA_STORAGE,8,8,0.002508389263015577
AMMONIA_STORAGE,8,9,0.002508389227687387
AMMONIA_STORAGE,8,10,0.002508389239475572
AMMONIA_STORAGE,8,11,0.002508389275441577
AMMONIA_STORAGE,8,12,0.0025083892785403
AMMONIA_STORAGE,9,1,0.00250838937536915
AMMONIA_STORAGE,9,2,0.00250838923412462
AMMONIA_STORAGE,9,3,0.0
AMMONIA_STORAGE,9,4,0.002508389289067321
AMMONIA_STORAGE,9,5,0.00250838923480512
AMMONIA_STORAGE,9,6,0.002508389262265128
AMMONIA_STORAGE,9,7,0.002508389238585872
AMMONIA_STORAGE,9,8,0.00250838924498293
AMMONIA_STORAGE,9,9,0.002508389289377009
AMMONIA_STORAGE,9,10,0.002508389280253715
AMMONIA_STORAGE,9,11,0.002508389249035567
AMMONIA_STORAGE,9,12,0.002508389272757403
AMMONIA_STORAGE,10,1,0.00250838927808852
AMMONIA_STORAGE,10,2,0.002508389210699171
