k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.17267441219004337
1,ELECTRICITY,GERMANY,1,2,0.1736712998386307
1,ELECTRICITY,GERMANY,1,3,0.17390418021631834
1,ELECTRICITY,GERMANY,1,4,0.18178940557855203
1,ELECTRICITY,GERMANY,1,5,0.1836802805249422
1,ELECTRICITY,GERMANY,1,6,0.18810113486791474
1,ELECTRICITY,GERMANY,1,7,0.1866808922983211
1,ELECTRICITY,GERMANY,1,8,0.18687152748805597
1,ELECTRICITY,GERMANY,1,9,0.18292966343902345
1,ELECTRICITY,GERMANY,1,10,0.18198400272863377
1,ELECTRICITY,GERMANY,1,11,0.18313007823077343
1,ELECTRICITY,GERMANY,1,12,0.17903319374148896
1,ELECTRICITY,GERMANY,2,1,0.1741154126962864
1,ELECTRICITY,GERMANY,2,2,0.17548703340729901
1,ELECTRICITY,GERMANY,2,3,0.17504999287752243
1,ELECTRICITY,GERMANY,2,4,0.18154173585103997
1,ELECTRICITY,GERMANY,2,5,0.18352688774650566
1,ELECTRICITY,GERMANY,2,6,0.18698029364817295
1,ELECTRICITY,GERMANY,2,7,0.18649799808894918
1,ELECTRICITY,GERMANY,2,8,0.18674629862399203
1,ELECTRICITY,GERMANY,2,9,0.18283951381954644
1,ELECTRICITY,GERMANY,2,10,0.18150969281507937
1,ELECTRICITY,GERMANY,2,11,0.18456463361687198
1,ELECTRICITY,GERMANY,2,12,0.18003002661299816
1,ELECTRICITY,GERMANY,3,1,0.1741352821169381
1,ELECTRICITY,GERMANY,3,2,0.1763458329033066
1,ELECTRICITY,GERMANY,3,3,0.17464010405566385
1,ELECTRICITY,GERMANY,3,4,0.18006137795483848
1,ELECTRICITY,GERMANY,3,5,0.1814842754101356
1,ELECTRICITY,GERMANY,3,6,0.18546408762392827
1,ELECTRICITY,GERMANY,3,7,0.18456589381115124
1,ELECTRICITY,GERMANY,3,8,0.18583932335970016
1,ELECTRICITY,GERMANY,3,9,0.18173091556528953
1,ELECTRICITY,GERMANY,3,10,0.17963709274499545
1,ELECTRICITY,GERMANY,3,11,0.18508058776454842
1,ELECTRICITY,GERMANY,3,12,0.17965312513158124
1,ELECTRICITY,GERMANY,4,1,0.1735559689325221
1,ELECTRICITY,GERMANY,4,2,0.17624054739629674
1,ELECTRICITY,GERMANY,4,3,0.17405359012904378
1,ELECTRICITY,GERMANY,4,4,0.17587213701641738
1,ELECTRICITY,GERMANY,4,5,0.17692476039814384
1,ELECTRICITY,GERMANY,4,6,0.18087448419220484
1,ELECTRICITY,GERMANY,4,7,0.1805796529415842
1,ELECTRICITY,GERMANY,4,8,0.18016990702007313
1,ELECTRICITY,GERMANY,4,9,0.17609293263202153
1,ELECTRICITY,GERMANY,4,10,0.17589306345156644
1,ELECTRICITY,GERMANY,4,11,0.1855828695663679
1,ELECTRICITY,GERMANY,4,12,0.17815982737489086
1,ELECTRICITY,GERMANY,5,1,0.1705540873398371
1,ELECTRICITY,GERMANY,5,2,0.17364054056881956
1,ELECTRICITY,GERMANY,5,3,0.17021838417030197
1,ELECTRICITY,GERMANY,5,4,0.16677461280512593
1,ELECTRICITY,GERMANY,5,5,0.16865896084568394
1,ELECTRICITY,GERMANY,5,6,0.17156249985364658
1,ELECTRICITY,GERMANY,5,7,0.17166522769537268
1,ELECTRICITY,GERMANY,5,8,0.1708533123317343
1,ELECTRICITY,GERMANY,5,9,0.16749919347510409
1,ELECTRICITY,GERMANY,5,10,0.16613821491445893
1,ELECTRICITY,GERMANY,5,11,0.18590706363309875
1,ELECTRICITY,GERMANY,5,12,0.17399357137374066
1,ELECTRICITY,GERMANY,6,1,0.16252500691535043
1,ELECTRICITY,GERMANY,6,2,0.16536562760367063
1,ELECTRICITY,GERMANY,6,3,0.1615092568354275
1,ELECTRICITY,GERMANY,6,4,0.16161078466466755
1,ELECTRICITY,GERMANY,6,5,0.16226535091084712
1,ELECTRICITY,GERMANY,6,6,0.1651585001798826
1,ELECTRICITY,GERMANY,6,7,0.16513140275765933
1,ELECTRICITY,GERMANY,6,8,0.16466737409881593
1,ELECTRICITY,GERMANY,6,9,0.1617923626737153
1,ELECTRICITY,GERMANY,6,10,0.15996335962042246
1,ELECTRICITY,GERMANY,6,11,0.1837170187924769
1,ELECTRICITY,GERMANY,6,12,0.16431788540741504
1,ELECTRICITY,GERMANY,7,1,0.15535872454904162
1,ELECTRICITY,GERMANY,7,2,0.15848499629879428
1,ELECTRICITY,GERMANY,7,3,0.1556789181962348
1,ELECTRICITY,GERMANY,7,4,0.158625963260362
1,ELECTRICITY,GERMANY,7,5,0.15843695743278852
1,ELECTRICITY,GERMANY,7,6,0.1621778711549122
1,ELECTRICITY,GERMANY,7,7,0.16215438312880426
1,ELECTRICITY,GERMANY,7,8,0.1612753739818591
1,ELECTRICITY,GERMANY,7,9,0.15814708762501314
1,ELECTRICITY,GERMANY,7,10,0.15683703513766847
1,ELECTRICITY,GERMANY,7,11,0.1796921947347796
1,ELECTRICITY,GERMANY,7,12,0.157069425454469
1,ELECTRICITY,GERMANY,8,1,0.15220340230752766
1,ELECTRICITY,GERMANY,8,2,0.15637909313389867
1,ELECTRICITY,GERMANY,8,3,0.15449361702042616
1,ELECTRICITY,GERMANY,8,4,0.15790082598442173
1,ELECTRICITY,GERMANY,8,5,0.15723100635438758
1,ELECTRICITY,GERMANY,8,6,0.1613911982390899
1,ELECTRICITY,GERMANY,8,7,0.160748840709173
1,ELECTRICITY,GERMANY,8,8,0.15981987170049675
1,ELECTRICITY,GERMANY,8,9,0.15679830529070612
1,ELECTRICITY,GERMANY,8,10,0.1560740368135456
1,ELECTRICITY,GERMANY,8,11,0.1731769685436661
1,ELECTRICITY,GERMANY,8,12,0.15488628422913084
1,ELECTRICITY,GERMANY,9,1,0.15242937600734535
1,ELECTRICITY,GERMANY,9,2,0.15575542267146247
1,ELECTRICITY,GERMANY,9,3,0.15489579363485564
1,ELECTRICITY,GERMANY,9,4,0.15675933482822746
1,ELECTRICITY,GERMANY,9,5,0.15626273454925843
1,ELECTRICITY,GERMANY,9,6,0.1597792500859927
1,ELECTRICITY,GERMANY,9,7,0.1579014848247102
1,ELECTRICITY,GERMANY,9,8,0.1580944979417711
1,ELECTRICITY,GERMANY,9,9,0.15495515871317475
1,ELECTRICITY,GERMANY,9,10,0.15543734060374056
1,ELECTRICITY,GERMANY,9,11,0.1698132572483465
1,ELECTRICITY,GERMANY,9,12,0.15407934440868537
1,ELECTRICITY,GERMANY,10,1,0.15102647105861094
1,ELECTRICITY,GERMANY,10,2,0.15484471014344428
1,ELECTRICITY,GERMANY,10,3,0.15422276071317986
1,ELECTRICITY,GERMANY,10,4,0.15621912858847176
1,ELECTRICITY,GERMANY,10,5,0.1548459773162075
1,ELECTRICITY,GERMANY,10,6,0.15796831978598241
1,ELECTRICITY,GERMANY,10,7,0.1562146145688191
1,ELECTRICITY,GERMANY,10,8,0.1563717268015921
1,ELECTRICITY,GERMANY,10,9,0.15329666448010731
1,ELECTRICITY,GERMANY,10,10,0.1539371964661809
1,ELECTRICITY,GERMANY,10,11,0.1674116093691455
1,ELECTRICITY,GERMANY,10,12,0.15355081601059348
1,ELECTRICITY,GERMANY,11,1,0.14961294627870408
1,ELECTRICITY,GERMANY,11,2,0.15449235560811653
1,ELECTRICITY,GERMANY,11,3,0.15454686740237442
1,ELECTRICITY,GERMANY,11,4,0.15643960085148187
1,ELECTRICITY,GERMANY,11,5,0.15510402496283504
1,ELECTRICITY,GERMANY,11,6,0.157239891189452
1,ELECTRICITY,GERMANY,11,7,0.15841109221008337
1,ELECTRICITY,GERMANY,11,8,0.15756369543421944
1,ELECTRICITY,GERMANY,11,9,0.15385921441420164
1,ELECTRICITY,GERMANY,11,10,0.15431570925466725
1,ELECTRICITY,GERMANY,11,11,0.1663197347045728
1,ELECTRICITY,GERMANY,11,12,0.15306105620446692
1,ELECTRICITY,GERMANY,12,1,0.15007645028460873
1,ELECTRICITY,GERMANY,12,2,0.15476416053862055
1,ELECTRICITY,GERMANY,12,3,0.15647271890641604
1,ELECTRICITY,GERMANY,12,4,0.1569214492697727
1,ELECTRICITY,GERMANY,12,5,0.15674686837113672
1,ELECTRICITY,GERMANY,12,6,0.15788159027187557
1,ELECTRICITY,GERMANY,12,7,0.15911631080462174
1,ELECTRICITY,GERMANY,12,8,0.1595108038558042
1,ELECTRICITY,GERMANY,12,9,0.1544000761331393
1,ELECTRICITY,GERMANY,12,10,0.154770996400253
1,ELECTRICITY,GERMANY,12,11,0.16680136999318232
1,ELECTRICITY,GERMANY,12,12,0.15300721616059942
1,ELECTRICITY,GERMANY,13,1,0.1505076300147122
1,ELECTRICITY,GERMANY,13,2,0.15516380426947685
1,ELECTRICITY,GERMANY,13,3,0.15830824550706013
1,ELECTRICITY,GERMANY,13,4,0.15804207522613012
1,ELECTRICITY,GERMANY,13,5,0.15814986342930631
1,ELECTRICITY,GERMANY,13,6,0.15923387747430656
1,ELECTRICITY,GERMANY,13,7,0.1594536753196041
1,ELECTRICITY,GERMANY,13,8,0.16136229538486457
1,ELECTRICITY,GERMANY,13,9,0.15560671161836556
1,ELECTRICITY,GERMANY,13,10,0.15633064315399578
1,ELECTRICITY,GERMANY,13,11,0.1694258299959403
1,ELECTRICITY,GERMANY,13,12,0.15435964407587252
1,ELECTRICITY,GERMANY,14,1,0.15155679172527298
1,ELECTRICITY,GERMANY,14,2,0.15619965568284605
1,ELECTRICITY,GERMANY,14,3,0.16032714867308773
1,ELECTRICITY,GERMANY,14,4,0.15934088273007901
1,ELECTRICITY,GERMANY,14,5,0.15910868434509506
1,ELECTRICITY,GERMANY,14,6,0.15985875823391174
1,ELECTRICITY,GERMANY,14,7,0.16045739690874947
1,ELECTRICITY,GERMANY,14,8,0.16277709292085815
1,ELECTRICITY,GERMANY,14,9,0.15599168908452718
1,ELECTRICITY,GERMANY,14,10,0.15772143091817403
1,ELECTRICITY,GERMANY,14,11,0.17123196109901243
1,ELECTRICITY,GERMANY,14,12,0.15510364354073647
1,ELECTRICITY,GERMANY,15,1,0.1520359798490915
1,ELECTRICITY,GERMANY,15,2,0.15716466316573896
1,ELECTRICITY,GERMANY,15,3,0.16068809283489952
1,ELECTRICITY,GERMANY,15,4,0.1606430734901692
1,ELECTRICITY,GERMANY,15,5,0.16017188890993606
1,ELECTRICITY,GERMANY,15,6,0.1616296972802083
