ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465968615876633
ELECTRICITY,GERMANY,1,2,-0.8138354886427734
ELECTRICITY,GERMANY,1,3,-0.8127456549488628
ELECTRICITY,GERMANY,1,4,-0.7774923233618836
ELECTRICITY,GERMANY,1,5,1.015872726840364
ELECTRICITY,GERMANY,1,6,-0.7514035849244038
ELECTRICITY,GERMANY,1,7,-0.7571201619336279
ELECTRICITY,GERMANY,1,8,-0.7563477934547365
ELECTRICITY,GERMANY,1,9,-0.7726459701243442
ELECTRICITY,GERMANY,1,10,6.135177324148685
ELECTRICITY,GERMANY,1,11,-0.7718003986653486
ELECTRICITY,GERMANY,1,12,6.236403115042407
ELECTRICITY,GERMANY,2,1,6.412453807255957
ELECTRICITY,GERMANY,2,2,-0.8054148755077364
ELECTRICITY,GERMANY,2,3,-0.8074257217604597
ELECTRICITY,GERMANY,2,4,-0.7785530237595708
ELECTRICITY,GERMANY,2,5,1.00702307418851
ELECTRICITY,GERMANY,2,6,-0.7559078248993387
ELECTRICITY,GERMANY,2,7,-0.7578626519063434
ELECTRICITY,GERMANY,2,8,-0.7568549872890387
ELECTRICITY,GERMANY,2,9,-0.7730269257469828
ELECTRICITY,GERMANY,2,10,6.151209911979898
ELECTRICITY,GERMANY,2,11,-0.7658014681054865
ELECTRICITY,GERMANY,2,12,6.201871095503819
ELECTRICITY,GERMANY,3,1,6.411722101914407
ELECTRICITY,GERMANY,3,2,-0.8014925265744068
ELECTRICITY,GERMANY,3,3,-0.8093207892363452
ELECTRICITY,GERMANY,3,4,-0.7849538251717405
ELECTRICITY,GERMANY,3,5,0.9393954030388585
ELECTRICITY,GERMANY,3,6,-0.7620875226265866
ELECTRICITY,GERMANY,3,7,-0.7657962394377762
ELECTRICITY,GERMANY,3,8,-0.7605487624112826
ELECTRICITY,GERMANY,3,9,-0.7777425587484501
ELECTRICITY,GERMANY,3,10,6.21533436920565
ELECTRICITY,GERMANY,3,11,-0.7636666226900886
ELECTRICITY,GERMANY,3,12,6.214882562222343
