p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.600427909403631
AMMONIA,GERMANY,1,2,1.007676849915684
AMMONIA,GERMANY,1,3,0.5927510666329009
AMMONIA,GERMANY,1,4,2.074628797514249
AMMONIA,GERMANY,1,5,2.133903958601736
AMMONIA,GERMANY,1,6,0.8891266323113398
AMMONIA,GERMANY,1,7,2.252454306991789
AMMONIA,GERMANY,1,8,3.378681465408655
AMMONIA,GERMANY,1,9,1.363327612400594
AMMONIA,GERMANY,1,10,1.541152864898143
AMMONIA,GERMANY,1,11,2.015353743020932
AMMONIA,GERMANY,1,12,2.785930129740944
AMMONIA,GERMANY,2,1,1.600427909368645
AMMONIA,GERMANY,2,2,1.007676849883614
AMMONIA,GERMANY,2,3,0.5927510666301676
AMMONIA,GERMANY,2,4,2.074628797588858
AMMONIA,GERMANY,2,5,2.133903958686516
AMMONIA,GERMANY,2,6,0.8891266323425555
AMMONIA,GERMANY,2,7,2.252454306988708
AMMONIA,GERMANY,2,8,3.3786814654591
AMMONIA,GERMANY,2,9,1.363327612421806
AMMONIA,GERMANY,2,10,1.541152864878043
AMMONIA,GERMANY,2,11,2.015353742948607
AMMONIA,GERMANY,2,12,2.785930129643767
AMMONIA,GERMANY,3,1,1.600427909333831
AMMONIA,GERMANY,3,2,1.007676849851511
AMMONIA,GERMANY,3,3,0.5927510666274344
AMMONIA,GERMANY,3,4,2.074628797663362
AMMONIA,GERMANY,3,5,2.13390395877342
AMMONIA,GERMANY,3,6,0.8891266323737413
AMMONIA,GERMANY,3,7,2.252454306985437
AMMONIA,GERMANY,3,8,3.378681465510172
AMMONIA,GERMANY,3,9,1.363327612442901
AMMONIA,GERMANY,3,10,1.541152864858116
AMMONIA,GERMANY,3,11,2.015353742876123
AMMONIA,GERMANY,3,12,2.785930129546755
AMMONIA,GERMANY,4,1,1.600427909299191
AMMONIA,GERMANY,4,2,1.007676849819477
AMMONIA,GERMANY,4,3,0.5927510666247489
AMMONIA,GERMANY,4,4,2.074628797737698
AMMONIA,GERMANY,4,5,2.133903958858189
AMMONIA,GERMANY,4,6,0.8891266324048677
AMMONIA,GERMANY,4,7,2.252454306982018
AMMONIA,GERMANY,4,8,3.378681465528099
AMMONIA,GERMANY,4,9,1.363327612463885
AMMONIA,GERMANY,4,10,1.541152864838362
AMMONIA,GERMANY,4,11,2.015353742803468
AMMONIA,GERMANY,4,12,2.785930129449913
AMMONIA,GERMANY,5,1,1.600427909264723
AMMONIA,GERMANY,5,2,1.007676849787446
AMMONIA,GERMANY,5,3,0.5927510666220548
AMMONIA,GERMANY,5,4,2.074628797811892
AMMONIA,GERMANY,5,5,2.133903958943075
AMMONIA,GERMANY,5,6,0.8891266324360447
AMMONIA,GERMANY,5,7,2.252454306978366
AMMONIA,GERMANY,5,8,3.378681465610804
AMMONIA,GERMANY,5,9,1.363327612484744
AMMONIA,GERMANY,5,10,1.54115286481878
AMMONIA,GERMANY,5,11,2.01535374273065
AMMONIA,GERMANY,5,12,2.785930129353239
AMMONIA,GERMANY,6,1,1.600427909230427
AMMONIA,GERMANY,6,2,1.007676849755347
AMMONIA,GERMANY,6,3,0.5927510666193848
AMMONIA,GERMANY,6,4,2.074628797886289
AMMONIA,GERMANY,6,5,2.133903959028075
AMMONIA,GERMANY,6,6,0.8891266324672832
AMMONIA,GERMANY,6,7,2.252454306974521
AMMONIA,GERMANY,6,8,3.378681465660586
AMMONIA,GERMANY,6,9,1.363327612505462
AMMONIA,GERMANY,6,10,1.541152864799372
AMMONIA,GERMANY,6,11,2.015353742657659
AMMONIA,GERMANY,6,12,2.785930129256735
AMMONIA,GERMANY,7,1,1.600427909196304
AMMONIA,GERMANY,7,2,1.007676849723197
AMMONIA,GERMANY,7,3,0.5927510666167528
AMMONIA,GERMANY,7,4,2.074628797959652
AMMONIA,GERMANY,7,5,2.133903959113188
AMMONIA,GERMANY,7,6,0.8891266324989936
AMMONIA,GERMANY,7,7,2.252454306970597
AMMONIA,GERMANY,7,8,3.378681465684765
AMMONIA,GERMANY,7,9,1.363327612526027
AMMONIA,GERMANY,7,10,1.541152864780137
AMMONIA,GERMANY,7,11,2.015353742584495
AMMONIA,GERMANY,7,12,2.7859301291604
AMMONIA,GERMANY,8,1,1.600427909162354
AMMONIA,GERMANY,8,2,1.007676849690969
AMMONIA,GERMANY,8,3,0.592751066614266
AMMONIA,GERMANY,8,4,2.074628798033242
AMMONIA,GERMANY,8,5,2.133903959198417
AMMONIA,GERMANY,8,6,0.8891266323882238
AMMONIA,GERMANY,8,7,2.252454306967079
AMMONIA,GERMANY,8,8,3.378681465668602
AMMONIA,GERMANY,8,9,1.363327612546444
AMMONIA,GERMANY,8,10,1.541152864761075
AMMONIA,GERMANY,8,11,2.015353742511148
AMMONIA,GERMANY,8,12,2.785930129064236
AMMONIA,GERMANY,9,1,1.600427909128576
AMMONIA,GERMANY,9,2,1.007676849658728
AMMONIA,GERMANY,9,3,0.5927510666125896
AMMONIA,GERMANY,9,4,2.074628798106938
AMMONIA,GERMANY,9,5,2.133903959283772
AMMONIA,GERMANY,9,6,0.8891266323468774
AMMONIA,GERMANY,9,7,2.252454306963827
AMMONIA,GERMANY,9,8,3.378681465718475
AMMONIA,GERMANY,9,9,1.363327612567054
AMMONIA,GERMANY,9,10,1.541152864742188
AMMONIA,GERMANY,9,11,2.015353742437632
AMMONIA,GERMANY,9,12,2.785930128968248
AMMONIA,GERMANY,10,1,1.600427909094972
AMMONIA,GERMANY,10,2,1.007676849626439
AMMONIA,GERMANY,10,3,0.5927510666113989
AMMONIA,GERMANY,10,4,2.074628798171134
AMMONIA,GERMANY,10,5,2.13390395936029
AMMONIA,GERMANY,10,6,0.88912663237679
AMMONIA,GERMANY,10,7,2.252454306959697
AMMONIA,GERMANY,10,8,3.37868146576857
AMMONIA,GERMANY,10,9,1.363327612588128
AMMONIA,GERMANY,10,10,1.541152864723473
AMMONIA,GERMANY,10,11,2.015353742363985
AMMONIA,GERMANY,10,12,2.785930128872423
AMMONIA,GERMANY,11,1,1.60042790906154
AMMONIA,GERMANY,11,2,1.007676849594113
AMMONIA,GERMANY,11,3,0.5927510666092735
AMMONIA,GERMANY,11,4,2.074628798182705
AMMONIA,GERMANY,11,5,2.133903959438486
AMMONIA,GERMANY,11,6,0.8891266324083045
AMMONIA,GERMANY,11,7,2.252454306954925
AMMONIA,GERMANY,11,8,3.378681465818684
AMMONIA,GERMANY,11,9,1.363327612608371
AMMONIA,GERMANY,11,10,1.541152864704926
AMMONIA,GERMANY,11,11,2.015353742290159
AMMONIA,GERMANY,11,12,2.785930128776748
AMMONIA,GERMANY,12,1,1.600427909028281
AMMONIA,GERMANY,12,2,1.00767684956179
AMMONIA,GERMANY,12,3,0.592751066606956
AMMONIA,GERMANY,12,4,2.074628798245564
AMMONIA,GERMANY,12,5,2.133903959514979
AMMONIA,GERMANY,12,6,0.8891266324401144
AMMONIA,GERMANY,12,7,2.252454306907565
AMMONIA,GERMANY,12,8,3.378681465867927
AMMONIA,GERMANY,12,9,1.363327612628526
AMMONIA,GERMANY,12,10,1.541152864686558
AMMONIA,GERMANY,12,11,2.015353742216209
AMMONIA,GERMANY,12,12,2.785930128681277
AMMONIA,GERMANY,13,1,1.600427908995196
AMMONIA,GERMANY,13,2,1.007676849529203
AMMONIA,GERMANY,13,3,0.5927510666047311
AMMONIA,GERMANY,13,4,2.074628798320226
AMMONIA,GERMANY,13,5,2.13390395960091
AMMONIA,GERMANY,13,6,0.8891266324714525
AMMONIA,GERMANY,13,7,2.252454306905376
AMMONIA,GERMANY,13,8,3.378681465905809
AMMONIA,GERMANY,13,9,1.363327612637061
AMMONIA,GERMANY,13,10,1.541152864668364
AMMONIA,GERMANY,13,11,2.015353742142212
AMMONIA,GERMANY,13,12,2.785930128585955
AMMONIA,GERMANY,14,1,1.600427908962283
AMMONIA,GERMANY,14,2,1.007676849496564
AMMONIA,GERMANY,14,3,0.5927510666026903
AMMONIA,GERMANY,14,4,2.074628798394926
AMMONIA,GERMANY,14,5,2.133903959687001
