h,td,mult
1,1,27
1,2,17
1,3,10
1,4,35
1,5,36
1,6,15
1,7,38
1,8,57
1,9,23
1,10,26
1,11,34
1,12,47
2,1,27
2,2,17
2,3,10
2,4,35
2,5,36
2,6,15
2,7,38
2,8,57
2,9,23
2,10,26
2,11,34
2,12,47
3,1,27
3,2,17
3,3,10
3,4,35
3,5,36
3,6,15
3,7,38
3,8,57
3,9,23
3,10,26
3,11,34
3,12,47
4,1,27
4,2,17
4,3,10
4,4,35
4,5,36
4,6,15
4,7,38
4,8,57
4,9,23
4,10,26
4,11,34
4,12,47
5,1,27
5,2,17
5,3,10
5,4,35
5,5,36
5,6,15
5,7,38
5,8,57
5,9,23
5,10,26
5,11,34
5,12,47
6,1,27
6,2,17
6,3,10
6,4,35
6,5,36
6,6,15
6,7,38
6,8,57
6,9,23
6,10,26
6,11,34
6,12,47
7,1,27
7,2,17
7,3,10
7,4,35
7,5,36
7,6,15
7,7,38
7,8,57
7,9,23
7,10,26
7,11,34
7,12,47
8,1,27
8,2,17
8,3,10
8,4,35
8,5,36
8,6,15
8,7,38
8,8,57
8,9,23
8,10,26
8,11,34
8,12,47
9,1,27
9,2,17
9,3,10
9,4,35
9,5,36
9,6,15
9,7,38
9,8,57
9,9,23
9,10,26
9,11,34
9,12,47
10,1,27
10,2,17
10,3,10
10,4,35
10,5,36
10,6,15
10,7,38
10,8,57
10,9,23
10,10,26
10,11,34
10,12,47
11,1,27
11,2,17
11,3,10
11,4,35
11,5,36
11,6,15
11,7,38
11,8,57
11,9,23
11,10,26
11,11,34
11,12,47
12,1,27
12,2,17
12,3,10
12,4,35
12,5,36
12,6,15
12,7,38
12,8,57
12,9,23
12,10,26
12,11,34
12,12,47
13,1,27
13,2,17
13,3,10
13,4,35
13,5,36
13,6,15
13,7,38
13,8,57
13,9,23
13,10,26
13,11,34
13,12,47
14,1,27
14,2,17
14,3,10
14,4,35
14,5,36
14,6,15
14,7,38
14,8,57
14,9,23
14,10,26
14,11,34
14,12,47
15,1,27
15,2,17
15,3,10
15,4,35
15,5,36
15,6,15
15,7,38
15,8,57
15,9,23
15,10,26
15,11,34
15,12,47
16,1,27
16,2,17
16,3,10
16,4,35
16,5,36
16,6,15
16,7,38
16,8,57
16,9,23
16,10,26
16,11,34
16,12,47
17,1,27
17,2,17
17,3,10
17,4,35
17,5,36
17,6,15
17,7,38
17,8,57
17,9,23
17,10,26
17,11,34
17,12,47
18,1,27
18,2,17
18,3,10
18,4,35
18,5,36
18,6,15
18,7,38
18,8,57
18,9,23
18,10,26
18,11,34
18,12,47
19,1,27
19,2,17
19,3,10
19,4,35
19,5,36
19,6,15
19,7,38
19,8,57
19,9,23
19,10,26
19,11,34
19,12,47
20,1,27
20,2,17
20,3,10
20,4,35
20,5,36
20,6,15
20,7,38
20,8,57
20,9,23
20,10,26
20,11,34
20,12,47
21,1,27
21,2,17
21,3,10
21,4,35
21,5,36
21,6,15
21,7,38
21,8,57
21,9,23
21,10,26
21,11,34
21,12,47
22,1,27
22,2,17
22,3,10
22,4,35
22,5,36
22,6,15
22,7,38
22,8,57
22,9,23
22,10,26
22,11,34
22,12,47
23,1,27
23,2,17
23,3,10
23,4,35
23,5,36
23,6,15
23,7,38
23,8,57
23,9,23
23,10,26
23,11,34
23,12,47
24,1,27
24,2,17
24,3,10
24,4,35
24,5,36
24,6,15
24,7,38
24,8,57
24,9,23
24,10,26
24,11,34
24,12,47
