p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.600427909403631,27,1,0.05927510775569004,59.27510775569004
AMMONIA,GERMANY,1,2,1.007676849915684,17,1,0.05927510881856965,59.27510881856965
AMMONIA,GERMANY,1,3,0.5927510666329009,10,1,0.05927510666329009,59.27510666329009
AMMONIA,GERMANY,1,4,2.074628797514249,35,1,0.05927510850040711,59.275108500407114
AMMONIA,GERMANY,1,5,2.133903958601736,36,1,0.05927510996115933,59.27510996115933
AMMONIA,GERMANY,1,6,0.8891266323113398,15,1,0.05927510882075599,59.27510882075599
AMMONIA,GERMANY,1,7,2.252454306991789,38,1,0.05927511334188919,59.27511334188919
AMMONIA,GERMANY,1,8,3.378681465408655,57,1,0.05927511342822202,59.27511342822202
AMMONIA,GERMANY,1,9,1.363327612400594,23,1,0.05927511358263452,59.275113582634525
AMMONIA,GERMANY,1,10,1.541152864898143,26,1,0.059275110188390115,59.275110188390116
AMMONIA,GERMANY,1,11,2.015353743020932,34,1,0.059275110088850946,59.275110088850944
AMMONIA,GERMANY,1,12,2.785930129740944,47,1,0.059275109143424334,59.27510914342434
AMMONIA,GERMANY,2,1,1.600427909368645,27,1,0.05927510775439426,59.27510775439426
AMMONIA,GERMANY,2,2,1.007676849883614,17,1,0.05927510881668317,59.27510881668317
AMMONIA,GERMANY,2,3,0.5927510666301676,10,1,0.05927510666301676,59.27510666301676
AMMONIA,GERMANY,2,4,2.074628797588858,35,1,0.05927510850253881,59.27510850253881
AMMONIA,GERMANY,2,5,2.133903958686516,36,1,0.05927510996351434,59.27510996351434
AMMONIA,GERMANY,2,6,0.8891266323425555,15,1,0.059275108822837035,59.27510882283703
AMMONIA,GERMANY,2,7,2.252454306988708,38,1,0.05927511334180811,59.27511334180811
AMMONIA,GERMANY,2,8,3.3786814654591,57,1,0.05927511342910702,59.275113429107016
AMMONIA,GERMANY,2,9,1.363327612421806,23,1,0.05927511358355678,59.275113583556774
AMMONIA,GERMANY,2,10,1.541152864878043,26,1,0.05927511018761704,59.27511018761704
AMMONIA,GERMANY,2,11,2.015353742948607,34,1,0.05927511008672373,59.27511008672373
AMMONIA,GERMANY,2,12,2.785930129643767,47,1,0.05927510914135674,59.27510914135674
AMMONIA,GERMANY,3,1,1.600427909333831,27,1,0.05927510775310485,59.27510775310485
AMMONIA,GERMANY,3,2,1.007676849851511,17,1,0.05927510881479476,59.27510881479476
AMMONIA,GERMANY,3,3,0.5927510666274344,10,1,0.05927510666274344,59.27510666274344
AMMONIA,GERMANY,3,4,2.074628797663362,35,1,0.05927510850466749,59.275108504667486
AMMONIA,GERMANY,3,5,2.13390395877342,36,1,0.05927510996592833,59.27510996592833
AMMONIA,GERMANY,3,6,0.8891266323737413,15,1,0.05927510882491609,59.27510882491609
AMMONIA,GERMANY,3,7,2.252454306985437,38,1,0.05927511334172202,59.275113341722026
AMMONIA,GERMANY,3,8,3.378681465510172,57,1,0.05927511343000302,59.27511343000302
AMMONIA,GERMANY,3,9,1.363327612442901,23,1,0.05927511358447396,59.27511358447396
AMMONIA,GERMANY,3,10,1.541152864858116,26,1,0.05927511018685062,59.27511018685062
AMMONIA,GERMANY,3,11,2.015353742876123,34,1,0.05927511008459185,59.27511008459185
AMMONIA,GERMANY,3,12,2.785930129546755,47,1,0.05927510913929266,59.27510913929266
AMMONIA,GERMANY,4,1,1.600427909299191,27,1,0.05927510775182189,59.27510775182189
AMMONIA,GERMANY,4,2,1.007676849819477,17,1,0.05927510881291041,59.27510881291041
AMMONIA,GERMANY,4,3,0.5927510666247489,10,1,0.05927510666247489,59.27510666247489
AMMONIA,GERMANY,4,4,2.074628797737698,35,1,0.059275108506791366,59.27510850679137
AMMONIA,GERMANY,4,5,2.133903958858189,36,1,0.05927510996828303,59.27510996828303
AMMONIA,GERMANY,4,6,0.8891266324048677,15,1,0.05927510882699118,59.27510882699118
AMMONIA,GERMANY,4,7,2.252454306982018,38,1,0.05927511334163206,59.27511334163206
AMMONIA,GERMANY,4,8,3.378681465528099,57,1,0.05927511343031753,59.27511343031753
AMMONIA,GERMANY,4,9,1.363327612463885,23,1,0.0592751135853863,59.2751135853863
AMMONIA,GERMANY,4,10,1.541152864838362,26,1,0.05927511018609084,59.27511018609084
AMMONIA,GERMANY,4,11,2.015353742803468,34,1,0.05927511008245494,59.27511008245494
AMMONIA,GERMANY,4,12,2.785930129449913,47,1,0.05927510913723219,59.27510913723219
AMMONIA,GERMANY,5,1,1.600427909264723,27,1,0.05927510775054529,59.275107750545295
AMMONIA,GERMANY,5,2,1.007676849787446,17,1,0.05927510881102623,59.27510881102623
AMMONIA,GERMANY,5,3,0.5927510666220548,10,1,0.05927510666220548,59.27510666220548
AMMONIA,GERMANY,5,4,2.074628797811892,35,1,0.05927510850891119,59.27510850891119
AMMONIA,GERMANY,5,5,2.133903958943075,36,1,0.05927510997064097,59.27510997064097
AMMONIA,GERMANY,5,6,0.8891266324360447,15,1,0.059275108829069646,59.275108829069644
AMMONIA,GERMANY,5,7,2.252454306978366,38,1,0.05927511334153595,59.27511334153595
AMMONIA,GERMANY,5,8,3.378681465610804,57,1,0.05927511343176849,59.275113431768496
