j,h,td,val
AMMONIA_STORAGE,1,1,0.0001043385251360397
AMMONIA_STORAGE,1,2,0.0001043397625305348
AMMONIA_STORAGE,1,3,0.0001043392251902937
AMMONIA_STORAGE,1,4,0.0001043397440788178
AMMONIA_STORAGE,1,5,0.0001043388526039395
AMMONIA_STORAGE,1,6,0.0001043396994319468
AMMONIA_STORAGE,1,7,0.0001043397222780967
AMMONIA_STORAGE,1,8,0.0001043396056236948
AMMONIA_STORAGE,1,9,0.000104339811810043
AMMONIA_STORAGE,1,10,0.0001043384977707036
AMMONIA_STORAGE,1,11,0.0001043397513783401
AMMONIA_STORAGE,1,12,0.0001043388225716662
AMMONIA_STORAGE,2,1,0.000104338525136051
AMMONIA_STORAGE,2,2,0.0001043397625305454
AMMONIA_STORAGE,2,3,0.0001043392251902787
AMMONIA_STORAGE,2,4,0.0001043397440790793
AMMONIA_STORAGE,2,5,0.0001043388543758785
AMMONIA_STORAGE,2,6,0.000104339699431947
AMMONIA_STORAGE,2,7,0.0001043397222780854
AMMONIA_STORAGE,2,8,0.0001043396056238926
AMMONIA_STORAGE,2,9,0.0001043398118099302
AMMONIA_STORAGE,2,10,0.0001043384977707001
AMMONIA_STORAGE,2,11,0.0001043397513782916
AMMONIA_STORAGE,2,12,0.0001043388225717581
AMMONIA_STORAGE,3,1,0.0001043385251360311
AMMONIA_STORAGE,3,2,0.0001043397625304697
AMMONIA_STORAGE,3,3,0.0001043392251902874
AMMONIA_STORAGE,3,4,0.0001043397440790436
AMMONIA_STORAGE,3,5,0.0001043388690810775
AMMONIA_STORAGE,3,6,0.0001043396994319214
AMMONIA_STORAGE,3,7,0.000104339722278137
AMMONIA_STORAGE,3,8,0.000104339605623806
AMMONIA_STORAGE,3,9,0.0001043398118099987
AMMONIA_STORAGE,3,10,0.0001043384977706728
AMMONIA_STORAGE,3,11,0.0001043397513783005
AMMONIA_STORAGE,3,12,0.000104338822571576
AMMONIA_STORAGE,4,1,0.0001043385251360978
AMMONIA_STORAGE,4,2,0.0001043397625304775
AMMONIA_STORAGE,4,3,0.0001043392251903002
AMMONIA_STORAGE,4,4,0.0001043397440789724
AMMONIA_STORAGE,4,5,0.0001043388690810177
AMMONIA_STORAGE,4,6,0.0001043396994319524
AMMONIA_STORAGE,4,7,0.0001043397222782476
AMMONIA_STORAGE,4,8,0.0001043393919207287
AMMONIA_STORAGE,4,9,0.0001043398118100345
AMMONIA_STORAGE,4,10,0.000104338497770732
AMMONIA_STORAGE,4,11,0.0001043397513781075
AMMONIA_STORAGE,4,12,0.000104338822571566
AMMONIA_STORAGE,5,1,0.0001043385251360844
AMMONIA_STORAGE,5,2,0.0001043397625306011
AMMONIA_STORAGE,5,3,0.0001043392251903173
AMMONIA_STORAGE,5,4,0.0001043397440790978
AMMONIA_STORAGE,5,5,0.00010433886908097
AMMONIA_STORAGE,5,6,0.0001043396994319672
AMMONIA_STORAGE,5,7,0.0001043397222781008
AMMONIA_STORAGE,5,8,0.0001043396056240465
AMMONIA_STORAGE,5,9,0.0001043398118099577
AMMONIA_STORAGE,5,10,0.0001043384977707498
AMMONIA_STORAGE,5,11,0.0001043397513782957
AMMONIA_STORAGE,5,12,0.0001043388225716883
AMMONIA_STORAGE,6,1,0.0001043385251360968
AMMONIA_STORAGE,6,2,0.0001043397625305853
AMMONIA_STORAGE,6,3,0.0001043392251903112
AMMONIA_STORAGE,6,4,0.0001043397440790431
AMMONIA_STORAGE,6,5,0.0001043388690810511
AMMONIA_STORAGE,6,6,0.0001043396994319244
AMMONIA_STORAGE,6,7,0.0001043397222781129
AMMONIA_STORAGE,6,8,0.0001043396056237332
AMMONIA_STORAGE,6,9,0.0001043398118100965
AMMONIA_STORAGE,6,10,0.0001043384977707019
AMMONIA_STORAGE,6,11,0.0001043397513782072
AMMONIA_STORAGE,6,12,0.0001043388225714773
AMMONIA_STORAGE,7,1,0.0001043385251360692
AMMONIA_STORAGE,7,2,0.0001043397625305901
AMMONIA_STORAGE,7,3,0.000104339225190342
AMMONIA_STORAGE,7,4,0.000104339744079023
AMMONIA_STORAGE,7,5,0.0001043388690809728
AMMONIA_STORAGE,7,6,0.0001043396994319162
AMMONIA_STORAGE,7,7,0.0001043397222781327
AMMONIA_STORAGE,7,8,0.0001043394325999549
AMMONIA_STORAGE,7,9,0.0001043398118099985
AMMONIA_STORAGE,7,10,0.0001043384977706691
AMMONIA_STORAGE,7,11,0.0001043397513782172
AMMONIA_STORAGE,7,12,0.0001043388225717345
AMMONIA_STORAGE,8,1,0.0001043385251361334
AMMONIA_STORAGE,8,2,0.0001043397625305608
AMMONIA_STORAGE,8,3,0.0001043392251902902
AMMONIA_STORAGE,8,4,0.0001043397440790611
AMMONIA_STORAGE,8,5,0.0001043388690810138
AMMONIA_STORAGE,8,6,0.0001043387562502417
AMMONIA_STORAGE,8,7,0.0001043397222782493
AMMONIA_STORAGE,8,8,0.0001043390018757504
AMMONIA_STORAGE,8,9,0.0001043398118100109
AMMONIA_STORAGE,8,10,0.000104338497770717
AMMONIA_STORAGE,8,11,0.0001043397513782462
AMMONIA_STORAGE,8,12,0.0001043388225717291
AMMONIA_STORAGE,9,1,0.0001043385251360827
AMMONIA_STORAGE,9,2,0.0001043397625304524
AMMONIA_STORAGE,9,3,0.0001043392251902965
AMMONIA_STORAGE,9,4,0.0001043397440789564
AMMONIA_STORAGE,9,5,0.0001043388690801091
AMMONIA_STORAGE,9,6,0.0001043382845967967
AMMONIA_STORAGE,9,7,0.0001043397222781088
AMMONIA_STORAGE,9,8,0.0001043390018755329
AMMONIA_STORAGE,9,9,0.0001043398118100035
AMMONIA_STORAGE,9,10,0.0001043384977707034
AMMONIA_STORAGE,9,11,0.0001043397513781784
AMMONIA_STORAGE,9,12,0.0001043388225716098
AMMONIA_STORAGE,10,1,0.0001043385251361815
AMMONIA_STORAGE,10,2,0.0001043397625306191
AMMONIA_STORAGE,10,3,0.0001043392251903006
AMMONIA_STORAGE,10,4,0.0001043396788343335
AMMONIA_STORAGE,10,5,0.0001043388104609508
AMMONIA_STORAGE,10,6,0.0001043382767350796
AMMONIA_STORAGE,10,7,0.0001043397222780342
AMMONIA_STORAGE,10,8,0.0001043390018754776
AMMONIA_STORAGE,10,9,0.0001043398118099517
AMMONIA_STORAGE,10,10,0.0001043384977707327
AMMONIA_STORAGE,10,11,0.0001043397513782725
AMMONIA_STORAGE,10,12,0.0001043388225716872
AMMONIA_STORAGE,11,1,0.0001043385251360785
AMMONIA_STORAGE,11,2,0.0001043397625305265
AMMONIA_STORAGE,11,3,0.0001043392251902889
AMMONIA_STORAGE,11,4,0.0001043392779157418
AMMONIA_STORAGE,11,5,0.0001043387620471225
AMMONIA_STORAGE,11,6,0.0001043382806370208
AMMONIA_STORAGE,11,7,0.000104339722278039
AMMONIA_STORAGE,11,8,0.0001043390018755691
AMMONIA_STORAGE,11,9,0.0001043398118100161
AMMONIA_STORAGE,11,10,0.0001043384977707259
AMMONIA_STORAGE,11,11,0.0001043397513782434
AMMONIA_STORAGE,11,12,0.0001043388225715077
AMMONIA_STORAGE,12,1,0.0001043385251361568
AMMONIA_STORAGE,12,2,0.0001043397625305434
AMMONIA_STORAGE,12,3,0.0001043392251903121
AMMONIA_STORAGE,12,4,0.0001043392111906962
AMMONIA_STORAGE,12,5,0.0001043387010669517
AMMONIA_STORAGE,12,6,0.0001043382845967199
AMMONIA_STORAGE,12,7,0.0001043394433964718
AMMONIA_STORAGE,12,8,0.0001043389954758361
AMMONIA_STORAGE,12,9,0.0001043398118093382
AMMONIA_STORAGE,12,10,0.0001043384977707381
AMMONIA_STORAGE,12,11,0.0001043397513782775
AMMONIA_STORAGE,12,12,0.0001043388225715912
AMMONIA_STORAGE,13,1,0.0001043385251360909
AMMONIA_STORAGE,13,2,0.0001043397625305651
AMMONIA_STORAGE,13,3,0.0001043392251903062
AMMONIA_STORAGE,13,4,0.0001043392215519805
AMMONIA_STORAGE,13,5,0.0001043387010669793
AMMONIA_STORAGE,13,6,0.0001043382845967919
AMMONIA_STORAGE,13,7,0.0001043394613762416
AMMONIA_STORAGE,13,8,0.0001043389141985518
AMMONIA_STORAGE,13,9,0.000104339737882945
AMMONIA_STORAGE,13,10,0.0001043384977706878
AMMONIA_STORAGE,13,11,0.000104339751378318
AMMONIA_STORAGE,13,12,0.0001043388225716647
AMMONIA_STORAGE,14,1,0.0001043385251360697
AMMONIA_STORAGE,14,2,0.0001043397625305009
AMMONIA_STORAGE,14,3,0.0001043392251902754
AMMONIA_STORAGE,14,4,0.0001043392322385081
AMMONIA_STORAGE,14,5,0.0001043387010669623
AMMONIA_STORAGE,14,6,0.000104338284596772
AMMONIA_STORAGE,14,7,0.0001043394801160695
AMMONIA_STORAGE,14,8,0.0001043388915783973
AMMONIA_STORAGE,14,9,0.0001043397740411029
AMMONIA_STORAGE,14,10,0.0001043384977706834
AMMONIA_STORAGE,14,11,0.0001043397513783185
AMMONIA_STORAGE,14,12,0.0001043388225715979
AMMONIA_STORAGE,15,1,0.0001043385251361375
AMMONIA_STORAGE,15,2,0.0001043397625305087
AMMONIA_STORAGE,15,3,0.0001043392251902815
AMMONIA_STORAGE,15,4,0.000104339243264829
AMMONIA_STORAGE,15,5,0.0001043387010670365
