j,n,h,td,val
BATT_LI,GERMANY,1,1,1.17060138685888e-07
BATT_LI,GERMANY,1,2,1.170331114578694e-07
BATT_LI,GERMANY,1,3,1.170330852426097e-07
BATT_LI,GERMANY,1,4,1.12583717529736e-07
BATT_LI,GERMANY,1,5,1.226649875888211e-07
BATT_LI,GERMANY,1,6,1.093614043874097e-07
BATT_LI,GERMANY,1,7,1.15119751208084e-07
BATT_LI,GERMANY,1,8,9.955029441738541e-08
BATT_LI,GERMANY,1,9,1.170412340649549e-07
BATT_LI,GERMANY,1,10,1.170601388974218e-07
BATT_LI,GERMANY,1,11,1.171906170583107e-07
BATT_LI,GERMANY,1,12,1.178357549994703e-07
BATT_LI,GERMANY,2,1,1.162707963213186e-07
BATT_LI,GERMANY,2,2,1.161550645622667e-07
BATT_LI,GERMANY,2,3,1.16184666725728e-07
BATT_LI,GERMANY,2,4,1.06996118265633e-07
BATT_LI,GERMANY,2,5,1.259895468644438e-07
BATT_LI,GERMANY,2,6,1.002172580421416e-07
BATT_LI,GERMANY,2,7,1.121734131074103e-07
BATT_LI,GERMANY,2,8,8.016577340630553e-08
BATT_LI,GERMANY,2,9,1.161447514639376e-07
BATT_LI,GERMANY,2,10,1.162707966809344e-07
BATT_LI,GERMANY,2,11,1.164042868673308e-07
BATT_LI,GERMANY,2,12,1.179069099505181e-07
BATT_LI,GERMANY,3,1,1.157049051032765e-07
BATT_LI,GERMANY,3,2,1.154635833012368e-07
BATT_LI,GERMANY,3,3,1.155411346920127e-07
BATT_LI,GERMANY,3,4,1.011404622232025e-07
BATT_LI,GERMANY,3,5,1.150993263149784e-07
BATT_LI,GERMANY,3,6,8.997172910731953e-08
BATT_LI,GERMANY,3,7,1.092072859795841e-07
BATT_LI,GERMANY,3,8,5.855538591197539e-08
BATT_LI,GERMANY,3,9,1.154177684355107e-07
BATT_LI,GERMANY,3,10,1.157049056415456e-07
BATT_LI,GERMANY,3,11,1.157684830863079e-07
BATT_LI,GERMANY,3,12,1.183814992856554e-07
BATT_LI,GERMANY,4,1,1.152994632021874e-07
BATT_LI,GERMANY,4,2,1.149089624449494e-07
BATT_LI,GERMANY,4,3,1.150460287393152e-07
BATT_LI,GERMANY,4,4,9.473354316246594e-08
BATT_LI,GERMANY,4,5,1.043280213113029e-07
BATT_LI,GERMANY,4,6,7.77060187440847e-08
BATT_LI,GERMANY,4,7,1.061053619647117e-07
BATT_LI,GERMANY,4,8,7.618167471055182e-08
BATT_LI,GERMANY,4,9,1.148167903583706e-07
BATT_LI,GERMANY,4,10,1.152994637802739e-07
BATT_LI,GERMANY,4,11,1.152561725776746e-07
BATT_LI,GERMANY,4,12,1.19310937951783e-07
BATT_LI,GERMANY,5,1,1.15009411310505e-07
BATT_LI,GERMANY,5,2,1.14451413385747e-07
BATT_LI,GERMANY,5,3,1.146559919209349e-07
BATT_LI,GERMANY,5,4,8.743509370067066e-08
BATT_LI,GERMANY,5,5,9.279490125245755e-08
BATT_LI,GERMANY,5,6,6.21593500207713e-08
BATT_LI,GERMANY,5,7,1.027441616769596e-07
BATT_LI,GERMANY,5,8,4.737963756766909e-08
BATT_LI,GERMANY,5,9,1.14305938558999e-07
