ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12959586005465
ELECTRICITY,GERMANY,1,2,63.57441332131113
ELECTRICITY,GERMANY,1,3,63.4892788924864
ELECTRICITY,GERMANY,1,4,60.73539303728031
ELECTRICITY,GERMANY,1,5,62.02611598111928
ELECTRICITY,GERMANY,1,6,58.69741831045155
ELECTRICITY,GERMANY,1,7,59.14398019849643
ELECTRICITY,GERMANY,1,8,59.08364503615844
ELECTRICITY,GERMANY,1,9,60.35681031801828
ELECTRICITY,GERMANY,1,10,67.49086265121677
ELECTRICITY,GERMANY,1,11,60.29075673546343
ELECTRICITY,GERMANY,1,12,68.6033678440739
ELECTRICITY,GERMANY,2,1,70.54091662290809
ELECTRICITY,GERMANY,2,2,62.91662001187771
ELECTRICITY,GERMANY,2,3,63.07370149982016
ELECTRICITY,GERMANY,2,4,60.81825176922255
ELECTRICITY,GERMANY,2,5,62.07009754680412
ELECTRICITY,GERMANY,2,6,59.04927617016196
ELECTRICITY,GERMANY,2,7,59.20198131169797
ELECTRICITY,GERMANY,2,8,59.12326551506954
ELECTRICITY,GERMANY,2,9,60.38656944044266
ELECTRICITY,GERMANY,2,10,67.66722622548836
ELECTRICITY,GERMANY,2,11,59.82213808348934
ELECTRICITY,GERMANY,2,12,68.2235074975575
ELECTRICITY,GERMANY,3,1,70.53286764022289
ELECTRICITY,GERMANY,3,2,62.61021775282639
ELECTRICITY,GERMANY,3,3,63.22173854618659
ELECTRICITY,GERMANY,3,4,61.31826337757964
ELECTRICITY,GERMANY,3,5,62.760684115164
ELECTRICITY,GERMANY,3,6,59.53201581745061
ELECTRICITY,GERMANY,3,7,59.82172962479492
ELECTRICITY,GERMANY,3,8,59.41181230115045
ELECTRICITY,GERMANY,3,9,60.75494069552615
ELECTRICITY,GERMANY,3,10,68.37261561912882
ELECTRICITY,GERMANY,3,11,59.6553702952524
ELECTRICITY,GERMANY,3,12,68.36663669733655
ELECTRICITY,GERMANY,4,1,70.76830038748072
ELECTRICITY,GERMANY,4,2,62.64762088510806
ELECTRICITY,GERMANY,4,3,63.43477885226544
ELECTRICITY,GERMANY,4,4,62.77885277825759
ELECTRICITY,GERMANY,4,5,64.34834868002335
ELECTRICITY,GERMANY,4,6,61.04261221416979
ELECTRICITY,GERMANY,4,7,61.14227609627298
ELECTRICITY,GERMANY,4,8,61.28132705514145
ELECTRICITY,GERMANY,4,9,62.70013698257867
ELECTRICITY,GERMANY,4,10,69.82798840153006
ELECTRICITY,GERMANY,4,11,59.49391246808619
ELECTRICITY,GERMANY,4,12,68.93967279383335
ELECTRICITY,GERMANY,5,1,72.01388049919517
ELECTRICITY,GERMANY,5,2,63.58567510606959
ELECTRICITY,GERMANY,5,3,64.86403364751362
ELECTRICITY,GERMANY,5,4,66.20342755904916
ELECTRICITY,GERMANY,5,5,67.5019287286552
ELECTRICITY,GERMANY,5,6,64.35585286630538
ELECTRICITY,GERMANY,5,7,64.31734105814826
ELECTRICITY,GERMANY,5,8,64.62298475092672
ELECTRICITY,GERMANY,5,9,65.91703976955603
ELECTRICITY,GERMANY,5,10,73.92797133154266
ELECTRICITY,GERMANY,5,11,59.39016399800688
ELECTRICITY,GERMANY,5,12,70.59042961622042
ELECTRICITY,GERMANY,6,1,75.57153115907008
ELECTRICITY,GERMANY,6,2,66.7675088094982
ELECTRICITY,GERMANY,6,3,68.36172250757029
ELECTRICITY,GERMANY,6,4,68.31877600515713
ELECTRICITY,GERMANY,6,5,70.16158453436141
ELECTRICITY,GERMANY,6,6,66.85124281173069
ELECTRICITY,GERMANY,6,7,66.86221283846561
ELECTRICITY,GERMANY,6,8,67.0506289291438
ELECTRICITY,GERMANY,6,9,68.24210250220459
ELECTRICITY,GERMANY,6,10,76.78172533203923
ELECTRICITY,GERMANY,6,11,60.09813935651621
ELECTRICITY,GERMANY,6,12,74.7470836759036
ELECTRICITY,GERMANY,7,1,79.05745525680324
ELECTRICITY,GERMANY,7,2,69.66622239099777
ELECTRICITY,GERMANY,7,3,70.92194065888803
ELECTRICITY,GERMANY,7,4,69.60431174437048
ELECTRICITY,GERMANY,7,5,71.85686536191999
ELECTRICITY,GERMANY,7,6,68.07988611105165
ELECTRICITY,GERMANY,7,7,68.0897474644446
ELECTRICITY,GERMANY,7,8,68.46086122694314
ELECTRICITY,GERMANY,7,9,69.81507635366592
ELECTRICITY,GERMANY,7,10,78.31226551887039
ELECTRICITY,GERMANY,7,11,61.44424366258171
ELECTRICITY,GERMANY,7,12,78.19653035383827
ELECTRICITY,GERMANY,8,1,80.69639725545835
ELECTRICITY,GERMANY,8,2,70.60439331442782
ELECTRICITY,GERMANY,8,3,71.46606579020444
ELECTRICITY,GERMANY,8,4,69.92395973037861
ELECTRICITY,GERMANY,8,5,72.39839500192043
ELECTRICITY,GERMANY,8,6,68.57766874755544
ELECTRICITY,GERMANY,8,7,68.68510496738561
ELECTRICITY,GERMANY,8,8,70.56408428712417
ELECTRICITY,GERMANY,8,9,70.41562711523187
ELECTRICITY,GERMANY,8,10,78.69511153431114
ELECTRICITY,GERMANY,8,11,63.7558856145042
ELECTRICITY,GERMANY,8,12,79.29872275730466
ELECTRICITY,GERMANY,9,1,80.57676597695269
ELECTRICITY,GERMANY,9,2,70.88710497783568
ELECTRICITY,GERMANY,9,3,71.28050890910409
ELECTRICITY,GERMANY,9,4,70.43313248072134
ELECTRICITY,GERMANY,9,5,72.89986209578639
ELECTRICITY,GERMANY,9,6,71.29543929381232
ELECTRICITY,GERMANY,9,7,69.92366797414147
ELECTRICITY,GERMANY,9,8,72.05520724217213
ELECTRICITY,GERMANY,9,9,71.25320053459743
ELECTRICITY,GERMANY,9,10,79.01746035204148
ELECTRICITY,GERMANY,9,11,65.01878108012647
ELECTRICITY,GERMANY,9,12,79.71402470382381
ELECTRICITY,GERMANY,10,1,81.32525663332353
ELECTRICITY,GERMANY,10,2,71.30402444845112
ELECTRICITY,GERMANY,10,3,71.59157926585692
ELECTRICITY,GERMANY,10,4,70.67669047580048
ELECTRICITY,GERMANY,10,5,73.5668567073053
ELECTRICITY,GERMANY,10,6,72.11276187918146
ELECTRICITY,GERMANY,10,7,70.6787327680296
ELECTRICITY,GERMANY,10,8,72.84905050986485
ELECTRICITY,GERMANY,10,9,72.02407850897958
ELECTRICITY,GERMANY,10,10,79.78750144541549
ELECTRICITY,GERMANY,10,11,65.9515253400852
ELECTRICITY,GERMANY,10,12,79.98840440423271
ELECTRICITY,GERMANY,11,1,82.09361011780763
ELECTRICITY,GERMANY,11,2,71.46664930004081
ELECTRICITY,GERMANY,11,3,71.4414415754793
ELECTRICITY,GERMANY,11,4,70.57708494746846
ELECTRICITY,GERMANY,11,5,73.44446301580356
ELECTRICITY,GERMANY,11,6,72.44683101743952
ELECTRICITY,GERMANY,11,7,69.69872401931462
ELECTRICITY,GERMANY,11,8,72.2979477791936
ELECTRICITY,GERMANY,11,9,71.76073945109445
ELECTRICITY,GERMANY,11,10,79.59179429536331
ELECTRICITY,GERMANY,11,11,66.38449139633353
ELECTRICITY,GERMANY,11,12,80.24434930898173
ELECTRICITY,GERMANY,12,1,81.84006709791335
ELECTRICITY,GERMANY,12,2,71.34113582475148
ELECTRICITY,GERMANY,12,3,70.56214703352691
ELECTRICITY,GERMANY,12,4,70.46668594438827
ELECTRICITY,GERMANY,12,5,75.88392386537318
ELECTRICITY,GERMANY,12,6,72.15237574908053
ELECTRICITY,GERMANY,12,7,69.38981265978214
ELECTRICITY,GERMANY,12,8,71.41542484731539
ELECTRICITY,GERMANY,12,9,71.50936239368694
ELECTRICITY,GERMANY,12,10,79.3576597404984
ELECTRICITY,GERMANY,12,11,66.19280763704491
ELECTRICITY,GERMANY,12,12,80.272585701893
ELECTRICITY,GERMANY,13,1,81.60560796238242
ELECTRICITY,GERMANY,13,2,71.15738783135166
ELECTRICITY,GERMANY,13,3,69.74400457072714
ELECTRICITY,GERMANY,13,4,69.96683401673991
ELECTRICITY,GERMANY,13,5,75.69747340480343
ELECTRICITY,GERMANY,13,6,71.53962464875148
ELECTRICITY,GERMANY,13,7,69.47952405049136
ELECTRICITY,GERMANY,13,8,70.62259442865071
ELECTRICITY,GERMANY,13,9,70.95485074568643
ELECTRICITY,GERMANY,13,10,78.56593832740583
ELECTRICITY,GERMANY,13,11,65.16745999044173
ELECTRICITY,GERMANY,13,12,79.56927269512646
ELECTRICITY,GERMANY,14,1,81.0406860796297
ELECTRICITY,GERMANY,14,2,70.6855015110575
ELECTRICITY,GERMANY,14,3,68.86576035088027
ELECTRICITY,GERMANY,14,4,69.3963320326053
ELECTRICITY,GERMANY,14,5,75.22507571958143
ELECTRICITY,GERMANY,14,6,71.25997944619431
ELECTRICITY,GERMANY,14,7,69.01964342001699
ELECTRICITY,GERMANY,14,8,75.4546497726964
ELECTRICITY,GERMANY,14,9,70.77973873257864
ELECTRICITY,GERMANY,14,10,77.87314153188285
ELECTRICITY,GERMANY,14,11,64.48008261299786
ELECTRICITY,GERMANY,14,12,75.34221264739512
ELECTRICITY,GERMANY,15,1,80.78526064128388
ELECTRICITY,GERMANY,15,2,70.2514851328008
ELECTRICITY,GERMANY,15,3,68.71107126532729
ELECTRICITY,GERMANY,15,4,68.8336055907294
ELECTRICITY,GERMANY,15,5,74.70948357215644
ELECTRICITY,GERMANY,15,6,70.47920040609326
ELECTRICITY,GERMANY,15,7,68.42226256029714
ELECTRICITY,GERMANY,15,8,72.05161888329185
ELECTRICITY,GERMANY,15,9,70.26694820600639
ELECTRICITY,GERMANY,15,10,76.82898065399692
ELECTRICITY,GERMANY,15,11,64.23273178887978
ELECTRICITY,GERMANY,15,12,73.20515414631674
ELECTRICITY,GERMANY,16,1,80.68698513639268
ELECTRICITY,GERMANY,16,2,70.03634418272443
ELECTRICITY,GERMANY,16,3,68.76399582240357
ELECTRICITY,GERMANY,16,4,68.6352183452337
ELECTRICITY,GERMANY,16,5,74.36993662159622
ELECTRICITY,GERMANY,16,6,70.15663009851768
ELECTRICITY,GERMANY,16,7,68.2217461436867
ELECTRICITY,GERMANY,16,8,69.30360691110866
ELECTRICITY,GERMANY,16,9,70.08751820254473
ELECTRICITY,GERMANY,16,10,77.05649425886448
ELECTRICITY,GERMANY,16,11,64.46397767557518
ELECTRICITY,GERMANY,16,12,72.7074132405953
ELECTRICITY,GERMANY,17,1,81.80910447190276
ELECTRICITY,GERMANY,17,2,71.45964715349005
ELECTRICITY,GERMANY,17,3,69.94309893624555
ELECTRICITY,GERMANY,17,4,68.5760687129534
ELECTRICITY,GERMANY,17,5,70.2112948744199
ELECTRICITY,GERMANY,17,6,70.01861665039159
ELECTRICITY,GERMANY,17,7,67.6753370986785
ELECTRICITY,GERMANY,17,8,69.41422963998386
ELECTRICITY,GERMANY,17,9,69.6836110539473
ELECTRICITY,GERMANY,17,10,77.13269995730195
ELECTRICITY,GERMANY,17,11,66.34177830286221
ELECTRICITY,GERMANY,17,12,73.60017443965198
ELECTRICITY,GERMANY,18,1,81.37381018668036
ELECTRICITY,GERMANY,18,2,71.77573571503167
ELECTRICITY,GERMANY,18,3,71.70513074087604
ELECTRICITY,GERMANY,18,4,68.73054911632009
ELECTRICITY,GERMANY,18,5,69.85331517082035
ELECTRICITY,GERMANY,18,6,68.05117709614032
ELECTRICITY,GERMANY,18,7,67.34191822261164
ELECTRICITY,GERMANY,18,8,68.37847564194648
ELECTRICITY,GERMANY,18,9,69.14298699578984
ELECTRICITY,GERMANY,18,10,77.82127751719925
ELECTRICITY,GERMANY,18,11,66.16824177303198
ELECTRICITY,GERMANY,18,12,73.85842418082918
ELECTRICITY,GERMANY,19,1,80.42305633765858
ELECTRICITY,GERMANY,19,2,71.30513312163986
ELECTRICITY,GERMANY,19,3,71.3116684612119
ELECTRICITY,GERMANY,19,4,68.56245070302336
ELECTRICITY,GERMANY,19,5,69.16989493339635
ELECTRICITY,GERMANY,19,6,67.2690039291283
ELECTRICITY,GERMANY,19,7,66.42428692862993
ELECTRICITY,GERMANY,19,8,65.86720782583188
ELECTRICITY,GERMANY,19,9,68.66952519250134
ELECTRICITY,GERMANY,19,10,76.3375382899902
ELECTRICITY,GERMANY,19,11,65.2426747132285
ELECTRICITY,GERMANY,19,12,72.76083491622013
ELECTRICITY,GERMANY,20,1,78.48162832792192
ELECTRICITY,GERMANY,20,2,69.86222414087217
ELECTRICITY,GERMANY,20,3,69.67538353626855
ELECTRICITY,GERMANY,20,4,67.40763267162149
ELECTRICITY,GERMANY,20,5,69.90610183932887
ELECTRICITY,GERMANY,20,6,66.41556122217
ELECTRICITY,GERMANY,20,7,65.83429773792236
ELECTRICITY,GERMANY,20,8,65.1130183005653
ELECTRICITY,GERMANY,20,9,67.50436802124128
ELECTRICITY,GERMANY,20,10,74.20968573531272
ELECTRICITY,GERMANY,20,11,63.29940401642428
ELECTRICITY,GERMANY,20,12,71.23368652725594
ELECTRICITY,GERMANY,21,1,76.67080164989717
ELECTRICITY,GERMANY,21,2,68.39259030110324
ELECTRICITY,GERMANY,21,3,68.1013593643819
ELECTRICITY,GERMANY,21,4,65.88706510158937
ELECTRICITY,GERMANY,21,5,72.65338499378724
ELECTRICITY,GERMANY,21,6,65.07456992352202
ELECTRICITY,GERMANY,21,7,63.8853086215364
ELECTRICITY,GERMANY,21,8,63.35215351907866
ELECTRICITY,GERMANY,21,9,65.35914375025766
ELECTRICITY,GERMANY,21,10,72.77917377051443
ELECTRICITY,GERMANY,21,11,62.34810406837879
