index,capacity
AMMONIA_STORAGE,0.00983735549254594
BATT_LI,2.317857171908389e-08
CCGT,7.689669059601304
CCGT_AMMONIA,1.892148244456761e-09
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,3.441544681733699e-10
DEC_ADVCOGEN_H2,2.24370978082915e-10
DEC_BOILER_GAS,6.344296567139707e-09
DEC_BOILER_OIL,5.29990427418218e-09
DEC_BOILER_WOOD,2.560724225187121e-09
DEC_COGEN_GAS,8.587215962463853e-10
DEC_COGEN_OIL,7.959441754236978e-10
DEC_DIRECT_ELEC,2.943212045832924e-08
DEC_HP_ELEC,73.7218335684855
DEC_SOLAR,1.822085472409812e-08
DEC_THHP_GAS,5.697736423627274e-09
DHN,36.11534496762322
DHN_BOILER_GAS,3.852613819095075e-09
DHN_BOILER_OIL,3.779260975829932e-09
DHN_BOILER_WOOD,3.440845414567125e-09
DHN_COGEN_BIO_HYDROLYSIS,5.148044138064771e-10
DHN_COGEN_GAS,1.667799965043216e-09
DHN_COGEN_WASTE,6.112086560911322e-10
DHN_COGEN_WET_BIOMASS,2.743637214168263
DHN_COGEN_WOOD,1.117993386742086e-09
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,33.37170773650387
DHN_SOLAR,1.96655448230877e-09
EFFICIENCY,0.9852216748768474
GAS_STORAGE,14849.75046845589
GEOTHERMAL,0.0
GRID,2.969976359575761
H2_STORAGE,7.402405524084034e-06
HYDRO_RIVER,1.273037210667041e-08
IND_BOILER_COAL,23.98249417308843
IND_BOILER_GAS,1.810189299396518e-08
IND_BOILER_OIL,1.892352566478114e-08
IND_BOILER_WASTE,1.085312874101109e-08
IND_BOILER_WOOD,9.744010734992585e-09
IND_COGEN_GAS,1.076709249644704e-09
IND_COGEN_WASTE,7.195185778106e-10
IND_COGEN_WOOD,1.392920664747611e-09
IND_DIRECT_ELEC,24.22252113516708
LFO_STORAGE,0.009837355503450107
NUCLEAR,0.0
PHS,7.241999999929875
PV,79.9468703344575
TS_DEC_ADVCOGEN_GAS,2.972607498906131e-07
TS_DEC_ADVCOGEN_H2,2.938629218260684e-07
TS_DEC_BOILER_GAS,3.016639965491461e-07
TS_DEC_BOILER_OIL,3.009587208420883e-07
TS_DEC_BOILER_WOOD,3.020547895762486e-07
TS_DEC_COGEN_GAS,3.019222078172955e-07
TS_DEC_COGEN_OIL,2.99022022438938e-07
TS_DEC_DIRECT_ELEC,3.020467763814317e-07
TS_DEC_HP_ELEC,174.0187005139474
TS_DEC_THHP_GAS,3.020054028659783e-07
TS_DHN_DAILY,3.313068641689081e-06
TS_DHN_SEASONAL,5266.427955707404
TS_HIGH_TEMP,7.00857685345343e-07
WIND_OFFSHORE,4.731859089248351e-09
WIND_ONSHORE,321.3276731127899
