ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465506180019474
ELECTRICITY,GERMANY,1,2,-0.6138997358543179
ELECTRICITY,GERMANY,1,3,-0.6130776439311134
ELECTRICITY,GERMANY,1,4,-0.5634837938985342
ELECTRICITY,GERMANY,1,5,1.468740500102456
ELECTRICITY,GERMANY,1,6,-0.566805538779164
ELECTRICITY,GERMANY,1,7,-0.5711177175545785
ELECTRICITY,GERMANY,1,8,-0.5705350973107812
ELECTRICITY,GERMANY,1,9,-0.5828292858849906
ELECTRICITY,GERMANY,1,10,6.134718271174791
ELECTRICITY,GERMANY,1,11,-0.5821914463695492
ELECTRICITY,GERMANY,1,12,6.236058679505604
ELECTRICITY,GERMANY,2,1,6.411993288456571
ELECTRICITY,GERMANY,2,2,-0.6075478229297957
ELECTRICITY,GERMANY,2,3,-0.6090646639057695
ELECTRICITY,GERMANY,2,4,-0.5872851473477567
ELECTRICITY,GERMANY,2,5,1.46403513706516
ELECTRICITY,GERMANY,2,6,-0.5702032177497287
ELECTRICITY,GERMANY,2,7,-0.5716777992946334
ELECTRICITY,GERMANY,2,8,-0.5709176880059061
ELECTRICITY,GERMANY,2,9,-0.58311665177132
ELECTRICITY,GERMANY,2,10,6.150750260581042
ELECTRICITY,GERMANY,2,11,-0.577666278905717
ELECTRICITY,GERMANY,2,12,6.20152771930421
ELECTRICITY,GERMANY,3,1,6.411261609670063
ELECTRICITY,GERMANY,3,2,-0.6045890812711434
ELECTRICITY,GERMANY,3,3,-0.6104941683145313
ELECTRICITY,GERMANY,3,4,-0.59211345780448
ELECTRICITY,GERMANY,3,5,1.474463339172864
ELECTRICITY,GERMANY,3,6,-0.5748647431466978
ELECTRICITY,GERMANY,3,7,-0.5776623346754519
ELECTRICITY,GERMANY,3,8,-0.5067587430553573
ELECTRICITY,GERMANY,3,9,-0.5866737906363895
ELECTRICITY,GERMANY,3,10,6.214872331569694
ELECTRICITY,GERMANY,3,11,-0.5760559030356447
ELECTRICITY,GERMANY,3,12,6.214538888005393
ELECTRICITY,GERMANY,4,1,6.432663224587927
ELECTRICITY,GERMANY,4,2,-0.6049502607495896
ELECTRICITY,GERMANY,4,3,-0.6125513699623326
ELECTRICITY,GERMANY,4,4,-0.6062174880433915
ELECTRICITY,GERMANY,4,5,1.506204596346855
ELECTRICITY,GERMANY,4,6,-0.5894516607563176
ELECTRICITY,GERMANY,4,7,-0.5904140548725891
ELECTRICITY,GERMANY,4,8,-0.5455320441377438
ELECTRICITY,GERMANY,4,9,-0.6054573770691078
ELECTRICITY,GERMANY,4,10,6.347170267988062
ELECTRICITY,GERMANY,4,11,-0.5744968022542452
ELECTRICITY,GERMANY,4,12,6.266630598429863
ELECTRICITY,GERMANY,5,1,6.545890609773949
ELECTRICITY,GERMANY,5,2,-0.6140084841581697
ELECTRICITY,GERMANY,5,3,-0.6263528208323095
ELECTRICITY,GERMANY,5,4,-0.6392865396404517
ELECTRICITY,GERMANY,5,5,1.573403895419872
ELECTRICITY,GERMANY,5,6,-0.6214456258658174
ELECTRICITY,GERMANY,5,7,-0.6210737407509299
ELECTRICITY,GERMANY,5,8,-0.5995516430267571
ELECTRICITY,GERMANY,5,9,-0.6365210655717419
ELECTRICITY,GERMANY,5,10,6.719872014750052
ELECTRICITY,GERMANY,5,11,-0.57349496590124
ELECTRICITY,GERMANY,5,12,6.416692031533415
ELECTRICITY,GERMANY,6,1,6.869293251425688
ELECTRICITY,GERMANY,6,2,-0.6447335316902354
ELECTRICITY,GERMANY,6,3,-0.6601278909605952
ELECTRICITY,GERMANY,6,4,-0.6597131827671205
ELECTRICITY,GERMANY,6,5,1.384349476924811
ELECTRICITY,GERMANY,6,6,-0.6455421003496724
ELECTRICITY,GERMANY,6,7,-0.6456480314571849
ELECTRICITY,GERMANY,6,8,-0.6474674519203631
ELECTRICITY,GERMANY,6,9,-0.6589727929798102
ELECTRICITY,GERMANY,6,10,6.979287900234965
ELECTRICITY,GERMANY,6,11,-0.5803314566066291
ELECTRICITY,GERMANY,6,12,6.794551641973854
ELECTRICITY,GERMANY,7,1,7.186176157858341
ELECTRICITY,GERMANY,7,2,-0.6727246590942997
ELECTRICITY,GERMANY,7,3,-0.6848503723081336
ELECTRICITY,GERMANY,7,4,-0.6721268254517128
ELECTRICITY,GERMANY,7,5,1.660649946089194
ELECTRICITY,GERMANY,7,6,-0.6574063670722836
ELECTRICITY,GERMANY,7,7,-0.6575015924040031
ELECTRICITY,GERMANY,7,8,-0.6610852138247907
ELECTRICITY,GERMANY,7,9,-0.6741620520187723
ELECTRICITY,GERMANY,7,10,7.118419300452103
ELECTRICITY,GERMANY,7,11,-0.5933299733855648
ELECTRICITY,GERMANY,7,12,7.108123137762831
ELECTRICITY,GERMANY,8,1,7.33516196525639
ELECTRICITY,GERMANY,8,2,-0.6817840094256269
ELECTRICITY,GERMANY,8,3,-0.6901046602680196
ELECTRICITY,GERMANY,8,4,-0.6752134731129473
ELECTRICITY,GERMANY,8,5,1.428674746165541
ELECTRICITY,GERMANY,8,6,-0.165200753437972
ELECTRICITY,GERMANY,8,7,-0.6632506004521588
ELECTRICITY,GERMANY,8,8,-0.126835857507217
ELECTRICITY,GERMANY,8,9,-0.6799612082314042
ELECTRICITY,GERMANY,8,10,7.153221339856032
ELECTRICITY,GERMANY,8,11,-0.6156521044154459
ELECTRICITY,GERMANY,8,12,7.208317958961374
ELECTRICITY,GERMANY,9,1,7.324287041980909
ELECTRICITY,GERMANY,9,2,-0.6845139853144815
ELECTRICITY,GERMANY,9,3,-0.688312849459578
ELECTRICITY,GERMANY,9,4,-0.6801302470190933
ELECTRICITY,GERMANY,9,5,1.712138565909015
ELECTRICITY,GERMANY,9,6,1.681631449533384
ELECTRICITY,GERMANY,9,7,-0.6752106558073905
ELECTRICITY,GERMANY,9,8,0.2012888479302859
ELECTRICITY,GERMANY,9,9,-0.6880491491800171
ELECTRICITY,GERMANY,9,10,7.182523981179571
ELECTRICITY,GERMANY,9,11,-0.627847123647399
ELECTRICITY,GERMANY,9,12,7.246071003899871
ELECTRICITY,GERMANY,10,1,7.392327599530688
ELECTRICITY,GERMANY,10,2,-0.688539924988703
ELECTRICITY,GERMANY,10,3,-0.6913166681222407
ELECTRICITY,GERMANY,10,4,-0.682482139515642
ELECTRICITY,GERMANY,10,5,1.73520692560686
ELECTRICITY,GERMANY,10,6,1.700909478201865
ELECTRICITY,GERMANY,10,7,-0.6825018607240025
ELECTRICITY,GERMANY,10,8,1.377814326019646
ELECTRICITY,GERMANY,10,9,-0.6954930524698284
