ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12921085988285
ELECTRICITY,GERMANY,1,2,63.67862992218822
ELECTRICITY,GERMANY,1,3,63.59335593194344
ELECTRICITY,GERMANY,1,4,60.85795691157308
ELECTRICITY,GERMANY,1,5,62.25788544105733
ELECTRICITY,GERMANY,1,6,58.79364012502081
ELECTRICITY,GERMANY,1,7,59.2409340578503
ELECTRICITY,GERMANY,1,8,59.18049998929239
ELECTRICITY,GERMANY,1,9,60.45575235097397
ELECTRICITY,GERMANY,1,10,67.49048047119544
ELECTRICITY,GERMANY,1,11,60.38959048862912
ELECTRICITY,GERMANY,1,12,68.6030810303917
ELECTRICITY,GERMANY,2,1,70.54053321905235
ELECTRICITY,GERMANY,2,2,63.01975830236452
ELECTRICITY,GERMANY,2,3,63.17709728948738
ELECTRICITY,GERMANY,2,4,60.91795023713587
ELECTRICITY,GERMANY,2,5,62.30398797846324
ELECTRICITY,GERMANY,2,6,59.14607478016466
ELECTRICITY,GERMANY,2,7,59.29903025141866
ELECTRICITY,GERMANY,2,8,59.22018541764597
ELECTRICITY,GERMANY,2,9,60.48556025712717
ELECTRICITY,GERMANY,2,10,67.66684354713384
ELECTRICITY,GERMANY,2,11,59.9202036369764
ELECTRICITY,GERMANY,2,12,68.22322157612106
ELECTRICITY,GERMANY,3,1,70.53248425843661
ELECTRICITY,GERMANY,3,2,62.7128537626907
ELECTRICITY,GERMANY,3,3,63.32537701089094
ELECTRICITY,GERMANY,3,4,61.41878150728054
ELECTRICITY,GERMANY,3,5,62.99917213497619
ELECTRICITY,GERMANY,3,6,59.62960577551869
ELECTRICITY,GERMANY,3,7,59.91979450884534
ELECTRICITY,GERMANY,3,8,59.57615048070527
ELECTRICITY,GERMANY,3,9,60.85453537784158
ELECTRICITY,GERMANY,3,10,68.37223095391376
ELECTRICITY,GERMANY,3,11,59.75316246875045
ELECTRICITY,GERMANY,3,12,68.3663505386402
ELECTRICITY,GERMANY,4,1,70.76791636685913
ELECTRICITY,GERMANY,4,2,62.75031820944233
ELECTRICITY,GERMANY,4,3,63.53876655084375
ELECTRICITY,GERMANY,4,4,62.8817652308091
ELECTRICITY,GERMANY,4,5,64.61646214593462
ELECTRICITY,GERMANY,4,6,61.14267847077041
ELECTRICITY,GERMANY,4,7,61.2425057328179
ELECTRICITY,GERMANY,4,8,61.42800937741587
ELECTRICITY,GERMANY,4,9,62.80292039672197
ELECTRICITY,GERMANY,4,10,69.82759966366201
ELECTRICITY,GERMANY,4,11,59.59143996613308
ELECTRICITY,GERMANY,4,12,68.93938550703515
ELECTRICITY,GERMANY,5,1,72.0134931151167
ELECTRICITY,GERMANY,5,2,63.68991016898952
ELECTRICITY,GERMANY,5,3,64.97036430259375
ELECTRICITY,GERMANY,5,4,66.31195386691367
ELECTRICITY,GERMANY,5,5,67.77662926594842
ELECTRICITY,GERMANY,5,6,64.46135046973231
ELECTRICITY,GERMANY,5,7,64.42277553220781
ELECTRICITY,GERMANY,5,8,64.75339377687912
ELECTRICITY,GERMANY,5,9,66.02509660535493
ELECTRICITY,GERMANY,5,10,73.9275713473508
ELECTRICITY,GERMANY,5,11,59.48752142270907
ELECTRICITY,GERMANY,5,12,70.59013882883916
ELECTRICITY,GERMANY,6,1,75.57113432528298
ELECTRICITY,GERMANY,6,2,66.87695980585627
ELECTRICITY,GERMANY,6,3,68.47378687284458
ELECTRICITY,GERMANY,6,4,68.43076997276141
ELECTRICITY,GERMANY,6,5,70.19612680923238
ELECTRICITY,GERMANY,6,6,66.96083107126883
ELECTRICITY,GERMANY,6,7,66.97181908357982
ELECTRICITY,GERMANY,6,8,67.16054404236297
ELECTRICITY,GERMANY,6,9,68.35397077929395
ELECTRICITY,GERMANY,6,10,76.78131770331765
ELECTRICITY,GERMANY,6,11,60.19665735485777
ELECTRICITY,GERMANY,6,12,74.74678440069759
ELECTRICITY,GERMANY,7,1,79.05704937747788
ELECTRICITY,GERMANY,7,2,69.78042520611417
ELECTRICITY,GERMANY,7,3,71.03820195229373
ELECTRICITY,GERMANY,7,4,69.71841307184708
ELECTRICITY,GERMANY,7,5,72.13516155341199
ELECTRICITY,GERMANY,7,6,68.19148846741737
ELECTRICITY,GERMANY,7,7,68.20136598909484
ELECTRICITY,GERMANY,7,8,68.57308811310816
ELECTRICITY,GERMANY,7,9,69.92952318372467
ELECTRICITY,GERMANY,7,10,78.31185384749561
ELECTRICITY,GERMANY,7,11,61.54496831000013
ELECTRICITY,GERMANY,7,12,78.196224232668
ELECTRICITY,GERMANY,8,1,80.69598719218187
ELECTRICITY,GERMANY,8,2,70.72013405941328
ELECTRICITY,GERMANY,8,3,71.58321905995854
ELECTRICITY,GERMANY,8,4,70.03858505209276
ELECTRICITY,GERMANY,8,5,72.4437210434532
ELECTRICITY,GERMANY,8,6,69.01928586946109
ELECTRICITY,GERMANY,8,7,68.79769945284922
ELECTRICITY,GERMANY,8,8,69.73786292382249
ELECTRICITY,GERMANY,8,9,70.53105841933717
ELECTRICITY,GERMANY,8,10,78.69469885648608
ELECTRICITY,GERMANY,8,11,63.86039970273087
ELECTRICITY,GERMANY,8,12,79.2984145817708
ELECTRICITY,GERMANY,9,1,80.57635621720276
ELECTRICITY,GERMANY,9,2,71.00330916789993
ELECTRICITY,GERMANY,9,3,71.39735799804994
ELECTRICITY,GERMANY,9,4,70.5485924817492
ELECTRICITY,GERMANY,9,5,73.16722494868442
ELECTRICITY,GERMANY,9,6,71.56409234240014
ELECTRICITY,GERMANY,9,7,70.03829281771166
ELECTRICITY,GERMANY,9,8,70.82846019793202
ELECTRICITY,GERMANY,9,9,71.37000486045791
ELECTRICITY,GERMANY,9,10,79.01704683300235
ELECTRICITY,GERMANY,9,11,65.1253654143842
ELECTRICITY,GERMANY,9,12,79.71371576496205
ELECTRICITY,GERMANY,10,1,81.32484497453252
ELECTRICITY,GERMANY,10,2,71.42091208846577
ELECTRICITY,GERMANY,10,3,71.70893828770633
ELECTRICITY,GERMANY,10,4,70.79254973727812
ELECTRICITY,GERMANY,10,5,73.844068835688
ELECTRICITY,GERMANY,10,6,72.38449471069339
ELECTRICITY,GERMANY,10,7,70.79459537787639
ELECTRICITY,GERMANY,10,8,72.7830959840865
ELECTRICITY,GERMANY,10,9,72.14214652366654
ELECTRICITY,GERMANY,10,10,79.78708592086414
ELECTRICITY,GERMANY,10,11,66.05963870832689
ELECTRICITY,GERMANY,10,12,79.98809494381192
ELECTRICITY,GERMANY,11,1,82.09319651858816
ELECTRICITY,GERMANY,11,2,71.58380352857974
ELECTRICITY,GERMANY,11,3,71.55855447880222
ELECTRICITY,GERMANY,11,4,70.69278092230728
ELECTRICITY,GERMANY,11,5,73.72121394405288
ELECTRICITY,GERMANY,11,6,72.71982269527635
ELECTRICITY,GERMANY,11,7,69.81298011531261
ELECTRICITY,GERMANY,11,8,72.57037845108907
ELECTRICITY,GERMANY,11,9,71.87837577763352
ELECTRICITY,GERMANY,11,10,79.5913792686265
ELECTRICITY,GERMANY,11,11,66.49331451946637
ELECTRICITY,GERMANY,11,12,80.24403923766046
ELECTRICITY,GERMANY,12,1,81.83965413786704
ELECTRICITY,GERMANY,12,2,71.4580843008514
ELECTRICITY,GERMANY,12,3,70.67781852219123
ELECTRICITY,GERMANY,12,4,70.66638429267972
ELECTRICITY,GERMANY,12,5,72.9485515514487
ELECTRICITY,GERMANY,12,6,72.42425785742383
ELECTRICITY,GERMANY,12,7,69.50356236202842
ELECTRICITY,GERMANY,12,8,71.68453002209822
ELECTRICITY,GERMANY,12,9,71.62658664094927
ELECTRICITY,GERMANY,12,10,79.35724532652384
ELECTRICITY,GERMANY,12,11,66.30131653569799
ELECTRICITY,GERMANY,12,12,80.27227569001332
ELECTRICITY,GERMANY,13,1,81.60519559431474
ELECTRICITY,GERMANY,13,2,71.27403509205409
ELECTRICITY,GERMANY,13,3,69.8583348903909
ELECTRICITY,GERMANY,13,4,70.16512838163071
ELECTRICITY,GERMANY,13,5,72.34187103127378
ELECTRICITY,GERMANY,13,6,71.80919782440722
ELECTRICITY,GERMANY,13,7,69.62886653620572
ELECTRICITY,GERMANY,13,8,70.8620125945962
ELECTRICITY,GERMANY,13,9,71.0711659895901
ELECTRICITY,GERMANY,13,10,78.56552599143176
ELECTRICITY,GERMANY,13,11,65.27428805143052
ELECTRICITY,GERMANY,13,12,79.56896397127736
ELECTRICITY,GERMANY,14,1,81.0402751409962
ELECTRICITY,GERMANY,14,2,70.80137521541343
ELECTRICITY,GERMANY,14,3,68.97865097753355
ELECTRICITY,GERMANY,14,4,69.59302199326193
ELECTRICITY,GERMANY,14,5,71.89935825106902
ELECTRICITY,GERMANY,14,6,71.52849887155092
ELECTRICITY,GERMANY,14,7,69.1692847538928
ELECTRICITY,GERMANY,14,8,73.23839929905606
ELECTRICITY,GERMANY,14,9,70.89576691825323
ELECTRICITY,GERMANY,14,10,77.87273101922734
ELECTRICITY,GERMANY,14,11,64.58578386609659
ELECTRICITY,GERMANY,14,12,73.72841541070775
ELECTRICITY,GERMANY,15,1,80.78485035077101
ELECTRICITY,GERMANY,15,2,70.3666473605247
ELECTRICITY,GERMANY,15,3,68.82370831239723
ELECTRICITY,GERMANY,15,4,69.0287129839237
ELECTRICITY,GERMANY,15,5,71.41552095752527
ELECTRICITY,GERMANY,15,6,70.7447777256944
ELECTRICITY,GERMANY,15,7,68.57189646074049
ELECTRICITY,GERMANY,15,8,69.72549909383754
ELECTRICITY,GERMANY,15,9,70.38213578233767
