pt,n,h,td,val
CCGT,GERMANY,1,1,1.688514016181592e-10
CCGT,GERMANY,1,2,7.689669058221416
CCGT,GERMANY,1,3,7.689669057255508
CCGT,GERMANY,1,4,7.689669058894077
CCGT,GERMANY,1,5,1.847979313365577e-10
CCGT,GERMANY,1,6,7.689669058037522
CCGT,GERMANY,1,7,7.689669058983935
CCGT,GERMANY,1,8,7.689669059189905
CCGT,GERMANY,1,9,7.689669058581488
CCGT,GERMANY,1,10,1.758321684906627e-10
CCGT,GERMANY,1,11,7.689669058911506
CCGT,GERMANY,1,12,9.608034634757703e-11
CCGT,GERMANY,2,1,1.688482299381423e-10
CCGT,GERMANY,2,2,7.689669058221178
CCGT,GERMANY,2,3,7.689669057255446
CCGT,GERMANY,2,4,7.689669058931212
CCGT,GERMANY,2,5,1.855109318335731e-10
CCGT,GERMANY,2,6,7.689669058037496
CCGT,GERMANY,2,7,7.68966905898395
CCGT,GERMANY,2,8,7.689669059189922
CCGT,GERMANY,2,9,7.689669058581393
CCGT,GERMANY,2,10,1.758316057397172e-10
CCGT,GERMANY,2,11,7.689669058911518
CCGT,GERMANY,2,12,9.607634903402677e-11
CCGT,GERMANY,3,1,1.68844789248078e-10
CCGT,GERMANY,3,2,7.689669058221523
CCGT,GERMANY,3,3,7.689669057255534
CCGT,GERMANY,3,4,7.689669058931183
CCGT,GERMANY,3,5,1.862351021693933e-10
CCGT,GERMANY,3,6,7.689669058037476
CCGT,GERMANY,3,7,7.689669058984011
CCGT,GERMANY,3,8,7.689669059113982
CCGT,GERMANY,3,9,7.689669058581408
CCGT,GERMANY,3,10,1.758311236616653e-10
CCGT,GERMANY,3,11,7.689669058911416
CCGT,GERMANY,3,12,9.607204782013785e-11
CCGT,GERMANY,4,1,1.688410199851819e-10
CCGT,GERMANY,4,2,7.689669058221352
CCGT,GERMANY,4,3,7.689669057255411
CCGT,GERMANY,4,4,7.689669058931015
CCGT,GERMANY,4,5,1.869745215478072e-10
CCGT,GERMANY,4,6,7.689669058037575
