st,n,h,td,val
AMMONIA,GERMANY,1,1,5.148339685969235e-10
AMMONIA,GERMANY,1,2,8.176777284942803e-10
AMMONIA,GERMANY,1,3,1.390051292948794e-09
AMMONIA,GERMANY,1,4,3.971577389531717e-10
AMMONIA,GERMANY,1,5,3.861255814903991e-10
AMMONIA,GERMANY,1,6,9.267012113993261e-10
AMMONIA,GERMANY,1,7,3.658032284409459e-10
AMMONIA,GERMANY,1,8,2.438688283104185e-10
AMMONIA,GERMANY,1,9,6.043705745686553e-10
AMMONIA,GERMANY,1,10,5.346353352757813e-10
AMMONIA,GERMANY,1,11,4.088389856058717e-10
AMMONIA,GERMANY,1,12,2.957557648068759e-10
AMMONIA,GERMANY,2,1,5.148339685510514e-10
AMMONIA,GERMANY,2,2,8.176777285591842e-10
AMMONIA,GERMANY,2,3,1.39005128862575e-09
AMMONIA,GERMANY,2,4,3.971577390950563e-10
AMMONIA,GERMANY,2,5,3.861255816174077e-10
AMMONIA,GERMANY,2,6,9.267012113465718e-10
AMMONIA,GERMANY,2,7,3.658032285061212e-10
AMMONIA,GERMANY,2,8,2.438688283012335e-10
AMMONIA,GERMANY,2,9,6.043705747096731e-10
AMMONIA,GERMANY,2,10,5.346353354956393e-10
AMMONIA,GERMANY,2,11,4.08838985629807e-10
AMMONIA,GERMANY,2,12,2.957557647087856e-10
AMMONIA,GERMANY,3,1,5.14833968497953e-10
AMMONIA,GERMANY,3,2,8.176777286215073e-10
AMMONIA,GERMANY,3,3,1.390051284215037e-09
AMMONIA,GERMANY,3,4,3.971577391930408e-10
AMMONIA,GERMANY,3,5,3.861255817408694e-10
AMMONIA,GERMANY,3,6,9.267012112511747e-10
AMMONIA,GERMANY,3,7,3.658032285422392e-10
AMMONIA,GERMANY,3,8,2.43868828289792e-10
AMMONIA,GERMANY,3,9,6.043705748167169e-10
AMMONIA,GERMANY,3,10,5.346353356951288e-10
AMMONIA,GERMANY,3,11,4.088389856067518e-10
AMMONIA,GERMANY,3,12,2.957557646123495e-10
AMMONIA,GERMANY,4,1,5.14833968440143e-10
AMMONIA,GERMANY,4,2,8.176777286550577e-10
AMMONIA,GERMANY,4,3,1.390051279827989e-09
AMMONIA,GERMANY,4,4,3.971577392618159e-10
AMMONIA,GERMANY,4,5,3.861255818912045e-10
AMMONIA,GERMANY,4,6,9.267012111141671e-10
AMMONIA,GERMANY,4,7,3.658032285404591e-10
AMMONIA,GERMANY,4,8,2.438688282802959e-10
AMMONIA,GERMANY,4,9,6.043705749620095e-10
AMMONIA,GERMANY,4,10,5.346353358985226e-10
AMMONIA,GERMANY,4,11,4.08838985554249e-10
AMMONIA,GERMANY,4,12,2.957557644735023e-10
AMMONIA,GERMANY,5,1,5.148339683723936e-10
AMMONIA,GERMANY,5,2,8.176777286048578e-10
AMMONIA,GERMANY,5,3,1.390051275460475e-09
AMMONIA,GERMANY,5,4,3.971577392844608e-10
AMMONIA,GERMANY,5,5,3.861255820301576e-10
AMMONIA,GERMANY,5,6,9.267012111376194e-10
AMMONIA,GERMANY,5,7,3.658032283581551e-10
AMMONIA,GERMANY,5,8,2.438688282689139e-10
AMMONIA,GERMANY,5,9,6.043705751048669e-10
AMMONIA,GERMANY,5,10,5.346353360905741e-10
AMMONIA,GERMANY,5,11,4.088389854789359e-10
AMMONIA,GERMANY,5,12,2.957557643835514e-10
AMMONIA,GERMANY,6,1,5.148339683027913e-10
AMMONIA,GERMANY,6,2,8.176777285158928e-10
AMMONIA,GERMANY,6,3,1.390051271005241e-09
AMMONIA,GERMANY,6,4,3.971577393545859e-10
AMMONIA,GERMANY,6,5,3.861255821314641e-10
AMMONIA,GERMANY,6,6,9.267012109918238e-10
AMMONIA,GERMANY,6,7,3.65803228369279e-10
AMMONIA,GERMANY,6,8,2.438688282657309e-10
AMMONIA,GERMANY,6,9,6.043705752684766e-10
AMMONIA,GERMANY,6,10,5.346353362788271e-10
AMMONIA,GERMANY,6,11,4.088389853997383e-10
AMMONIA,GERMANY,6,12,2.957557642940504e-10
AMMONIA,GERMANY,7,1,5.148339682213438e-10
AMMONIA,GERMANY,7,2,8.176777284471641e-10
AMMONIA,GERMANY,7,3,1.390051266906899e-09
AMMONIA,GERMANY,7,4,3.971577394143348e-10
AMMONIA,GERMANY,7,5,3.861255821962224e-10
AMMONIA,GERMANY,7,6,9.267012111563335e-10
AMMONIA,GERMANY,7,7,3.658032283825007e-10
AMMONIA,GERMANY,7,8,2.438688282876413e-10
AMMONIA,GERMANY,7,9,6.043705756012414e-10
AMMONIA,GERMANY,7,10,5.346353364698728e-10
AMMONIA,GERMANY,7,11,4.088389853128049e-10
AMMONIA,GERMANY,7,12,2.957557642042517e-10
AMMONIA,GERMANY,8,1,5.148339681177411e-10
AMMONIA,GERMANY,8,2,8.176777282701474e-10
AMMONIA,GERMANY,8,3,1.390051262820918e-09
AMMONIA,GERMANY,8,4,3.971577394547872e-10
AMMONIA,GERMANY,8,5,3.861255821249393e-10
AMMONIA,GERMANY,8,6,9.267012111483926e-10
AMMONIA,GERMANY,8,7,3.658032283069361e-10
AMMONIA,GERMANY,8,8,2.438688282190118e-10
AMMONIA,GERMANY,8,9,6.043705758602218e-10
AMMONIA,GERMANY,8,10,5.346353367356558e-10
AMMONIA,GERMANY,8,11,4.088389851918182e-10
AMMONIA,GERMANY,8,12,2.957557641100061e-10
AMMONIA,GERMANY,9,1,5.14833967996536e-10
AMMONIA,GERMANY,9,2,8.176777281145978e-10
AMMONIA,GERMANY,9,3,1.390051259871602e-09
AMMONIA,GERMANY,9,4,3.971577392783463e-10
AMMONIA,GERMANY,9,5,3.861255819729829e-10
AMMONIA,GERMANY,9,6,9.267012108640012e-10
AMMONIA,GERMANY,9,7,3.658032281433594e-10
AMMONIA,GERMANY,9,8,2.438688282329349e-10
AMMONIA,GERMANY,9,9,6.04370575737124e-10
AMMONIA,GERMANY,9,10,5.346353370679575e-10
AMMONIA,GERMANY,9,11,4.088389850343627e-10
AMMONIA,GERMANY,9,12,2.957557639567262e-10
AMMONIA,GERMANY,10,1,5.148339678750926e-10
AMMONIA,GERMANY,10,2,8.176777280627567e-10
AMMONIA,GERMANY,10,3,1.390051257575454e-09
AMMONIA,GERMANY,10,4,3.971577390316281e-10
AMMONIA,GERMANY,10,5,3.861255818892523e-10
AMMONIA,GERMANY,10,6,9.267012109934914e-10
AMMONIA,GERMANY,10,7,3.658032279644965e-10
AMMONIA,GERMANY,10,8,2.438688281220133e-10
