j,h,td,val
AMMONIA_STORAGE,1,1,1.951871461936244e-05
AMMONIA_STORAGE,1,2,1.951845971442804e-05
AMMONIA_STORAGE,1,3,1.951860375902503e-05
AMMONIA_STORAGE,1,4,1.951845197090433e-05
AMMONIA_STORAGE,1,5,1.951865589702598e-05
AMMONIA_STORAGE,1,6,1.951847900773934e-05
AMMONIA_STORAGE,1,7,1.951844856527525e-05
AMMONIA_STORAGE,1,8,1.951847123382242e-05
AMMONIA_STORAGE,1,9,1.951843846077208e-05
AMMONIA_STORAGE,1,10,1.951872085674024e-05
AMMONIA_STORAGE,1,11,1.951844359471353e-05
AMMONIA_STORAGE,1,12,1.951864682002901e-05
AMMONIA_STORAGE,2,1,1.951871461937501e-05
AMMONIA_STORAGE,2,2,1.951845971471253e-05
AMMONIA_STORAGE,2,3,1.951860376087078e-05
AMMONIA_STORAGE,2,4,1.95184447957476e-05
AMMONIA_STORAGE,2,5,1.951865570470803e-05
AMMONIA_STORAGE,2,6,1.9518479003321e-05
AMMONIA_STORAGE,2,7,1.951844856536806e-05
AMMONIA_STORAGE,2,8,1.951847123375606e-05
AMMONIA_STORAGE,2,9,1.951843846130768e-05
AMMONIA_STORAGE,2,10,1.95187208567359e-05
AMMONIA_STORAGE,2,11,1.951844359468057e-05
AMMONIA_STORAGE,2,12,1.951864681994792e-05
AMMONIA_STORAGE,3,1,1.951871461956974e-05
AMMONIA_STORAGE,3,2,1.951845971522818e-05
AMMONIA_STORAGE,3,3,1.95186037625205e-05
AMMONIA_STORAGE,3,4,1.951844479590502e-05
AMMONIA_STORAGE,3,5,1.951865550991897e-05
AMMONIA_STORAGE,3,6,1.951847899592588e-05
AMMONIA_STORAGE,3,7,1.951844856538758e-05
AMMONIA_STORAGE,3,8,1.951848641000261e-05
AMMONIA_STORAGE,3,9,1.951843846298299e-05
AMMONIA_STORAGE,3,10,1.951872085674154e-05
AMMONIA_STORAGE,3,11,1.951844359459384e-05
AMMONIA_STORAGE,3,12,1.951864681994141e-05
