j,h,td,val
AMMONIA_STORAGE,1,1,1.951840295891976e-05
AMMONIA_STORAGE,1,2,1.951865786080668e-05
AMMONIA_STORAGE,1,3,1.951851384866202e-05
AMMONIA_STORAGE,1,4,1.951866560918458e-05
AMMONIA_STORAGE,1,5,1.951846168252863e-05
AMMONIA_STORAGE,1,6,1.951863862337038e-05
AMMONIA_STORAGE,1,7,1.951866901307286e-05
AMMONIA_STORAGE,1,8,1.951864634560426e-05
AMMONIA_STORAGE,1,9,1.951867911990967e-05
AMMONIA_STORAGE,1,10,1.951839672451397e-05
AMMONIA_STORAGE,1,11,1.951867398611133e-05
AMMONIA_STORAGE,1,12,1.951847075969864e-05
AMMONIA_STORAGE,2,1,1.95184029589332e-05
AMMONIA_STORAGE,2,2,1.951865786129544e-05
AMMONIA_STORAGE,2,3,1.951851385047785e-05
AMMONIA_STORAGE,2,4,1.951867278455121e-05
AMMONIA_STORAGE,2,5,1.951846187481449e-05
AMMONIA_STORAGE,2,6,1.951863861892342e-05
AMMONIA_STORAGE,2,7,1.951866901314702e-05
AMMONIA_STORAGE,2,8,1.951864634554702e-05
AMMONIA_STORAGE,2,9,1.951867912048039e-05
AMMONIA_STORAGE,2,10,1.951839672451007e-05
AMMONIA_STORAGE,2,11,1.951867398607534e-05
AMMONIA_STORAGE,2,12,1.951847075960973e-05
AMMONIA_STORAGE,3,1,1.951840295912706e-05
AMMONIA_STORAGE,3,2,1.951865786194206e-05
AMMONIA_STORAGE,3,3,1.951851385209504e-05
AMMONIA_STORAGE,3,4,1.951867278426108e-05
AMMONIA_STORAGE,3,5,1.951846206938888e-05
AMMONIA_STORAGE,3,6,1.951863861145674e-05
AMMONIA_STORAGE,3,7,1.951866901316133e-05
AMMONIA_STORAGE,3,8,1.951863116925624e-05
AMMONIA_STORAGE,3,9,1.95186791221943e-05
AMMONIA_STORAGE,3,10,1.95183967245157e-05
AMMONIA_STORAGE,3,11,1.951867398598123e-05
AMMONIA_STORAGE,3,12,1.951847075960106e-05
AMMONIA_STORAGE,4,1,1.951840295909106e-05
AMMONIA_STORAGE,4,2,1.951865786247288e-05
AMMONIA_STORAGE,4,3,1.951851385212453e-05
AMMONIA_STORAGE,4,4,1.9518672784291e-05
AMMONIA_STORAGE,4,5,1.9518462266123e-05
AMMONIA_STORAGE,4,6,1.951863860581281e-05
AMMONIA_STORAGE,4,7,1.951866901320383e-05
AMMONIA_STORAGE,4,8,1.951863594074673e-05
AMMONIA_STORAGE,4,9,1.951867912389433e-05
AMMONIA_STORAGE,4,10,1.951839672448274e-05
AMMONIA_STORAGE,4,11,1.951867398588669e-05
AMMONIA_STORAGE,4,12,1.951847075962404e-05
AMMONIA_STORAGE,5,1,1.95184029591379e-05
AMMONIA_STORAGE,5,2,1.951865786296164e-05
AMMONIA_STORAGE,5,3,1.951851385282363e-05
AMMONIA_STORAGE,5,4,1.951867278434218e-05
AMMONIA_STORAGE,5,5,1.951846246570944e-05
AMMONIA_STORAGE,5,6,1.95186386033855e-05
AMMONIA_STORAGE,5,7,1.951866901317e-05
AMMONIA_STORAGE,5,8,1.951864099112785e-05
AMMONIA_STORAGE,5,9,1.951867912478467e-05
AMMONIA_STORAGE,5,10,1.951839672449098e-05
AMMONIA_STORAGE,5,11,1.951867398597169e-05
AMMONIA_STORAGE,5,12,1.951847075955856e-05
AMMONIA_STORAGE,6,1,1.95184029591856e-05
AMMONIA_STORAGE,6,2,1.951865786352673e-05
AMMONIA_STORAGE,6,3,1.951851385498466e-05
AMMONIA_STORAGE,6,4,1.951867278439422e-05
AMMONIA_STORAGE,6,5,1.951847035766389e-05
AMMONIA_STORAGE,6,6,1.951863860264478e-05
AMMONIA_STORAGE,6,7,1.951866901320513e-05
AMMONIA_STORAGE,6,8,1.951864634529678e-05
AMMONIA_STORAGE,6,9,1.951867912343549e-05
AMMONIA_STORAGE,6,10,1.951839672446193e-05
AMMONIA_STORAGE,6,11,1.95186739858689e-05
AMMONIA_STORAGE,6,12,1.951847075953861e-05
AMMONIA_STORAGE,7,1,1.951840295923981e-05
AMMONIA_STORAGE,7,2,1.95186578641625e-05
AMMONIA_STORAGE,7,3,1.951851385875898e-05
AMMONIA_STORAGE,7,4,1.951867278444626e-05
AMMONIA_STORAGE,7,5,1.951846287216253e-05
AMMONIA_STORAGE,7,6,1.951863860182338e-05
AMMONIA_STORAGE,7,7,1.95186690131713e-05
AMMONIA_STORAGE,7,8,1.951864635478442e-05
AMMONIA_STORAGE,7,9,1.951867911968025e-05
AMMONIA_STORAGE,7,10,1.95183967244693e-05
AMMONIA_STORAGE,7,11,1.951867398592225e-05
AMMONIA_STORAGE,7,12,1.951847075952777e-05
AMMONIA_STORAGE,8,1,1.951840295929446e-05
AMMONIA_STORAGE,8,2,1.951865786452549e-05
AMMONIA_STORAGE,8,3,1.951851385727016e-05
AMMONIA_STORAGE,8,4,1.951867278455295e-05
AMMONIA_STORAGE,8,5,1.951847036372502e-05
AMMONIA_STORAGE,8,6,1.951850884827347e-05
AMMONIA_STORAGE,8,7,1.951866901322725e-05
AMMONIA_STORAGE,8,8,1.951857248974924e-05
AMMONIA_STORAGE,8,9,1.951867911923139e-05
AMMONIA_STORAGE,8,10,1.95183967244281e-05
AMMONIA_STORAGE,8,11,1.951867398597429e-05
AMMONIA_STORAGE,8,12,1.951847075956333e-05
AMMONIA_STORAGE,9,1,1.951840295930096e-05
AMMONIA_STORAGE,9,2,1.951865786462307e-05
AMMONIA_STORAGE,9,3,1.951851383613645e-05
AMMONIA_STORAGE,9,4,1.951867278452996e-05
AMMONIA_STORAGE,9,5,1.95184620772732e-05
AMMONIA_STORAGE,9,6,1.951830833770958e-05
AMMONIA_STORAGE,9,7,1.951866901331051e-05
AMMONIA_STORAGE,9,8,1.951854856664095e-05
AMMONIA_STORAGE,9,9,1.951867911892955e-05
AMMONIA_STORAGE,9,10,1.951839672441856e-05
AMMONIA_STORAGE,9,11,1.951867398582857e-05
AMMONIA_STORAGE,9,12,1.951847075954468e-05
AMMONIA_STORAGE,10,1,1.951840295937772e-05
AMMONIA_STORAGE,10,2,1.951865786447692e-05
AMMONIA_STORAGE,10,3,1.951851383504878e-05
AMMONIA_STORAGE,10,4,1.951867278452736e-05
AMMONIA_STORAGE,10,5,1.951846187498536e-05
AMMONIA_STORAGE,10,6,1.951830833771392e-05
AMMONIA_STORAGE,10,7,1.951866901340506e-05
AMMONIA_STORAGE,10,8,1.951850572061951e-05
AMMONIA_STORAGE,10,9,1.951867911874003e-05
AMMONIA_STORAGE,10,10,1.951839672439991e-05
AMMONIA_STORAGE,10,11,1.951867398584549e-05
AMMONIA_STORAGE,10,12,1.95184707595295e-05
AMMONIA_STORAGE,11,1,1.951840295944017e-05
AMMONIA_STORAGE,11,2,1.951865786449167e-05
AMMONIA_STORAGE,11,3,1.951851383490393e-05
AMMONIA_STORAGE,11,4,1.951867278581626e-05
AMMONIA_STORAGE,11,5,1.951846187499924e-05
AMMONIA_STORAGE,11,6,1.951830833745501e-05
AMMONIA_STORAGE,11,7,1.951866901333957e-05
AMMONIA_STORAGE,11,8,1.951849884202503e-05
AMMONIA_STORAGE,11,9,1.951867911849543e-05
AMMONIA_STORAGE,11,10,1.951839672433096e-05
AMMONIA_STORAGE,11,11,1.951867398581122e-05
AMMONIA_STORAGE,11,12,1.951847075955552e-05
AMMONIA_STORAGE,12,1,1.951840295946966e-05
AMMONIA_STORAGE,12,2,1.95186578644535e-05
AMMONIA_STORAGE,12,3,1.951851383481156e-05
AMMONIA_STORAGE,12,4,1.951862765418476e-05
AMMONIA_STORAGE,12,5,1.95184618750335e-05
AMMONIA_STORAGE,12,6,1.951830833749665e-05
AMMONIA_STORAGE,12,7,1.951866901342891e-05
AMMONIA_STORAGE,12,8,1.951849884202113e-05
AMMONIA_STORAGE,12,9,1.95186791184538e-05
AMMONIA_STORAGE,12,10,1.951839672429409e-05
AMMONIA_STORAGE,12,11,1.951867398572796e-05
AMMONIA_STORAGE,12,12,1.951847075945231e-05
AMMONIA_STORAGE,13,1,1.951840295960757e-05
AMMONIA_STORAGE,13,2,1.951865786450468e-05
AMMONIA_STORAGE,13,3,1.951851383476602e-05
AMMONIA_STORAGE,13,4,1.951862769212533e-05
AMMONIA_STORAGE,13,5,1.951846075485012e-05
AMMONIA_STORAGE,13,6,1.951830833656206e-05
AMMONIA_STORAGE,13,7,1.951861010344872e-05
AMMONIA_STORAGE,13,8,1.951849884213562e-05
