j,n,h,td,val
BATT_LI,GERMANY,1,1,8.926232076720755e-09
BATT_LI,GERMANY,1,2,8.781686577112218e-09
BATT_LI,GERMANY,1,3,8.84263223716275e-09
BATT_LI,GERMANY,1,4,8.672659102106481e-09
BATT_LI,GERMANY,1,5,9.411824139446163e-09
BATT_LI,GERMANY,1,6,8.194058040636431e-09
BATT_LI,GERMANY,1,7,8.470288165438037e-09
BATT_LI,GERMANY,1,8,7.425293077146787e-09
BATT_LI,GERMANY,1,9,8.728882172814806e-09
BATT_LI,GERMANY,1,10,8.926232132129415e-09
BATT_LI,GERMANY,1,11,8.62767652600114e-09
BATT_LI,GERMANY,1,12,9.029184940782369e-09
BATT_LI,GERMANY,2,1,9.667340460798833e-09
BATT_LI,GERMANY,2,2,9.439758851914907e-09
BATT_LI,GERMANY,2,3,9.535249178639396e-09
BATT_LI,GERMANY,2,4,9.022864751980151e-09
BATT_LI,GERMANY,2,5,1.062723149634113e-08
BATT_LI,GERMANY,2,6,8.191501645280249e-09
BATT_LI,GERMANY,2,7,8.887632739679841e-09
BATT_LI,GERMANY,2,8,6.798289562647904e-09
BATT_LI,GERMANY,2,9,9.356743416757538e-09
BATT_LI,GERMANY,2,10,9.667340660474145e-09
BATT_LI,GERMANY,2,11,9.192650018136533e-09
BATT_LI,GERMANY,2,12,9.890887402467049e-09
BATT_LI,GERMANY,3,1,1.020302657850624e-08
BATT_LI,GERMANY,3,2,9.934643186920152e-09
BATT_LI,GERMANY,3,3,1.004618296986006e-08
BATT_LI,GERMANY,3,4,9.249620338385273e-09
BATT_LI,GERMANY,3,5,1.16450398241038e-08
BATT_LI,GERMANY,3,6,7.892458125084236e-09
BATT_LI,GERMANY,3,7,9.182783911305983e-09
BATT_LI,GERMANY,3,8,6.754056368288311e-09
BATT_LI,GERMANY,3,9,9.837347464735796e-09
BATT_LI,GERMANY,3,10,1.020302688387474e-08
BATT_LI,GERMANY,3,11,9.636856614374546e-09
BATT_LI,GERMANY,3,12,1.057584767345059e-08
BATT_LI,GERMANY,4,1,1.058912683025566e-08
BATT_LI,GERMANY,4,2,1.030655077254675e-08
BATT_LI,GERMANY,4,3,1.042181787631528e-08
BATT_LI,GERMANY,4,4,9.366474558391229e-09
BATT_LI,GERMANY,4,5,1.254800565961744e-08
BATT_LI,GERMANY,4,6,7.259119137542223e-09
BATT_LI,GERMANY,4,7,9.372811643256107e-09
BATT_LI,GERMANY,4,8,6.302544484534676e-09
BATT_LI,GERMANY,4,9,1.020592331827275e-08
BATT_LI,GERMANY,4,10,1.058912710365481e-08
BATT_LI,GERMANY,4,11,9.98696564097519e-09
BATT_LI,GERMANY,4,12,1.115455766275712e-08
BATT_LI,GERMANY,5,1,1.086655756491687e-08
BATT_LI,GERMANY,5,2,1.058480207637811e-08
BATT_LI,GERMANY,5,3,1.06959207047532e-08
BATT_LI,GERMANY,5,4,9.380027028182626e-09
BATT_LI,GERMANY,5,5,1.341271942510575e-08
BATT_LI,GERMANY,5,6,6.208015408823311e-09
BATT_LI,GERMANY,5,7,9.468020004562234e-09
BATT_LI,GERMANY,5,8,5.321571439784144e-09
BATT_LI,GERMANY,5,9,1.048824674299917e-08
BATT_LI,GERMANY,5,10,1.086655763905385e-08
BATT_LI,GERMANY,5,11,1.026253131602509e-08
BATT_LI,GERMANY,5,12,1.168752234571764e-08
BATT_LI,GERMANY,6,1,1.106507404225056e-08
BATT_LI,GERMANY,6,2,1.07909649806037e-08
BATT_LI,GERMANY,6,3,1.089303616429868e-08
BATT_LI,GERMANY,6,4,9.290785017164475e-09
BATT_LI,GERMANY,6,5,1.020029133382566e-08
BATT_LI,GERMANY,6,6,4.58155808468894e-09
BATT_LI,GERMANY,6,7,9.473317761522807e-09
BATT_LI,GERMANY,6,8,3.460843618985837e-09
BATT_LI,GERMANY,6,9,1.070350494365819e-08
BATT_LI,GERMANY,6,10,1.106507386678028e-08
BATT_LI,GERMANY,6,11,1.047822667707488e-08
BATT_LI,GERMANY,6,12,1.223087764558665e-08
BATT_LI,GERMANY,7,1,1.120615225257514e-08
BATT_LI,GERMANY,7,2,1.094087537426523e-08
BATT_LI,GERMANY,7,3,1.103080003978927e-08
BATT_LI,GERMANY,7,4,9.093209098105557e-09
BATT_LI,GERMANY,7,5,1.085739487037993e-08
BATT_LI,GERMANY,7,6,2.090593832271355e-09
BATT_LI,GERMANY,7,7,9.388784671190856e-09
BATT_LI,GERMANY,7,8,5.772831857489785e-10
BATT_LI,GERMANY,7,9,1.086608358747566e-08
BATT_LI,GERMANY,7,10,1.120615179851698e-08
BATT_LI,GERMANY,7,11,1.064518462687887e-08
BATT_LI,GERMANY,7,12,1.284175336217547e-08
BATT_LI,GERMANY,8,1,1.13051484791219e-08
BATT_LI,GERMANY,8,2,1.104599450312927e-08
BATT_LI,GERMANY,8,3,1.112154100416813e-08
BATT_LI,GERMANY,8,4,8.774833662125126e-09
BATT_LI,GERMANY,8,5,7.535303121745933e-09
BATT_LI,GERMANY,8,6,6.735570848466726e-10
BATT_LI,GERMANY,8,7,9.209643937620358e-09
BATT_LI,GERMANY,8,8,5.655226290522142e-10
BATT_LI,GERMANY,8,9,1.098674094946035e-08
BATT_LI,GERMANY,8,10,1.130514785023678e-08
BATT_LI,GERMANY,8,11,1.077185067848771e-08
BATT_LI,GERMANY,8,12,1.35836963792246e-08
BATT_LI,GERMANY,9,1,1.137288497632121e-08
BATT_LI,GERMANY,9,2,1.111433919880309e-08
BATT_LI,GERMANY,9,3,1.117338125512939e-08
BATT_LI,GERMANY,9,4,8.314262712204627e-09
BATT_LI,GERMANY,9,5,8.235017675550547e-09
BATT_LI,GERMANY,9,6,3.869947708561497e-09
BATT_LI,GERMANY,9,7,8.925632490467703e-09
BATT_LI,GERMANY,9,8,1.876825482389311e-10
BATT_LI,GERMANY,9,9,1.107341565750404e-08
BATT_LI,GERMANY,9,10,1.137288442641937e-08
BATT_LI,GERMANY,9,11,1.086455007570666e-08
BATT_LI,GERMANY,9,12,1.453244366183224e-08
BATT_LI,GERMANY,10,1,1.141678839801223e-08
BATT_LI,GERMANY,10,2,1.115111149037193e-08
BATT_LI,GERMANY,10,3,1.119095020423954e-08
BATT_LI,GERMANY,10,4,7.676619155556056e-09
