k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.1770867674383954
1,ELECTRICITY,GERMANY,1,2,0.17810912859166983
1,ELECTRICITY,GERMANY,1,3,0.178347959769732
1,ELECTRICITY,GERMANY,1,4,0.18643467656934898
1,ELECTRICITY,GERMANY,1,5,0.18837386910887796
1,ELECTRICITY,GERMANY,1,6,0.1929076896963277
1,ELECTRICITY,GERMANY,1,7,0.1914511556190555
1,ELECTRICITY,GERMANY,1,8,0.1916466621164108
1,ELECTRICITY,GERMANY,1,9,0.18760407147850822
1,ELECTRICITY,GERMANY,1,10,0.1866342462671614
1,ELECTRICITY,GERMANY,1,11,0.18780960747638836
1,ELECTRICITY,GERMANY,1,12,0.18360803515554325
1,ELECTRICITY,GERMANY,2,1,0.17856458988059268
1,ELECTRICITY,GERMANY,2,2,0.17997125966324382
1,ELECTRICITY,GERMANY,2,3,0.17952305142163988
1,ELECTRICITY,GERMANY,2,4,0.18618067812869302
1,ELECTRICITY,GERMANY,2,5,0.18821655667944964
1,ELECTRICITY,GERMANY,2,6,0.1917582075819926
1,ELECTRICITY,GERMANY,2,7,0.19126358790760314
1,ELECTRICITY,GERMANY,2,8,0.19151823327483666
1,ELECTRICITY,GERMANY,2,9,0.1875116182626756
1,ELECTRICITY,GERMANY,2,10,0.18614781629592225
1,ELECTRICITY,GERMANY,2,11,0.1892808201060624
1,ELECTRICITY,GERMANY,2,12,0.18463034013201893
1,ELECTRICITY,GERMANY,3,1,0.17858496702524002
1,ELECTRICITY,GERMANY,3,2,0.1808520040925825
1,ELECTRICITY,GERMANY,3,3,0.17910268869648877
1,ELECTRICITY,GERMANY,3,4,0.18466249259578552
1,ELECTRICITY,GERMANY,3,5,0.18612174939914772
1,ELECTRICITY,GERMANY,3,6,0.19020325789258172
1,ELECTRICITY,GERMANY,3,7,0.1892821125021298
1,ELECTRICITY,GERMANY,3,8,0.19058808204013453
1,ELECTRICITY,GERMANY,3,9,0.18637469195874737
1,ELECTRICITY,GERMANY,3,10,0.18422736561124814
1,ELECTRICITY,GERMANY,3,11,0.1898099584479836
1,ELECTRICITY,GERMANY,3,12,0.18424380767396484
