ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.466147961933729
ELECTRICITY,GERMANY,1,2,-1.435070759744789
ELECTRICITY,GERMANY,1,3,-1.433149012765028
ELECTRICITY,GERMANY,1,4,-1.370985308009658
ELECTRICITY,GERMANY,1,5,1.352552545678115
ELECTRICITY,GERMANY,1,6,-1.324981927284512
ELECTRICITY,GERMANY,1,7,-1.335062207745779
ELECTRICITY,GERMANY,1,8,-1.333700256900933
ELECTRICITY,GERMANY,1,9,-1.362439527437083
ELECTRICITY,GERMANY,1,10,6.135355351106071
ELECTRICITY,GERMANY,1,11,-1.360948494221795
ELECTRICITY,GERMANY,1,12,6.236536611528294
ELECTRICITY,GERMANY,2,1,6.412632409657959
ELECTRICITY,GERMANY,2,2,-1.420222334187926
ELECTRICITY,GERMANY,2,3,-1.423768148148028
ELECTRICITY,GERMANY,2,4,-1.372855685473702
ELECTRICITY,GERMANY,2,5,1.335174659239883
ELECTRICITY,GERMANY,2,6,-1.332924445346471
ELECTRICITY,GERMANY,2,7,-1.336371471917204
ELECTRICITY,GERMANY,2,8,-1.334594613409394
ELECTRICITY,GERMANY,2,9,-1.363111282696472
ELECTRICITY,GERMANY,2,10,6.151388171369398
ELECTRICITY,GERMANY,2,11,-1.350370324642803
ELECTRICITY,GERMANY,2,12,6.20200422135737
ELECTRICITY,GERMANY,3,1,6.411900694116895
ELECTRICITY,GERMANY,3,2,-1.413305889355811
ELECTRICITY,GERMANY,3,3,-1.427109801271172
ELECTRICITY,GERMANY,3,4,-1.384142490996105
ELECTRICITY,GERMANY,3,5,1.214758114429891
ELECTRICITY,GERMANY,3,6,-1.34382136938045
ELECTRICITY,GERMANY,3,7,-1.350361104478139
ELECTRICITY,GERMANY,3,8,-1.341108004999654
ELECTRICITY,GERMANY,3,9,-1.371426559069725
ELECTRICITY,GERMANY,3,10,6.215513555234196
ELECTRICITY,GERMANY,3,11,-1.346605860858055
ELECTRICITY,GERMANY,3,12,6.215015827602585
ELECTRICITY,GERMANY,4,1,6.433303373986121
ELECTRICITY,GERMANY,4,2,-1.414150193515447
ELECTRICITY,GERMANY,4,3,-1.43191877862634
ELECTRICITY,GERMANY,4,4,-1.417112502545685
ELECTRICITY,GERMANY,4,5,1.246063556548812
ELECTRICITY,GERMANY,4,6,-1.377920193197149
ELECTRICITY,GERMANY,4,7,-1.380169914805457
ELECTRICITY,GERMANY,4,8,-1.16354483401922
ELECTRICITY,GERMANY,4,9,-1.415335644001068
ELECTRICITY,GERMANY,4,10,6.347818279047331
ELECTRICITY,GERMANY,4,11,-1.342961259286213
ELECTRICITY,GERMANY,4,12,6.267109462039805
ELECTRICITY,GERMANY,5,1,6.546536365665816
ELECTRICITY,GERMANY,5,2,-1.435324973014055
ELECTRICITY,GERMANY,5,3,-1.464181471400451
ELECTRICITY,GERMANY,5,4,-1.494415726853575
ELECTRICITY,GERMANY,5,5,1.307131830203048
ELECTRICITY,GERMANY,5,6,-1.452710262535092
ELECTRICITY,GERMANY,5,7,-1.451840932274763
ELECTRICITY,GERMANY,5,8,-1.458740253936121
ELECTRICITY,GERMANY,5,9,-1.487951070334617
ELECTRICITY,GERMANY,5,10,6.72053877135474
