j,h,td,val
AMMONIA_STORAGE,1,1,3.643908095778267e-06
AMMONIA_STORAGE,1,2,3.643864602957052e-06
AMMONIA_STORAGE,1,3,3.643883282559079e-06
AMMONIA_STORAGE,1,4,3.643865377178776e-06
AMMONIA_STORAGE,1,5,3.643896628291584e-06
AMMONIA_STORAGE,1,6,3.643866786047782e-06
AMMONIA_STORAGE,1,7,3.64386615319171e-06
AMMONIA_STORAGE,1,8,3.643870293701694e-06
AMMONIA_STORAGE,1,9,3.643862934728779e-06
AMMONIA_STORAGE,1,10,3.64390904704923e-06
AMMONIA_STORAGE,1,11,3.643865116963532e-06
AMMONIA_STORAGE,1,12,3.64389775775627e-06
AMMONIA_STORAGE,2,1,3.643908095784772e-06
AMMONIA_STORAGE,2,2,3.643864602953148e-06
AMMONIA_STORAGE,2,3,3.643883282558537e-06
AMMONIA_STORAGE,2,4,3.643865377133022e-06
AMMONIA_STORAGE,2,5,3.643896565512267e-06
AMMONIA_STORAGE,2,6,3.643866786050493e-06
AMMONIA_STORAGE,2,7,3.643866153188241e-06
AMMONIA_STORAGE,2,8,3.643870293705163e-06
AMMONIA_STORAGE,2,9,3.643862934728454e-06
AMMONIA_STORAGE,2,10,3.643909047044134e-06
AMMONIA_STORAGE,2,11,3.643865116963207e-06
AMMONIA_STORAGE,2,12,3.643897757758764e-06
AMMONIA_STORAGE,3,1,3.643908095777942e-06
AMMONIA_STORAGE,3,2,3.643864602953365e-06
AMMONIA_STORAGE,3,3,3.64388328255767e-06
AMMONIA_STORAGE,3,4,3.643865377128577e-06
AMMONIA_STORAGE,3,5,3.643896098205301e-06
AMMONIA_STORAGE,3,6,3.643866786050276e-06
AMMONIA_STORAGE,3,7,3.643866153188024e-06
AMMONIA_STORAGE,3,8,3.643870293738556e-06
AMMONIA_STORAGE,3,9,3.643862934726285e-06
AMMONIA_STORAGE,3,10,3.643909047044459e-06
AMMONIA_STORAGE,3,11,3.643865116970146e-06
AMMONIA_STORAGE,3,12,3.643897757756921e-06
AMMONIA_STORAGE,4,1,3.643908095778267e-06
AMMONIA_STORAGE,4,2,3.643864602952715e-06
AMMONIA_STORAGE,4,3,3.643883282559188e-06
AMMONIA_STORAGE,4,4,3.643865377129119e-06
AMMONIA_STORAGE,4,5,3.64389609819511e-06
AMMONIA_STORAGE,4,6,3.643866786048541e-06
AMMONIA_STORAGE,4,7,3.643866153190301e-06
AMMONIA_STORAGE,4,8,3.643877006200415e-06
AMMONIA_STORAGE,4,9,3.643862934727478e-06
AMMONIA_STORAGE,4,10,3.643909047044026e-06
AMMONIA_STORAGE,4,11,3.643865116966134e-06
AMMONIA_STORAGE,4,12,3.643897757759848e-06
AMMONIA_STORAGE,5,1,3.643908095781519e-06
AMMONIA_STORAGE,5,2,3.643864602951305e-06
AMMONIA_STORAGE,5,3,3.643883282558537e-06
AMMONIA_STORAGE,5,4,3.643865377122831e-06
AMMONIA_STORAGE,5,5,3.643896098192291e-06
AMMONIA_STORAGE,5,6,3.643866786049626e-06
AMMONIA_STORAGE,5,7,3.643866153187915e-06
AMMONIA_STORAGE,5,8,3.64387029370332e-06
AMMONIA_STORAGE,5,9,3.643862934727153e-06
AMMONIA_STORAGE,5,10,3.643909047043917e-06
AMMONIA_STORAGE,5,11,3.643865116969278e-06
AMMONIA_STORAGE,5,12,3.643897757761149e-06
AMMONIA_STORAGE,6,1,3.643908095781086e-06
AMMONIA_STORAGE,6,2,3.643864602949029e-06
AMMONIA_STORAGE,6,3,3.643883282557886e-06
AMMONIA_STORAGE,6,4,3.643865377124132e-06
AMMONIA_STORAGE,6,5,3.643896098193483e-06
AMMONIA_STORAGE,6,6,3.643866786049192e-06
AMMONIA_STORAGE,6,7,3.643866153189867e-06
AMMONIA_STORAGE,6,8,3.643870293700935e-06
AMMONIA_STORAGE,6,9,3.643862934729213e-06
AMMONIA_STORAGE,6,10,3.643909047045435e-06
AMMONIA_STORAGE,6,11,3.643865116964725e-06
AMMONIA_STORAGE,6,12,3.643897757760065e-06
AMMONIA_STORAGE,7,1,3.64390809578488e-06
AMMONIA_STORAGE,7,2,3.643864602953148e-06
AMMONIA_STORAGE,7,3,3.643883282558429e-06
AMMONIA_STORAGE,7,4,3.643865377126192e-06
AMMONIA_STORAGE,7,5,3.643896098199338e-06
AMMONIA_STORAGE,7,6,3.64386678605136e-06
AMMONIA_STORAGE,7,7,3.643866153188132e-06
AMMONIA_STORAGE,7,8,3.643875460977155e-06
AMMONIA_STORAGE,7,9,3.643862934727153e-06
AMMONIA_STORAGE,7,10,3.643909047045435e-06
AMMONIA_STORAGE,7,11,3.643865116967544e-06
AMMONIA_STORAGE,7,12,3.643897757759523e-06
AMMONIA_STORAGE,8,1,3.643908095784772e-06
AMMONIA_STORAGE,8,2,3.643864602950004e-06
AMMONIA_STORAGE,8,3,3.643883282556585e-06
AMMONIA_STORAGE,8,4,3.64386537712359e-06
AMMONIA_STORAGE,8,5,3.643896098196194e-06
AMMONIA_STORAGE,8,6,3.64390300755166e-06
AMMONIA_STORAGE,8,7,3.643866153193445e-06
AMMONIA_STORAGE,8,8,3.643891497727967e-06
AMMONIA_STORAGE,8,9,3.64386293472596e-06
AMMONIA_STORAGE,8,10,3.643909047044893e-06
AMMONIA_STORAGE,8,11,3.643865116969495e-06
AMMONIA_STORAGE,8,12,3.643897757759631e-06
AMMONIA_STORAGE,9,1,3.643908095777616e-06
AMMONIA_STORAGE,9,2,3.643864602950655e-06
AMMONIA_STORAGE,9,3,3.643883282556911e-06
AMMONIA_STORAGE,9,4,3.643865377128577e-06
AMMONIA_STORAGE,9,5,3.643896098214083e-06
AMMONIA_STORAGE,9,6,3.643916378309286e-06
AMMONIA_STORAGE,9,7,3.64386615318965e-06
AMMONIA_STORAGE,9,8,3.643891497735014e-06
AMMONIA_STORAGE,9,9,3.643862934725201e-06
AMMONIA_STORAGE,9,10,3.643909047043375e-06
AMMONIA_STORAGE,9,11,3.643865116964291e-06
AMMONIA_STORAGE,9,12,3.643897757759089e-06
AMMONIA_STORAGE,10,1,3.643908095779134e-06
AMMONIA_STORAGE,10,2,3.643864602952064e-06
AMMONIA_STORAGE,10,3,3.643883282561139e-06
AMMONIA_STORAGE,10,4,3.643883763288793e-06
AMMONIA_STORAGE,10,5,3.643897277173357e-06
AMMONIA_STORAGE,10,6,3.643916653547343e-06
AMMONIA_STORAGE,10,7,3.6438661531993e-06
AMMONIA_STORAGE,10,8,3.643891497735448e-06
AMMONIA_STORAGE,10,9,3.643862934728996e-06
AMMONIA_STORAGE,10,10,3.643909047043809e-06
AMMONIA_STORAGE,10,11,3.643865116969604e-06
AMMONIA_STORAGE,10,12,3.643897757754861e-06
AMMONIA_STORAGE,11,1,3.643908095781194e-06
AMMONIA_STORAGE,11,2,3.643864602953148e-06
AMMONIA_STORAGE,11,3,3.643883282560814e-06
AMMONIA_STORAGE,11,4,3.643883760703947e-06
AMMONIA_STORAGE,11,5,3.643898538643778e-06
AMMONIA_STORAGE,11,6,3.643916516916619e-06
AMMONIA_STORAGE,11,7,3.643866153194312e-06
AMMONIA_STORAGE,11,8,3.643891497737291e-06
AMMONIA_STORAGE,11,9,3.643862934734634e-06
AMMONIA_STORAGE,11,10,3.643909047046519e-06
AMMONIA_STORAGE,11,11,3.643865116964183e-06
