pt,n,h,td,val
CCGT,GERMANY,1,1,3.546055763533364e-09
CCGT,GERMANY,1,2,3.881045719616457e-07
CCGT,GERMANY,1,3,3.683713633473209e-07
CCGT,GERMANY,1,4,4.045216173929547e-07
CCGT,GERMANY,1,5,4.222249824562682e-09
CCGT,GERMANY,1,6,3.841253199983909e-07
CCGT,GERMANY,1,7,4.058231077052664e-07
CCGT,GERMANY,1,8,4.109431547911192e-07
CCGT,GERMANY,1,9,3.962465688631724e-07
CCGT,GERMANY,1,10,3.681251869134928e-09
CCGT,GERMANY,1,11,4.040368350079936e-07
CCGT,GERMANY,1,12,2.046998513766776e-09
CCGT,GERMANY,2,1,3.546051069809534e-09
CCGT,GERMANY,2,2,3.881048568774486e-07
CCGT,GERMANY,2,3,3.683718661752739e-07
CCGT,GERMANY,2,4,4.045215831612096e-07
CCGT,GERMANY,2,5,4.242795095115885e-09
CCGT,GERMANY,2,6,3.841256720799567e-07
CCGT,GERMANY,2,7,4.058231459750277e-07
CCGT,GERMANY,2,8,4.109430680593111e-07
CCGT,GERMANY,2,9,3.962467440152503e-07
CCGT,GERMANY,2,10,3.681250667509977e-09
CCGT,GERMANY,2,11,4.040367350983615e-07
CCGT,GERMANY,2,12,2.046989764384607e-09
CCGT,GERMANY,3,1,3.546046049630181e-09
CCGT,GERMANY,3,2,3.881051272243996e-07
CCGT,GERMANY,3,3,3.683723543208993e-07
CCGT,GERMANY,3,4,4.045215461198756e-07
CCGT,GERMANY,3,5,4.263718187871878e-09
CCGT,GERMANY,3,6,3.841260114185798e-07
CCGT,GERMANY,3,7,4.058231841332567e-07
CCGT,GERMANY,3,8,4.109429773508767e-07
CCGT,GERMANY,3,9,3.962469183631851e-07
CCGT,GERMANY,3,10,3.681249350014579e-09
CCGT,GERMANY,3,11,4.040366270272608e-07
CCGT,GERMANY,3,12,2.046980649708801e-09
CCGT,GERMANY,4,1,3.546040675178549e-09
CCGT,GERMANY,4,2,3.881053814233853e-07
CCGT,GERMANY,4,3,3.683728287142858e-07
CCGT,GERMANY,4,4,4.045215065538274e-07
CCGT,GERMANY,4,5,4.285025219213741e-09
CCGT,GERMANY,4,6,3.841263410872211e-07
CCGT,GERMANY,4,7,4.058232222687616e-07
CCGT,GERMANY,4,8,4.109428856178108e-07
CCGT,GERMANY,4,9,3.962470921566476e-07
CCGT,GERMANY,4,10,3.681247945870361e-09
CCGT,GERMANY,4,11,4.040365101946452e-07
CCGT,GERMANY,4,12,2.046971152294103e-09
CCGT,GERMANY,5,1,3.546035062029545e-09
CCGT,GERMANY,5,2,3.881056263539141e-07
CCGT,GERMANY,5,3,3.683732946768709e-07
CCGT,GERMANY,5,4,4.045214726159141e-07
CCGT,GERMANY,5,5,4.306724999852572e-09
CCGT,GERMANY,5,6,3.841266730869978e-07
CCGT,GERMANY,5,7,4.058232606763296e-07
CCGT,GERMANY,5,8,4.109427871629679e-07
CCGT,GERMANY,5,9,3.962472661693844e-07
CCGT,GERMANY,5,10,3.681246581646769e-09
CCGT,GERMANY,5,11,4.04036389005225e-07
CCGT,GERMANY,5,12,2.0469613045685e-09
CCGT,GERMANY,6,1,3.546029766077208e-09
CCGT,GERMANY,6,2,3.881058923139777e-07
CCGT,GERMANY,6,3,3.683737714677917e-07
CCGT,GERMANY,6,4,4.045214450092922e-07
CCGT,GERMANY,6,5,4.947184028607933e-09
CCGT,GERMANY,6,6,3.841270074303204e-07
CCGT,GERMANY,6,7,4.05823300294799e-07
CCGT,GERMANY,6,8,4.109426891993271e-07
CCGT,GERMANY,6,9,3.96247441666375e-07
CCGT,GERMANY,6,10,3.681245253399876e-09
CCGT,GERMANY,6,11,4.040362781951602e-07
CCGT,GERMANY,6,12,2.046951419495123e-09
CCGT,GERMANY,7,1,3.546024763144394e-09
CCGT,GERMANY,7,2,3.881061799944389e-07
CCGT,GERMANY,7,3,3.68374259112071e-07
CCGT,GERMANY,7,4,4.045214232528101e-07
CCGT,GERMANY,7,5,4.351354449607346e-09
CCGT,GERMANY,7,6,3.841273418790396e-07
CCGT,GERMANY,7,7,4.058233430239199e-07
CCGT,GERMANY,7,8,4.109425916418767e-07
CCGT,GERMANY,7,9,3.962476206809997e-07
CCGT,GERMANY,7,10,3.681243922772506e-09
CCGT,GERMANY,7,11,4.040361796854181e-07
CCGT,GERMANY,7,12,2.046941493564007e-09
CCGT,GERMANY,8,1,3.546019881477364e-09
CCGT,GERMANY,8,2,3.881064823718637e-07
CCGT,GERMANY,8,3,3.683747529529053e-07
CCGT,GERMANY,8,4,4.045214115291613e-07
CCGT,GERMANY,8,5,4.374299475114752e-09
CCGT,GERMANY,8,6,3.623668233807584e-07
CCGT,GERMANY,8,7,4.058233942413196e-07
CCGT,GERMANY,8,8,4.645389849323193e-09
CCGT,GERMANY,8,9,3.962478055251208e-07
CCGT,GERMANY,8,10,3.681242586199305e-09
CCGT,GERMANY,8,11,4.040360923456016e-07
CCGT,GERMANY,8,12,2.046931433263857e-09
CCGT,GERMANY,9,1,3.546015095980088e-09
CCGT,GERMANY,9,2,3.881068031189738e-07
CCGT,GERMANY,9,3,3.683752551264064e-07
CCGT,GERMANY,9,4,4.045214165971712e-07
CCGT,GERMANY,9,5,4.242771194751016e-09
CCGT,GERMANY,9,6,1.001362085711015e-08
CCGT,GERMANY,9,7,4.058234558792524e-07
CCGT,GERMANY,9,8,2.706911450280922e-09
CCGT,GERMANY,9,9,3.96248003518096e-07
CCGT,GERMANY,9,10,3.681241236711079e-09
CCGT,GERMANY,9,11,4.040360201283544e-07
CCGT,GERMANY,9,12,2.046921224800301e-09
CCGT,GERMANY,10,1,3.546010371189727e-09
CCGT,GERMANY,10,2,3.881071379247742e-07
CCGT,GERMANY,10,3,3.683757650790259e-07
CCGT,GERMANY,10,4,4.045214241311994e-07
CCGT,GERMANY,10,5,4.242785041805918e-09
CCGT,GERMANY,10,6,1.001364753309506e-08
CCGT,GERMANY,10,7,4.05823514954371e-07
CCGT,GERMANY,10,8,2.694333898772556e-09
CCGT,GERMANY,10,9,3.962482016529154e-07
CCGT,GERMANY,10,10,3.681239872794649e-09
CCGT,GERMANY,10,11,4.04035946316133e-07
CCGT,GERMANY,10,12,2.046910811877721e-09
CCGT,GERMANY,11,1,3.546005660083497e-09
CCGT,GERMANY,11,2,3.881074745819128e-07
CCGT,GERMANY,11,3,3.683762760719237e-07
CCGT,GERMANY,11,4,3.986674065452451e-07
CCGT,GERMANY,11,5,4.242783746699348e-09
CCGT,GERMANY,11,6,1.001366785742563e-08
CCGT,GERMANY,11,7,4.058235672865784e-07
CCGT,GERMANY,11,8,2.694329021774424e-09
CCGT,GERMANY,11,9,3.962483936246498e-07
CCGT,GERMANY,11,10,3.681238469934605e-09
CCGT,GERMANY,11,11,4.040358683213278e-07
CCGT,GERMANY,11,12,2.046900081762411e-09
CCGT,GERMANY,12,1,3.546000930934189e-09
CCGT,GERMANY,12,2,3.881078126459826e-07
CCGT,GERMANY,12,3,3.683767815452792e-07
CCGT,GERMANY,12,4,3.986803649547497e-07
CCGT,GERMANY,12,5,3.05730264225172e-09
CCGT,GERMANY,12,6,1.001368860096455e-08
CCGT,GERMANY,12,7,4.05823623897712e-07
CCGT,GERMANY,12,8,2.694324028685901e-09
CCGT,GERMANY,12,9,3.962485828668234e-07
CCGT,GERMANY,12,10,3.681237006234683e-09
CCGT,GERMANY,12,11,4.04035786994979e-07
CCGT,GERMANY,12,12,2.04688922993102e-09
CCGT,GERMANY,13,1,3.545996167545416e-09
CCGT,GERMANY,13,2,3.881081497385322e-07
CCGT,GERMANY,13,3,3.68377279077119e-07
CCGT,GERMANY,13,4,3.986933216108322e-07
CCGT,GERMANY,13,5,2.939777124534874e-09
CCGT,GERMANY,13,6,1.001371150420122e-08
CCGT,GERMANY,13,7,3.844450849769624e-07
CCGT,GERMANY,13,8,2.655648981777924e-09
CCGT,GERMANY,13,9,3.962487699411657e-07
CCGT,GERMANY,13,10,3.681235467481898e-09
CCGT,GERMANY,13,11,4.040357022849012e-07
CCGT,GERMANY,13,12,2.046877951637255e-09
CCGT,GERMANY,14,1,3.545991327058646e-09
CCGT,GERMANY,14,2,3.88108486005597e-07
CCGT,GERMANY,14,3,3.683777667593927e-07
CCGT,GERMANY,14,4,3.987062629637127e-07
CCGT,GERMANY,14,5,2.942274882827721e-09
CCGT,GERMANY,14,6,1.00137332632754e-08
CCGT,GERMANY,14,7,3.886862864680418e-07
CCGT,GERMANY,14,8,1.690249556484575e-09
CCGT,GERMANY,14,9,3.962489531036926e-07
CCGT,GERMANY,14,10,3.681233801191901e-09
CCGT,GERMANY,14,11,4.040356149901397e-07
CCGT,GERMANY,14,12,2.787215089691676e-09
CCGT,GERMANY,15,1,3.54598641814324e-09
CCGT,GERMANY,15,2,3.881088218171694e-07
CCGT,GERMANY,15,3,3.683782445721445e-07
CCGT,GERMANY,15,4,3.987191846600985e-07
CCGT,GERMANY,15,5,2.944797402119831e-09
CCGT,GERMANY,15,6,1.001375479365515e-08
CCGT,GERMANY,15,7,3.920958954102927e-07
CCGT,GERMANY,15,8,2.11229039589093e-09
CCGT,GERMANY,15,9,3.962491363591225e-07
CCGT,GERMANY,15,10,3.681232023016608e-09
CCGT,GERMANY,15,11,4.040355246718508e-07
CCGT,GERMANY,15,12,3.259203520951284e-09
CCGT,GERMANY,16,1,3.545981439478013e-09
CCGT,GERMANY,16,2,3.881091619187362e-07
CCGT,GERMANY,16,3,3.683787106474332e-07
CCGT,GERMANY,16,4,4.003700377002485e-07
CCGT,GERMANY,16,5,2.947344588836834e-09
CCGT,GERMANY,16,6,1.00137708248189e-08
CCGT,GERMANY,16,7,3.948945025588101e-07
CCGT,GERMANY,16,8,2.694301100522559e-09
CCGT,GERMANY,16,9,3.962493250872048e-07
CCGT,GERMANY,16,10,3.681230160221155e-09
CCGT,GERMANY,16,11,4.040354367608008e-07
CCGT,GERMANY,16,12,4.82049887262788e-09
CCGT,GERMANY,17,1,3.545976447223708e-09
CCGT,GERMANY,17,2,3.881095008042903e-07
CCGT,GERMANY,17,3,3.683791702828944e-07
CCGT,GERMANY,17,4,4.018123343779785e-07
CCGT,GERMANY,17,5,4.242773368719789e-09
CCGT,GERMANY,17,6,1.031877336742649e-08
CCGT,GERMANY,17,7,4.058238901278275e-07
CCGT,GERMANY,17,8,2.707657890701532e-09
CCGT,GERMANY,17,9,3.962495122764975e-07
CCGT,GERMANY,17,10,3.681228262933924e-09
CCGT,GERMANY,17,11,4.040353529721573e-07
CCGT,GERMANY,17,12,5.113604552884777e-09
CCGT,GERMANY,18,1,3.545971476144465e-09
CCGT,GERMANY,18,2,3.881098390342959e-07
CCGT,GERMANY,18,3,3.683796154210707e-07
CCGT,GERMANY,18,4,4.030830704618631e-07
CCGT,GERMANY,18,5,4.287211387708465e-09
CCGT,GERMANY,18,6,3.435654586274743e-08
CCGT,GERMANY,18,7,4.058239368214026e-07
CCGT,GERMANY,18,8,4.319427327671553e-09
CCGT,GERMANY,18,9,3.962496865695409e-07
CCGT,GERMANY,18,10,3.681226354391317e-09
CCGT,GERMANY,18,11,4.040352569524837e-07
CCGT,GERMANY,18,12,4.931825274476985e-09
CCGT,GERMANY,19,1,3.545966561068513e-09
CCGT,GERMANY,19,2,3.881101832158337e-07
CCGT,GERMANY,19,3,3.683800621743474e-07
CCGT,GERMANY,19,4,4.042110100096738e-07
CCGT,GERMANY,19,5,4.242769582996349e-09
CCGT,GERMANY,19,6,3.565727783548692e-08
CCGT,GERMANY,19,7,4.058239813213309e-07
CCGT,GERMANY,19,8,4.109423875566924e-07
CCGT,GERMANY,19,9,3.962498555852797e-07
CCGT,GERMANY,19,10,3.681224432297671e-09
CCGT,GERMANY,19,11,4.040351540590442e-07
CCGT,GERMANY,19,12,4.990167382373593e-09
CCGT,GERMANY,20,1,3.545961731261184e-09
CCGT,GERMANY,20,2,3.881105360449235e-07
CCGT,GERMANY,20,3,3.683805096122156e-07
CCGT,GERMANY,20,4,3.987835254161517e-07
CCGT,GERMANY,20,5,4.176433045252755e-09
CCGT,GERMANY,20,6,3.435561308298491e-07
CCGT,GERMANY,20,7,4.058240223490683e-07
CCGT,GERMANY,20,8,4.1094224418579e-07
CCGT,GERMANY,20,9,3.962500215848409e-07
CCGT,GERMANY,20,10,3.681222499062693e-09
CCGT,GERMANY,20,11,4.040350494629258e-07
CCGT,GERMANY,20,12,5.050407951176888e-09
CCGT,GERMANY,21,1,3.545957007030913e-09
CCGT,GERMANY,21,2,3.881109005236174e-07
CCGT,GERMANY,21,3,3.683809607026665e-07
CCGT,GERMANY,21,4,3.987963468875393e-07
CCGT,GERMANY,21,5,2.66716514757548e-09
CCGT,GERMANY,21,6,3.508283657121522e-07
CCGT,GERMANY,21,7,4.05824062626617e-07
CCGT,GERMANY,21,8,4.109420942811495e-07
CCGT,GERMANY,21,9,3.962501869622835e-07
CCGT,GERMANY,21,10,3.681220538241189e-09
CCGT,GERMANY,21,11,4.040349457083121e-07
CCGT,GERMANY,21,12,5.112639354149526e-09
CCGT,GERMANY,22,1,3.545952305222131e-09
CCGT,GERMANY,22,2,3.881112933423469e-07
CCGT,GERMANY,22,3,3.654810103723964e-07
CCGT,GERMANY,22,4,3.988091003542845e-07
CCGT,GERMANY,22,5,2.667164491423068e-09
CCGT,GERMANY,22,6,3.569628408287773e-07
CCGT,GERMANY,22,7,4.058241029282261e-07
CCGT,GERMANY,22,8,4.109419391728328e-07
CCGT,GERMANY,22,9,3.96250352305171e-07
CCGT,GERMANY,22,10,3.681218521229081e-09
CCGT,GERMANY,22,11,4.040348407730811e-07
CCGT,GERMANY,22,12,5.176958785520568e-09
CCGT,GERMANY,23,1,3.545947461839438e-09
CCGT,GERMANY,23,2,3.881116723786963e-07
CCGT,GERMANY,23,3,3.683818536386839e-07
CCGT,GERMANY,23,4,4.018712099197456e-07
CCGT,GERMANY,23,5,2.667163654746541e-09
CCGT,GERMANY,23,6,3.841348466653082e-07
CCGT,GERMANY,23,7,4.058241433365779e-07
CCGT,GERMANY,23,8,4.109417778073939e-07
