j,h,td,val
AMMONIA_STORAGE,1,1,0.0004542557553870491
AMMONIA_STORAGE,1,2,0.0004542613836175692
AMMONIA_STORAGE,1,3,0.0004542584294165704
AMMONIA_STORAGE,1,4,0.0004542615837064708
AMMONIA_STORAGE,1,5,0.0004542571702199458
AMMONIA_STORAGE,1,6,0.0004542610029103404
AMMONIA_STORAGE,1,7,0.0004542614970477216
AMMONIA_STORAGE,1,8,0.0004542609976060921
AMMONIA_STORAGE,1,9,0.0004542617733162614
AMMONIA_STORAGE,1,10,0.0004542556194622269
AMMONIA_STORAGE,1,11,0.0004542616118262304
AMMONIA_STORAGE,1,12,0.0004542572334797126
AMMONIA_STORAGE,2,1,0.0004542557553869476
AMMONIA_STORAGE,2,2,0.0004542613836210885
AMMONIA_STORAGE,2,3,0.0004542584294174729
AMMONIA_STORAGE,2,4,0.0004542615837055683
AMMONIA_STORAGE,2,5,0.0004542571761191969
AMMONIA_STORAGE,2,6,0.0004542610029083329
AMMONIA_STORAGE,2,7,0.0004542614970451039
AMMONIA_STORAGE,2,8,0.0004542609976098989
AMMONIA_STORAGE,2,9,0.0004542617733172727
AMMONIA_STORAGE,2,10,0.0004542556194621849
AMMONIA_STORAGE,2,11,0.0004542616118299514
AMMONIA_STORAGE,2,12,0.0004542572334855534
AMMONIA_STORAGE,3,1,0.0004542557553867585
AMMONIA_STORAGE,3,2,0.000454261383622799
AMMONIA_STORAGE,3,3,0.0004542584294160213
AMMONIA_STORAGE,3,4,0.0004542615837013365
AMMONIA_STORAGE,3,5,0.0004542571821080144
AMMONIA_STORAGE,3,6,0.0004542610029078095
AMMONIA_STORAGE,3,7,0.0004542614970456096
AMMONIA_STORAGE,3,8,0.0004542609976120535
AMMONIA_STORAGE,3,9,0.0004542617733158823
AMMONIA_STORAGE,3,10,0.0004542556194668933
AMMONIA_STORAGE,3,11,0.0004542616118315638
AMMONIA_STORAGE,3,12,0.0004542572334794819
AMMONIA_STORAGE,4,1,0.0004542557553860833
AMMONIA_STORAGE,4,2,0.0004542613836238051
AMMONIA_STORAGE,4,3,0.0004542584294180709
AMMONIA_STORAGE,4,4,0.0004542615837071213
AMMONIA_STORAGE,4,5,0.0004542571881841033
AMMONIA_STORAGE,4,6,0.0004542610029082592
AMMONIA_STORAGE,4,7,0.0004542614970475707
AMMONIA_STORAGE,4,8,0.0004542609976228339
AMMONIA_STORAGE,4,9,0.0004542617733195998
AMMONIA_STORAGE,4,10,0.0004542556194620374
AMMONIA_STORAGE,4,11,0.000454261611833207
AMMONIA_STORAGE,4,12,0.0004542572334796826
AMMONIA_STORAGE,5,1,0.0004542557553861588
AMMONIA_STORAGE,5,2,0.0004542613836220812
AMMONIA_STORAGE,5,3,0.0004542584294164711
AMMONIA_STORAGE,5,4,0.0004542615837050449
AMMONIA_STORAGE,5,5,0.0004542571943383913
AMMONIA_STORAGE,5,6,0.0004542610029086508
AMMONIA_STORAGE,5,7,0.0004542614970461127
AMMONIA_STORAGE,5,8,0.0004542609976091131
AMMONIA_STORAGE,5,9,0.0004542617733184918
AMMONIA_STORAGE,5,10,0.000454255619463358
AMMONIA_STORAGE,5,11,0.000454261611836676
AMMONIA_STORAGE,5,12,0.0004542572334798331
AMMONIA_STORAGE,6,1,0.0004542557553890844
AMMONIA_STORAGE,6,2,0.000454261383618385
AMMONIA_STORAGE,6,3,0.0004542584294150243
AMMONIA_STORAGE,6,4,0.0004542615837086314
AMMONIA_STORAGE,6,5,0.0004542573636538679
AMMONIA_STORAGE,6,6,0.0004542610029070453
AMMONIA_STORAGE,6,7,0.0004542614970506668
AMMONIA_STORAGE,6,8,0.0004542609976160498
AMMONIA_STORAGE,6,9,0.0004542617733211489
AMMONIA_STORAGE,6,10,0.0004542556194642041
AMMONIA_STORAGE,6,11,0.000454261611831556
AMMONIA_STORAGE,6,12,0.0004542572334913213
AMMONIA_STORAGE,7,1,0.0004542557553858144
AMMONIA_STORAGE,7,2,0.0004542613836205169
AMMONIA_STORAGE,7,3,0.0004542584294141309
AMMONIA_STORAGE,7,4,0.0004542615837097976
AMMONIA_STORAGE,7,5,0.0004542572069012258
AMMONIA_STORAGE,7,6,0.0004542610029076395
AMMONIA_STORAGE,7,7,0.0004542614970387063
AMMONIA_STORAGE,7,8,0.0004542609976093629
AMMONIA_STORAGE,7,9,0.0004542617733194376
AMMONIA_STORAGE,7,10,0.0004542556194626519
AMMONIA_STORAGE,7,11,0.0004542616118302428
AMMONIA_STORAGE,7,12,0.0004542572334790373
AMMONIA_STORAGE,8,1,0.0004542557553861249
AMMONIA_STORAGE,8,2,0.0004542613836176516
AMMONIA_STORAGE,8,3,0.0004542584294169871
AMMONIA_STORAGE,8,4,0.0004542615837099416
AMMONIA_STORAGE,8,5,0.0004542572133083098
AMMONIA_STORAGE,8,6,0.0004542598476872627
AMMONIA_STORAGE,8,7,0.0004542614970429251
