j,n,h,td,val
BATT_LI,GERMANY,1,1,2.356930967809166e-07
BATT_LI,GERMANY,1,2,2.33242700898886e-07
BATT_LI,GERMANY,1,3,2.343500571627599e-07
BATT_LI,GERMANY,1,4,2.28289326703063e-07
BATT_LI,GERMANY,1,5,2.415528544268347e-07
BATT_LI,GERMANY,1,6,2.197969333368904e-07
BATT_LI,GERMANY,1,7,2.278170970087355e-07
BATT_LI,GERMANY,1,8,2.073876995067596e-07
BATT_LI,GERMANY,1,9,2.324567803996103e-07
BATT_LI,GERMANY,1,10,2.356930966811475e-07
BATT_LI,GERMANY,1,11,2.309068491717803e-07
BATT_LI,GERMANY,1,12,2.381969913150777e-07
BATT_LI,GERMANY,2,1,2.457184240923467e-07
BATT_LI,GERMANY,2,2,2.418776455368904e-07
BATT_LI,GERMANY,2,3,2.436568526525585e-07
BATT_LI,GERMANY,2,4,2.328638125921833e-07
BATT_LI,GERMANY,2,5,2.553079273509079e-07
BATT_LI,GERMANY,2,6,2.135983462668595e-07
BATT_LI,GERMANY,2,7,2.320589606984293e-07
BATT_LI,GERMANY,2,8,1.908772523427131e-07
BATT_LI,GERMANY,2,9,2.406750499981317e-07
BATT_LI,GERMANY,2,10,2.457184238847211e-07
BATT_LI,GERMANY,2,11,2.381526318966008e-07
BATT_LI,GERMANY,2,12,2.510575377911616e-07
BATT_LI,GERMANY,3,1,2.529423483470021e-07
BATT_LI,GERMANY,3,2,2.48384762135091e-07
BATT_LI,GERMANY,3,3,2.50560395522466e-07
BATT_LI,GERMANY,3,4,2.357684127414189e-07
BATT_LI,GERMANY,3,5,2.641648371315385e-07
BATT_LI,GERMANY,3,6,2.026021267235265e-07
BATT_LI,GERMANY,3,7,2.347380742559154e-07
BATT_LI,GERMANY,3,8,1.714002692697268e-07
BATT_LI,GERMANY,3,9,2.470234013580864e-07
BATT_LI,GERMANY,3,10,2.529423479398857e-07
BATT_LI,GERMANY,3,11,2.439270388641383e-07
BATT_LI,GERMANY,3,12,2.617365204370426e-07
BATT_LI,GERMANY,4,1,2.581371579762162e-07
BATT_LI,GERMANY,4,2,2.532610306416792e-07
BATT_LI,GERMANY,4,3,2.556742767293877e-07
BATT_LI,GERMANY,4,4,2.371485082512349e-07
BATT_LI,GERMANY,4,5,2.688205215589916e-07
BATT_LI,GERMANY,4,6,1.85679678998134e-07
BATT_LI,GERMANY,4,7,2.359791624594753e-07
BATT_LI,GERMANY,4,8,1.475682175503943e-07
BATT_LI,GERMANY,4,9,2.519227410884e-07
BATT_LI,GERMANY,4,10,2.581371574934915e-07
BATT_LI,GERMANY,4,11,2.485220806192004e-07
BATT_LI,GERMANY,4,12,2.71367142054888e-07
BATT_LI,GERMANY,5,1,2.618635759455328e-07
BATT_LI,GERMANY,5,2,2.568753681738872e-07
BATT_LI,GERMANY,5,3,2.594524812168073e-07
BATT_LI,GERMANY,5,4,2.370711010439764e-07
BATT_LI,GERMANY,5,5,2.696280761910965e-07
BATT_LI,GERMANY,5,6,1.609308616462349e-07
BATT_LI,GERMANY,5,7,2.358382433288055e-07
BATT_LI,GERMANY,5,8,1.168505344223916e-07
BATT_LI,GERMANY,5,9,2.556927267780131e-07
BATT_LI,GERMANY,5,10,2.618635755759685e-07
BATT_LI,GERMANY,5,11,2.521642944794729e-07
BATT_LI,GERMANY,5,12,2.809786737637766e-07
BATT_LI,GERMANY,6,1,2.645266144493933e-07
BATT_LI,GERMANY,6,2,2.594998980324973e-07
BATT_LI,GERMANY,6,3,2.622306060201919e-07
BATT_LI,GERMANY,6,4,2.355299262869354e-07
BATT_LI,GERMANY,6,5,1.887605384632764e-07
BATT_LI,GERMANY,6,6,1.251600172732285e-07
BATT_LI,GERMANY,6,7,2.343067702011528e-07
BATT_LI,GERMANY,6,8,7.36881613920922e-08
BATT_LI,GERMANY,6,9,2.585770519628279e-07
BATT_LI,GERMANY,6,10,2.645266141641039e-07
BATT_LI,GERMANY,6,11,2.550303045912694e-07
BATT_LI,GERMANY,6,12,2.915984458293902e-07
BATT_LI,GERMANY,7,1,2.664171429248518e-07
BATT_LI,GERMANY,7,2,2.613317506694204e-07
BATT_LI,GERMANY,7,3,2.642557177302971e-07
BATT_LI,GERMANY,7,4,2.324445041750774e-07
BATT_LI,GERMANY,7,5,1.741367183870074e-07
BATT_LI,GERMANY,7,6,7.283497409857117e-08
BATT_LI,GERMANY,7,7,2.313106240382173e-07
BATT_LI,GERMANY,7,8,3.786208492534057e-09
BATT_LI,GERMANY,7,9,2.607611801224946e-07
BATT_LI,GERMANY,7,10,2.664171428318232e-07
BATT_LI,GERMANY,7,11,2.57257622448731e-07
BATT_LI,GERMANY,7,12,3.043536899016082e-07
BATT_LI,GERMANY,8,1,2.677423793516282e-07
BATT_LI,GERMANY,8,2,2.625083415826067e-07
BATT_LI,GERMANY,8,3,2.657081544286698e-07
BATT_LI,GERMANY,8,4,2.276528568436658e-07
BATT_LI,GERMANY,8,5,1.459055147606909e-07
BATT_LI,GERMANY,8,6,1.525005477822837e-08
BATT_LI,GERMANY,8,7,2.26703679941547e-07
BATT_LI,GERMANY,8,8,7.668395132899175e-09
BATT_LI,GERMANY,8,9,2.623851455401057e-07
BATT_LI,GERMANY,8,10,2.677423792571692e-07
BATT_LI,GERMANY,8,11,2.589523860317661e-07
BATT_LI,GERMANY,8,12,3.20580017941191e-07
BATT_LI,GERMANY,9,1,2.686479383847322e-07
BATT_LI,GERMANY,9,2,2.631178157022543e-07
BATT_LI,GERMANY,9,3,2.667174071739804e-07
BATT_LI,GERMANY,9,4,2.208958624626764e-07
BATT_LI,GERMANY,9,5,1.264385473330482e-07
BATT_LI,GERMANY,9,6,9.003252794584869e-08
BATT_LI,GERMANY,9,7,2.202542569415488e-07
BATT_LI,GERMANY,9,8,7.4307992705656e-08
BATT_LI,GERMANY,9,9,2.635529044482049e-07
BATT_LI,GERMANY,9,10,2.686479377457502e-07
BATT_LI,GERMANY,9,11,2.601949996343057e-07
BATT_LI,GERMANY,9,12,3.419426859292551e-07
BATT_LI,GERMANY,10,1,2.692334861064769e-07
BATT_LI,GERMANY,10,2,2.63205656158809e-07
BATT_LI,GERMANY,10,3,2.673735342325278e-07
BATT_LI,GERMANY,10,4,2.117886988150751e-07
BATT_LI,GERMANY,10,5,8.90774392989801e-08
BATT_LI,GERMANY,10,6,1.50101403201212e-07
BATT_LI,GERMANY,10,7,2.11620473362891e-07
BATT_LI,GERMANY,10,8,1.218956360483266e-07
BATT_LI,GERMANY,10,9,2.64339140238208e-07
BATT_LI,GERMANY,10,10,2.692334844732007e-07
BATT_LI,GERMANY,10,11,2.610442438554304e-07
BATT_LI,GERMANY,10,12,3.705760103148683e-07
BATT_LI,GERMANY,11,1,2.695635297521855e-07
BATT_LI,GERMANY,11,2,2.627780259519582e-07
BATT_LI,GERMANY,11,3,2.677351060375241e-07
BATT_LI,GERMANY,11,4,2.257333132175647e-07
BATT_LI,GERMANY,11,5,2.572448863604101e-08
BATT_LI,GERMANY,11,6,2.010961159087906e-07
BATT_LI,GERMANY,11,7,2.003058830185395e-07
BATT_LI,GERMANY,11,8,1.551046777754596e-07
BATT_LI,GERMANY,11,9,2.647940969370867e-07
BATT_LI,GERMANY,11,10,2.695635296580608e-07
BATT_LI,GERMANY,11,11,2.61540203099649e-07
BATT_LI,GERMANY,11,12,4.092515535099392e-07
BATT_LI,GERMANY,12,1,2.696744283448923e-07
BATT_LI,GERMANY,12,2,2.618020976696177e-07
BATT_LI,GERMANY,12,3,2.678343739006815e-07
BATT_LI,GERMANY,12,4,2.374261934069988e-07
BATT_LI,GERMANY,12,5,1.067037920905933e-07
BATT_LI,GERMANY,12,6,2.469549917760986e-07
BATT_LI,GERMANY,12,7,1.855762080137398e-07
BATT_LI,GERMANY,12,8,1.782380469466908e-07
BATT_LI,GERMANY,12,9,2.64946802000434e-07
BATT_LI,GERMANY,12,10,2.696744293070582e-07
BATT_LI,GERMANY,12,11,2.617062257841253e-07
BATT_LI,GERMANY,12,12,4.616522845910476e-07
BATT_LI,GERMANY,13,1,2.695783450954566e-07
BATT_LI,GERMANY,13,2,2.602033603538166e-07
BATT_LI,GERMANY,13,3,2.676801057292127e-07
BATT_LI,GERMANY,13,4,2.475157183287574e-07
BATT_LI,GERMANY,13,5,1.937013109315019e-07
BATT_LI,GERMANY,13,6,2.910532967237545e-07
BATT_LI,GERMANY,13,7,2.337029607807837e-07
BATT_LI,GERMANY,13,8,2.084837685063127e-07
BATT_LI,GERMANY,13,9,2.648069158676563e-07
BATT_LI,GERMANY,13,10,2.695783459325225e-07
BATT_LI,GERMANY,13,11,2.615500482207715e-07
BATT_LI,GERMANY,13,12,5.33449525472219e-07
BATT_LI,GERMANY,14,1,2.692645443747293e-07
BATT_LI,GERMANY,14,2,2.57859607088347e-07
BATT_LI,GERMANY,14,3,2.67258325145932e-07
BATT_LI,GERMANY,14,4,2.565260244292919e-07
BATT_LI,GERMANY,14,5,2.783947535842902e-07
BATT_LI,GERMANY,14,6,3.365994871960719e-07
BATT_LI,GERMANY,14,7,2.718389177798773e-07
BATT_LI,GERMANY,14,8,3.287997815447333e-07
BATT_LI,GERMANY,14,9,2.643653367942878e-07
BATT_LI,GERMANY,14,10,2.692645448266582e-07
BATT_LI,GERMANY,14,11,2.610641539836448e-07
BATT_LI,GERMANY,14,12,5.257774148476459e-07
BATT_LI,GERMANY,15,1,2.686981560747618e-07
BATT_LI,GERMANY,15,2,2.54590964720854e-07
BATT_LI,GERMANY,15,3,2.665310041615973e-07
BATT_LI,GERMANY,15,4,2.6490666603228e-07
BATT_LI,GERMANY,15,5,3.629802718720567e-07
