ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.1295792199042
ELECTRICITY,GERMANY,1,2,63.06068538253543
ELECTRICITY,GERMANY,1,3,62.97623890362145
ELECTRICITY,GERMANY,1,4,60.26421188679969
ELECTRICITY,GERMANY,1,5,63.80892939879507
ELECTRICITY,GERMANY,1,6,58.22310007296824
ELECTRICITY,GERMANY,1,7,58.66605341237941
ELECTRICITY,GERMANY,1,8,58.60620580226185
ELECTRICITY,GERMANY,1,9,59.86908297428973
ELECTRICITY,GERMANY,1,10,67.49084613789555
ELECTRICITY,GERMANY,1,11,59.80356315296238
ELECTRICITY,GERMANY,1,12,68.60335536872395
ELECTRICITY,GERMANY,2,1,70.5409000520559
ELECTRICITY,GERMANY,2,2,62.40820752649221
ELECTRICITY,GERMANY,2,3,62.56401968150715
ELECTRICITY,GERMANY,2,4,60.32679563984839
ELECTRICITY,GERMANY,2,5,63.83775417823485
ELECTRICITY,GERMANY,2,6,58.57211466281662
ELECTRICITY,GERMANY,2,7,58.72358583399374
ELECTRICITY,GERMANY,2,8,58.64550611947317
ELECTRICITY,GERMANY,2,9,59.89860162117301
ELECTRICITY,GERMANY,2,10,67.66720969045008
ELECTRICITY,GERMANY,2,11,59.33873128379047
ELECTRICITY,GERMANY,2,12,68.2234950872984
ELECTRICITY,GERMANY,3,1,70.53285107031586
ELECTRICITY,GERMANY,3,2,62.10428122272395
ELECTRICITY,GERMANY,3,3,62.71086047988622
ELECTRICITY,GERMANY,3,4,60.8227667868891
ELECTRICITY,GERMANY,3,5,64.53126168545059
ELECTRICITY,GERMANY,3,6,59.05095341931667
ELECTRICITY,GERMANY,3,7,59.33832612566537
ELECTRICITY,GERMANY,3,8,58.98878294941436
ELECTRICITY,GERMANY,3,9,60.26399616605227
ELECTRICITY,GERMANY,3,10,68.37259899777773
ELECTRICITY,GERMANY,3,11,59.17331110173492
ELECTRICITY,GERMANY,3,12,68.3666242771408
ELECTRICITY,GERMANY,4,1,70.76828378987815
ELECTRICITY,GERMANY,4,2,62.14138211026705
ELECTRICITY,GERMANY,4,3,62.92217926387848
ELECTRICITY,GERMANY,4,4,62.27155355278094
ELECTRICITY,GERMANY,4,5,66.16844632682063
ELECTRICITY,GERMANY,4,6,60.54934308797657
ELECTRICITY,GERMANY,4,7,60.6482016120375
ELECTRICITY,GERMANY,4,8,60.82552922794352
ELECTRICITY,GERMANY,4,9,62.19347383885933
ELECTRICITY,GERMANY,4,10,69.82797160323854
ELECTRICITY,GERMANY,4,11,59.01315797236366
ELECTRICITY,GERMANY,4,12,68.9396603257471
ELECTRICITY,GERMANY,5,1,72.01386375555717
ELECTRICITY,GERMANY,5,2,63.07185616437413
ELECTRICITY,GERMANY,5,3,64.33988463097728
ELECTRICITY,GERMANY,5,4,65.6684552548462
ELECTRICITY,GERMANY,5,5,68.35040593042282
ELECTRICITY,GERMANY,5,6,63.8358103228498
ELECTRICITY,GERMANY,5,7,63.79760971772495
ELECTRICITY,GERMANY,5,8,64.12164391884264
ELECTRICITY,GERMANY,5,9,65.38438168930713
ELECTRICITY,GERMANY,5,10,73.92795404464803
ELECTRICITY,GERMANY,5,11,58.91024786610213
ELECTRICITY,GERMANY,5,12,70.59041699300465
ELECTRICITY,GERMANY,6,1,75.57151400500393
ELECTRICITY,GERMANY,6,2,66.22797831522787
ELECTRICITY,GERMANY,6,3,67.80930959688826
ELECTRICITY,GERMANY,6,4,67.76671013231015
ELECTRICITY,GERMANY,6,5,70.5515366283153
ELECTRICITY,GERMANY,6,6,66.31103568522076
ELECTRICITY,GERMANY,6,7,66.32191706548039
ELECTRICITY,GERMANY,6,8,66.50881061560916
ELECTRICITY,GERMANY,6,9,67.69065620788797
ELECTRICITY,GERMANY,6,10,76.78170771306968
ELECTRICITY,GERMANY,6,11,59.61250226388103
ELECTRICITY,GERMANY,6,12,74.74707067895686
ELECTRICITY,GERMANY,7,1,79.05743770986297
ELECTRICITY,GERMANY,7,2,69.10326816261481
ELECTRICITY,GERMANY,7,3,70.34883930569559
ELECTRICITY,GERMANY,7,4,69.04185779881576
ELECTRICITY,GERMANY,7,5,73.80152467882172
ELECTRICITY,GERMANY,7,6,67.52975064446895
ELECTRICITY,GERMANY,7,7,67.53953231035747
ELECTRICITY,GERMANY,7,8,67.90764720214459
ELECTRICITY,GERMANY,7,9,69.2509192756449
ELECTRICITY,GERMANY,7,10,78.31224772426076
ELECTRICITY,GERMANY,7,11,60.94772905877062
ELECTRICITY,GERMANY,7,12,78.19651705450894
ELECTRICITY,GERMANY,8,1,80.69637952679665
ELECTRICITY,GERMANY,8,2,70.03385797613507
ELECTRICITY,GERMANY,8,3,70.88856750641717
ELECTRICITY,GERMANY,8,4,69.35892279437454
ELECTRICITY,GERMANY,8,5,73.31829038981952
ELECTRICITY,GERMANY,8,6,68.27958178233146
ELECTRICITY,GERMANY,8,7,68.1300788875156
ELECTRICITY,GERMANY,8,8,68.98659844152867
ELECTRICITY,GERMANY,8,9,69.84661714608293
ELECTRICITY,GERMANY,8,10,78.69509369619325
ELECTRICITY,GERMANY,8,11,63.24069124639264
ELECTRICITY,GERMANY,8,12,79.29870937229408
ELECTRICITY,GERMANY,9,1,80.5767482614622
ELECTRICITY,GERMANY,9,2,70.3142851217126
ELECTRICITY,GERMANY,9,3,70.70451006107481
ELECTRICITY,GERMANY,9,4,69.86398105495539
ELECTRICITY,GERMANY,9,5,74.94563015064618
ELECTRICITY,GERMANY,9,6,73.2974343942861
ELECTRICITY,GERMANY,9,7,69.35863339570064
ELECTRICITY,GERMANY,9,8,71.27082368220448
ELECTRICITY,GERMANY,9,9,70.67742235716725
ELECTRICITY,GERMANY,9,10,79.01744247782874
ELECTRICITY,GERMANY,9,11,64.49338158935868
ELECTRICITY,GERMANY,9,12,79.71401131857894
ELECTRICITY,GERMANY,10,1,81.32523883539727
ELECTRICITY,GERMANY,10,2,70.72783557685777
