pt,n,h,td,val
CCGT,GERMANY,1,1,1.215819428061448e-09
CCGT,GERMANY,1,2,6.848696932072982
CCGT,GERMANY,1,3,6.848696925122845
CCGT,GERMANY,1,4,6.848696936912764
CCGT,GERMANY,1,5,1.334392277506969e-09
CCGT,GERMANY,1,6,6.848696930747533
CCGT,GERMANY,1,7,6.848696937559311
CCGT,GERMANY,1,8,6.848696939040109
CCGT,GERMANY,1,9,6.848696934661075
CCGT,GERMANY,1,10,1.265400790757243e-09
CCGT,GERMANY,1,11,6.848696937037535
CCGT,GERMANY,1,12,6.916831650579409e-10
CCGT,GERMANY,2,1,1.215803676029544e-09
CCGT,GERMANY,2,2,6.848696932072931
CCGT,GERMANY,2,3,6.848696925122885
CCGT,GERMANY,2,4,6.848696937179098
CCGT,GERMANY,2,5,1.339609480955017e-09
CCGT,GERMANY,2,6,6.848696930747608
CCGT,GERMANY,2,7,6.848696937559434
CCGT,GERMANY,2,8,6.848696939039885
CCGT,GERMANY,2,9,6.84869693466106
CCGT,GERMANY,2,10,1.265399278844646e-09
CCGT,GERMANY,2,11,6.848696937037569
CCGT,GERMANY,2,12,6.916624749387936e-10
CCGT,GERMANY,3,1,1.21578591396339e-09
CCGT,GERMANY,3,2,6.848696932072914
CCGT,GERMANY,3,3,6.848696925122835
CCGT,GERMANY,3,4,6.848696937178995
CCGT,GERMANY,3,5,1.344931780033995e-09
CCGT,GERMANY,3,6,6.848696930747627
CCGT,GERMANY,3,7,6.84869693755942
CCGT,GERMANY,3,8,6.848696938489422
CCGT,GERMANY,3,9,6.848696934661023
CCGT,GERMANY,3,10,1.265397222357202e-09
CCGT,GERMANY,3,11,6.848696937037471
CCGT,GERMANY,3,12,6.916407252863821e-10
CCGT,GERMANY,4,1,1.21576602343412e-09
CCGT,GERMANY,4,2,6.84869693207299
CCGT,GERMANY,4,3,6.848696925122886
CCGT,GERMANY,4,4,6.848696937178949
CCGT,GERMANY,4,5,1.35047127176267e-09
CCGT,GERMANY,4,6,6.848696930747653
CCGT,GERMANY,4,7,6.848696937559536
CCGT,GERMANY,4,8,6.848696938693827
CCGT,GERMANY,4,9,6.848696934661112
CCGT,GERMANY,4,10,1.265393853841002e-09
CCGT,GERMANY,4,11,6.848696937037476
CCGT,GERMANY,4,12,6.916181559976554e-10
CCGT,GERMANY,5,1,1.215744769798948e-09
CCGT,GERMANY,5,2,6.848696932073016
CCGT,GERMANY,5,3,6.848696925122907
CCGT,GERMANY,5,4,6.848696937179115
CCGT,GERMANY,5,5,1.601730937083683e-09
CCGT,GERMANY,5,6,6.848696930747727
CCGT,GERMANY,5,7,6.848696937559422
CCGT,GERMANY,5,8,6.848696938876238
CCGT,GERMANY,5,9,6.848696934661247
CCGT,GERMANY,5,10,1.265390398265141e-09
CCGT,GERMANY,5,11,6.848696937037419
CCGT,GERMANY,5,12,6.915955168547833e-10
CCGT,GERMANY,6,1,1.215725746791453e-09
CCGT,GERMANY,6,2,6.84869693207285
CCGT,GERMANY,6,3,6.848696925122836
CCGT,GERMANY,6,4,6.848696937179111
CCGT,GERMANY,6,5,1.746466044956741e-09
CCGT,GERMANY,6,6,6.848696930747725
CCGT,GERMANY,6,7,6.84869693755924
CCGT,GERMANY,6,8,6.848696939040035
CCGT,GERMANY,6,9,6.848696934661228
CCGT,GERMANY,6,10,1.265388196397569e-09
CCGT,GERMANY,6,11,6.848696937037396
CCGT,GERMANY,6,12,6.915733028744875e-10
CCGT,GERMANY,7,1,1.215708522374432e-09
CCGT,GERMANY,7,2,6.848696932072878
CCGT,GERMANY,7,3,6.848696925122897
CCGT,GERMANY,7,4,6.848696937178913
CCGT,GERMANY,7,5,1.367125290146602e-09
CCGT,GERMANY,7,6,6.848696930747587
CCGT,GERMANY,7,7,6.848696937559402
CCGT,GERMANY,7,8,6.84869693903858
CCGT,GERMANY,7,9,6.84869693466114
CCGT,GERMANY,7,10,1.265386015117688e-09
CCGT,GERMANY,7,11,6.848696937037611
CCGT,GERMANY,7,12,6.915516440942057e-10
CCGT,GERMANY,8,1,1.21569232424458e-09
CCGT,GERMANY,8,2,6.848696932073103
CCGT,GERMANY,8,3,6.848696925122862
CCGT,GERMANY,8,4,6.848696937179051
CCGT,GERMANY,8,5,1.601367556165165e-09
CCGT,GERMANY,8,6,6.848658304894782
CCGT,GERMANY,8,7,6.848696937559442
CCGT,GERMANY,8,8,1.820256478578131
CCGT,GERMANY,8,9,6.848696934661121
CCGT,GERMANY,8,10,1.265384382811321e-09
CCGT,GERMANY,8,11,6.848696937037293
CCGT,GERMANY,8,12,6.915299184692601e-10
CCGT,GERMANY,9,1,1.215676864640769e-09
CCGT,GERMANY,9,2,6.84869693207304
CCGT,GERMANY,9,3,6.848696925122957
CCGT,GERMANY,9,4,6.848696937178943
CCGT,GERMANY,9,5,1.345312129558543e-09
CCGT,GERMANY,9,6,3.350499450685476e-09
CCGT,GERMANY,9,7,6.848696937559226
CCGT,GERMANY,9,8,1.927886570389207e-09
CCGT,GERMANY,9,9,6.848696934661154
CCGT,GERMANY,9,10,1.265383918306103e-09
CCGT,GERMANY,9,11,6.848696937037637
CCGT,GERMANY,9,12,6.915079704657801e-10
CCGT,GERMANY,10,1,1.215661842141958e-09
CCGT,GERMANY,10,2,6.848696932073165
CCGT,GERMANY,10,3,6.848696925122834
CCGT,GERMANY,10,4,6.848696937178474
CCGT,GERMANY,10,5,1.334369228865357e-09
CCGT,GERMANY,10,6,3.322060432881337e-09
CCGT,GERMANY,10,7,6.848696937559203
CCGT,GERMANY,10,8,1.066927331097786e-09
CCGT,GERMANY,10,9,6.848696934661099
CCGT,GERMANY,10,10,1.265384185368894e-09
CCGT,GERMANY,10,11,6.848696937037552
CCGT,GERMANY,10,12,6.914871789866735e-10
CCGT,GERMANY,11,1,1.215647063060245e-09
CCGT,GERMANY,11,2,6.848696932072919
CCGT,GERMANY,11,3,6.848696925122875
CCGT,GERMANY,11,4,6.848696937175771
CCGT,GERMANY,11,5,1.334366861179729e-09
CCGT,GERMANY,11,6,3.335751561281798e-09
CCGT,GERMANY,11,7,6.848696937559193
CCGT,GERMANY,11,8,8.339310312678049e-10
CCGT,GERMANY,11,9,6.848696934661093
CCGT,GERMANY,11,10,1.265377955573042e-09
CCGT,GERMANY,11,11,6.848696937037565
CCGT,GERMANY,11,12,6.914717029794343e-10
CCGT,GERMANY,12,1,1.215632528661867e-09
CCGT,GERMANY,12,2,6.848696932073003
CCGT,GERMANY,12,3,6.848696925122946
CCGT,GERMANY,12,4,6.848696934332144
CCGT,GERMANY,12,5,1.334360099566089e-09
CCGT,GERMANY,12,6,3.349593433117479e-09
CCGT,GERMANY,12,7,6.848696934439613
