p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.446010030417139,27,1,0.05355592705248663,53.55592705248663
AMMONIA,GERMANY,1,2,0.9104507711034782,17,1,0.053555927711969306,53.555927711969304
AMMONIA,GERMANY,1,3,0.5355592672212898,10,1,0.05355592672212898,53.55592672212898
AMMONIA,GERMANY,1,4,1.874457548685354,35,1,0.053555929962438686,53.55592996243869
AMMONIA,GERMANY,1,5,1.928013511776624,36,1,0.053555930882684,53.555930882683995
AMMONIA,GERMANY,1,6,0.8033389553745897,15,1,0.05355593035830598,53.55593035830598
AMMONIA,GERMANY,1,7,2.035125399987624,38,1,0.053555931578621686,53.55593157862169
AMMONIA,GERMANY,1,8,3.052688124984207,57,1,0.053555932017266786,53.555932017266784
AMMONIA,GERMANY,1,9,1.231786440778351,23,1,0.05355593220775439,53.55593220775439
AMMONIA,GERMANY,1,10,1.392454156320764,26,1,0.05355592908926015,53.55592908926015
AMMONIA,GERMANY,1,11,1.820901575461564,34,1,0.053555928690046,53.555928690046
AMMONIA,GERMANY,1,12,2.517128609356112,47,1,0.053555927858640676,53.55592785864068
AMMONIA,GERMANY,2,1,1.446010030405604,27,1,0.05355592705205941,53.55592705205941
AMMONIA,GERMANY,2,2,0.9104507710918657,17,1,0.053555927711286214,53.555927711286216
AMMONIA,GERMANY,2,3,0.5355592672340111,10,1,0.053555926723401114,53.555926723401114
AMMONIA,GERMANY,2,4,1.874457548773294,35,1,0.05355592996495125,53.555929964951254
AMMONIA,GERMANY,2,5,1.928013511826947,36,1,0.053555930884081865,53.55593088408187
AMMONIA,GERMANY,2,6,0.8033389554045873,15,1,0.05355593036030582,53.55593036030582
AMMONIA,GERMANY,2,7,2.035125399965053,38,1,0.05355593157802771,53.55593157802771
AMMONIA,GERMANY,2,8,3.052688124979318,57,1,0.053555932017181014,53.555932017181014
AMMONIA,GERMANY,2,9,1.231786440774569,23,1,0.05355593220758995,53.555932207589954
AMMONIA,GERMANY,2,10,1.392454156320794,26,1,0.05355592908926131,53.55592908926131
AMMONIA,GERMANY,2,11,1.820901575412414,34,1,0.053555928688600415,53.55592868860042
AMMONIA,GERMANY,2,12,2.517128609293274,47,1,0.0535559278573037,53.5559278573037
AMMONIA,GERMANY,3,1,1.446010030394379,27,1,0.053555927051643665,53.555927051643664
AMMONIA,GERMANY,3,2,0.9104507710819564,17,1,0.05355592771070332,53.555927710703315
AMMONIA,GERMANY,3,3,0.5355592672495277,10,1,0.053555926724952775,53.555926724952776
AMMONIA,GERMANY,3,4,1.874457548855084,35,1,0.05355592996728812,53.55592996728812
AMMONIA,GERMANY,3,5,1.928013511877105,36,1,0.05355593088547514,53.55593088547514
