st,n,h,td,val
AMMONIA,GERMANY,1,1,3.703254389403239e-09
AMMONIA,GERMANY,1,2,5.881641964639046e-09
AMMONIA,GERMANY,1,3,9.99876859782303e-09
AMMONIA,GERMANY,1,4,2.856798094437019e-09
AMMONIA,GERMANY,1,5,2.777442238434177e-09
AMMONIA,GERMANY,1,6,6.665856586844962e-09
AMMONIA,GERMANY,1,7,2.631258998382569e-09
AMMONIA,GERMANY,1,8,1.754172882495509e-09
AMMONIA,GERMANY,1,9,4.34729523216161e-09
AMMONIA,GERMANY,1,10,3.845687370076738e-09
AMMONIA,GERMANY,1,11,2.940822203023172e-09
AMMONIA,GERMANY,1,12,2.127403502991917e-09
AMMONIA,GERMANY,2,1,3.703254390919058e-09
AMMONIA,GERMANY,2,2,5.881642001494614e-09
AMMONIA,GERMANY,2,3,9.998768462561186e-09
AMMONIA,GERMANY,2,4,2.856798102348571e-09
AMMONIA,GERMANY,2,5,2.77744224090529e-09
AMMONIA,GERMANY,2,6,6.6658565825072e-09
AMMONIA,GERMANY,2,7,2.631258999553698e-09
AMMONIA,GERMANY,2,8,1.754172881594637e-09
AMMONIA,GERMANY,2,9,4.347295233798501e-09
AMMONIA,GERMANY,2,10,3.845687381312524e-09
AMMONIA,GERMANY,2,11,2.940822199296439e-09
AMMONIA,GERMANY,2,12,2.127403501907185e-09
AMMONIA,GERMANY,3,1,3.70325439140319e-09
AMMONIA,GERMANY,3,2,5.881642048445121e-09
AMMONIA,GERMANY,3,3,9.99876832368484e-09
AMMONIA,GERMANY,3,4,2.856798105585508e-09
AMMONIA,GERMANY,3,5,2.77744224178504e-09
AMMONIA,GERMANY,3,6,6.665856570219187e-09
AMMONIA,GERMANY,3,7,2.631258999867736e-09
AMMONIA,GERMANY,3,8,1.754172880222761e-09
AMMONIA,GERMANY,3,9,4.347295232644948e-09
AMMONIA,GERMANY,3,10,3.845687395637122e-09
AMMONIA,GERMANY,3,11,2.940822193431477e-09
AMMONIA,GERMANY,3,12,2.127403489511811e-09
AMMONIA,GERMANY,4,1,3.703254390638584e-09
AMMONIA,GERMANY,4,2,5.881642095453543e-09
AMMONIA,GERMANY,4,3,9.99876817989888e-09
AMMONIA,GERMANY,4,4,2.856798105594613e-09
AMMONIA,GERMANY,4,5,2.777442233793813e-09
AMMONIA,GERMANY,4,6,6.665856555752394e-09
AMMONIA,GERMANY,4,7,2.631259000539433e-09
AMMONIA,GERMANY,4,8,1.754172878237872e-09
AMMONIA,GERMANY,4,9,4.347295232490576e-09
AMMONIA,GERMANY,4,10,3.84568739880079e-09
AMMONIA,GERMANY,4,11,2.940822189234429e-09
AMMONIA,GERMANY,4,12,2.127403481278756e-09
AMMONIA,GERMANY,5,1,3.703254388629898e-09
AMMONIA,GERMANY,5,2,5.881642138939686e-09
AMMONIA,GERMANY,5,3,9.998768040582501e-09
AMMONIA,GERMANY,5,4,2.85679810556015e-09
AMMONIA,GERMANY,5,5,2.777442230651691e-09
AMMONIA,GERMANY,5,6,6.665856545300854e-09
AMMONIA,GERMANY,5,7,2.631258998186852e-09
AMMONIA,GERMANY,5,8,1.754172875682426e-09
AMMONIA,GERMANY,5,9,4.347295229856939e-09
AMMONIA,GERMANY,5,10,3.845687406252033e-09
AMMONIA,GERMANY,5,11,2.940822180309454e-09
AMMONIA,GERMANY,5,12,2.127403475050153e-09
AMMONIA,GERMANY,6,1,3.703254388406599e-09
AMMONIA,GERMANY,6,2,5.881642186031753e-09
AMMONIA,GERMANY,6,3,9.998767894302029e-09
AMMONIA,GERMANY,6,4,2.856798103997109e-09
AMMONIA,GERMANY,6,5,2.777442229440699e-09
AMMONIA,GERMANY,6,6,6.66585652504692e-09
AMMONIA,GERMANY,6,7,2.631258993645591e-09
AMMONIA,GERMANY,6,8,1.754172872805823e-09
AMMONIA,GERMANY,6,9,4.347295223382325e-09
AMMONIA,GERMANY,6,10,3.845687412143994e-09
AMMONIA,GERMANY,6,11,2.940822173929814e-09
AMMONIA,GERMANY,6,12,2.127403473628514e-09
AMMONIA,GERMANY,7,1,3.703254388515655e-09
AMMONIA,GERMANY,7,2,5.881642235833373e-09
AMMONIA,GERMANY,7,3,9.998767753586351e-09
AMMONIA,GERMANY,7,4,2.856798100239724e-09
