j,n,h,td,val
BATT_LI,GERMANY,1,1,6.342706774907034e-08
BATT_LI,GERMANY,1,2,6.241166472767032e-08
BATT_LI,GERMANY,1,3,6.28395939464725e-08
BATT_LI,GERMANY,1,4,6.170055820047691e-08
BATT_LI,GERMANY,1,5,6.995199120964424e-08
BATT_LI,GERMANY,1,6,5.824726817609103e-08
BATT_LI,GERMANY,1,7,5.996861534791839e-08
BATT_LI,GERMANY,1,8,5.276945523332581e-08
BATT_LI,GERMANY,1,9,6.203996267303492e-08
BATT_LI,GERMANY,1,10,6.342707604979671e-08
BATT_LI,GERMANY,1,11,6.132690338330827e-08
BATT_LI,GERMANY,1,12,6.415757298020346e-08
BATT_LI,GERMANY,2,1,6.871244427777906e-08
BATT_LI,GERMANY,2,2,6.711379541059406e-08
BATT_LI,GERMANY,2,3,6.77841904689844e-08
BATT_LI,GERMANY,2,4,6.427508295919154e-08
BATT_LI,GERMANY,2,5,8.21439547180074e-08
BATT_LI,GERMANY,2,6,5.826447482267781e-08
BATT_LI,GERMANY,2,7,6.271959634603052e-08
BATT_LI,GERMANY,2,8,4.833465753652916e-08
BATT_LI,GERMANY,2,9,6.652961905636337e-08
BATT_LI,GERMANY,2,10,6.871245917288224e-08
BATT_LI,GERMANY,2,11,6.537422006521425e-08
BATT_LI,GERMANY,2,12,7.030014221671325e-08
BATT_LI,GERMANY,3,1,7.253288562140742e-08
BATT_LI,GERMANY,3,2,7.064793779686525e-08
BATT_LI,GERMANY,3,3,7.143078094825436e-08
BATT_LI,GERMANY,3,4,6.59657804895781e-08
BATT_LI,GERMANY,3,5,9.35645300347632e-08
BATT_LI,GERMANY,3,6,5.616454490153667e-08
BATT_LI,GERMANY,3,7,6.456921282467795e-08
BATT_LI,GERMANY,3,8,4.803369102973989e-08
BATT_LI,GERMANY,3,9,6.99635933809079e-08
BATT_LI,GERMANY,3,10,7.253290703604526e-08
BATT_LI,GERMANY,3,11,6.855303186043221e-08
BATT_LI,GERMANY,3,12,7.518185644432212e-08
BATT_LI,GERMANY,4,1,7.528654341635136e-08
BATT_LI,GERMANY,4,2,7.330243629132486e-08
BATT_LI,GERMANY,4,3,7.411108388083584e-08
BATT_LI,GERMANY,4,4,6.687479996785109e-08
BATT_LI,GERMANY,4,5,1.05059019304536e-07
BATT_LI,GERMANY,4,6,5.168103200990402e-08
BATT_LI,GERMANY,4,7,6.562678552442766e-08
BATT_LI,GERMANY,4,8,4.481326558518979e-08
BATT_LI,GERMANY,4,9,7.259509069740937e-08
BATT_LI,GERMANY,4,10,7.528656385901042e-08
BATT_LI,GERMANY,4,11,7.105590499486155e-08
BATT_LI,GERMANY,4,12,7.930508992439878e-08
BATT_LI,GERMANY,5,1,7.726519459188528e-08
BATT_LI,GERMANY,5,2,7.528749075766259e-08
BATT_LI,GERMANY,5,3,7.606658695543762e-08
BATT_LI,GERMANY,5,4,6.705390087777243e-08
BATT_LI,GERMANY,5,5,8.551053530599665e-08
