param c_p_t :=
["PV",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	0.0	0.0	0.0	0.0	0.0333537491	0.0085015543	0.0084209221	0.0196272398	0.0096718141	0.0	0.0	0.0	
7	0.0	0.0	0.0	0.0852730762	0.1896623254	0.0844983596	0.061623325	0.1110098051	0.1293850121	0.0	0.0	0.0	
8	0.0	0.0	0.0082085027	0.2032084601	0.3426933344	0.1592793241	0.145082434	0.2317429042	0.2783318636	0.05123188	0.0	0.0	
9	0.0	0.048812063	0.1898643388	0.3297293245	0.4786203128	0.2223790009	0.2111442061	0.3413154248	0.4326812383	0.1504957833	0.0450218639	0.0541493184	
10	0.0523340948	0.1716675198	0.3937105126	0.4304424516	0.5811586181	0.2948666206	0.2887305966	0.4245038198	0.5289084704	0.2445636524	0.1157120719	0.1336420247	
11	0.1043821633	0.2982845204	0.5192629459	0.5259642358	0.6424770865	0.3371042427	0.3342181768	0.4947788003	0.5923105199	0.3112512951	0.1801529842	0.2288182489	
12	0.1171356309	0.3668593408	0.5521197899	0.519272405	0.6514582653	0.3089102073	0.3569413478	0.5303414217	0.6143345335	0.3319720832	0.1971640752	0.2326236919	
13	0.1321317983	0.4089254622	0.5748195588	0.5187699034	0.6774595445	0.3024511987	0.3515932789	0.5339964032	0.62387958	0.4077676937	0.2313389593	0.2354247584	
14	0.1189690522	0.4490159691	0.6179887923	0.5045602231	0.6759115334	0.2674275711	0.3220805263	0.5401998584	0.6120567305	0.4174016037	0.2465068559	0.2084412129	
15	0.0966677528	0.3921429672	0.5906001754	0.4650105766	0.6274599346	0.2604477404	0.2855264564	0.478822175	0.5496415439	0.391844645	0.2163783262	0.1509062274	
16	0.0727427648	0.3194435976	0.5139199245	0.4005458821	0.524085548	0.2204497734	0.2329991926	0.3929897665	0.4577667656	0.3379379231	0.171841968	0.1361924023	
17	0.0	0.1125917298	0.4713688736	0.3149820539	0.4002082848	0.1756366971	0.1699350964	0.3079573175	0.3515153836	0.2882079851	0.0	0.0	
18	0.0	0.0	0.0	0.1962757367	0.2576470393	0.1218748509	0.1296565374	0.2029182881	0.213140305	0.0	0.0	0.0	
19	0.0	0.0	0.0	0.0629877772	0.1922699757	0.0902334648	0.0902441302	0.1209536974	0.115120747	0.0	0.0	0.0	
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0068927625	0.0	0.0	0.0	0.0	0.0	
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

["WIND_ONSHORE",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.6156883629	0.2339534147	0.0950784387	0.1683778998	0.3158672277	0.0820135814	0.056109226	0.1383411907	0.0874126615	0.5517476712	0.055561386	0.3818607371	
2	0.6327812334	0.2172100908	0.0913276051	0.1546463485	0.2648149604	0.094394511	0.0640796024	0.1518758612	0.0740202975	0.5564384644	0.0634445798	0.3944184306	
3	0.6497481974	0.1940342025	0.0881936483	0.1510801653	0.2307711095	0.1154874904	0.070233533	0.1652599474	0.0619897761	0.5740915662	0.0748654185	0.3962409121	
4	0.6792656724	0.1747554204	0.0894019881	0.1535288004	0.2199282213	0.1332567486	0.0824101106	0.1825752624	0.0506355434	0.5652723443	0.0814933045	0.401019207	
5	0.6985387476	0.1614353787	0.0907901394	0.157454893	0.211649201	0.155085477	0.0891589912	0.1756389825	0.0494259439	0.5513762912	0.0894657394	0.4030614382	
6	0.7109105802	0.1478731476	0.0943422749	0.158908217	0.2064803968	0.1698721107	0.087931058	0.1652813918	0.0557731031	0.554760023	0.0945832016	0.415097271	
7	0.7232301473	0.1348899074	0.0938807866	0.1522240939	0.1891565429	0.1644066008	0.0787484073	0.1694544866	0.050561556	0.5434433977	0.0990531353	0.4255824255	
8	0.727391269	0.127903744	0.0977750008	0.1249319171	0.1393977695	0.2159787099	0.0739994618	0.1606313136	0.0226515619	0.5492382842	0.0996439021	0.4314438309	
9	0.7226311161	0.1239556741	0.0992824397	0.1100075083	0.1337353303	0.2438657224	0.0961067505	0.1454437292	0.013042903	0.5998438934	0.1032891526	0.4494191018	
10	0.7223703259	0.1120828676	0.0794885707	0.1104955827	0.1517482079	0.2792067687	0.1157460257	0.1638214382	0.0156500046	0.6864340681	0.1036744847	0.448115319	
11	0.6865726354	0.0838700825	0.0431623569	0.0982866045	0.1380004477	0.2336068447	0.0921186128	0.1556445233	0.0202258551	0.4082656719	0.1002656005	0.3531699611	
12	0.736886632	0.0812019807	0.0296541314	0.1100765832	0.1722498845	0.2506674511	0.1114646805	0.1797723233	0.0295799932	0.4219744515	0.1283366826	0.4147763148	
13	0.7819729877	0.0697352575	0.0270210613	0.1168605533	0.1954115584	0.2617485276	0.1358702173	0.2207299451	0.0318709797	0.4885443653	0.1475569507	0.3800048683	
14	0.8079844566	0.0616149843	0.0274989841	0.1233954429	0.1997593802	0.2757292656	0.1582865935	0.2611326311	0.0312424353	0.5368448019	0.1505381734	0.3322995636	
15	0.8123867163	0.0478620433	0.0384773915	0.1331337185	0.1964731493	0.2801578597	0.1663977715	0.2529495249	0.0326634286	0.5863859682	0.1404953411	0.295198279	
16	0.8021687249	0.0444890225	0.0676382894	0.1444315166	0.1882267746	0.2673531586	0.1565753426	0.2350788035	0.0335068878	0.5775431787	0.1203766815	0.2638229104	
17	0.8046626196	0.0726810041	0.120038174	0.164993147	0.1583832816	0.2569789663	0.1445161862	0.1973501209	0.0285527573	0.537255994	0.119321803	0.2622684729	
18	0.8069792088	0.1164758402	0.1740636419	0.1746792645	0.1564406675	0.239979196	0.1211483844	0.1511736219	0.0344069138	0.504708968	0.1199233614	0.2906314698	
19	0.81312533	0.1602699767	0.2133655613	0.2127330596	0.2289296556	0.2482995657	0.1060784284	0.102309159	0.0443665338	0.4962265664	0.1266282226	0.2896392255	
